ra,dec
05 13 50.77 ,-08 10 19.77 
05 14 30.00 ,-08 17 11.39 
05 15 28.57 ,-08 06 13.59 
05 15 10.51 ,-08 22 02.89 
05 14 54.64 ,-08 18 58.15 
05 14 31.47 ,-08 11 23.33 
05 15 07.23 ,-08 07 52.16 
05 15 25.52 ,-08 05 43.40 
05 14 58.37 ,-08 26 40.32 
05 14 39.59 ,-08 16 03.82 
05 14 20.77 ,-08 29 33.50 
05 15 33.61 ,-08 17 18.52 
05 13 47.37 ,-08 06 31.82 
05 14 16.16 ,-08 04 52.88 
05 13 51.84 ,-08 21 40.50 
05 15 02.08 ,-08 06 06.71 
05 14 38.77 ,-08 05 22.71 
05 14 46.07 ,-08 14 57.43 
05 15 39.76 ,-08 00 22.44 
05 14 43.66 ,-07 59 09.31 
05 14 14.40 ,-08 12 42.07 
05 14 50.95 ,-08 06 08.19 
05 14 39.03 ,-07 58 43.73 
05 14 49.29 ,-08 28 08.67 
05 13 57.92 ,-08 09 19.25 
05 14 01.47 ,-08 06 58.85 
05 14 51.76 ,-08 08 35.84 
05 14 44.43 ,-08 24 32.61 
05 13 50.91 ,-08 02 20.41 
05 14 01.66 ,-08 07 42.14 
05 13 50.71 ,-08 15 30.93 
05 13 47.80 ,-08 13 16.74 
05 14 40.54 ,-08 12 37.69 
05 15 21.02 ,-08 18 04.67 
05 13 55.17 ,-07 53 51.77 
05 13 17.38 ,-07 59 39.92 
05 13 07.72 ,-08 11 56.58 
05 14 29.84 ,-07 59 50.18 
05 15 01.87 ,-08 22 27.74 
05 13 42.47 ,-08 13 39.19 
05 14 56.09 ,-08 06 42.04 
05 13 48.06 ,-08 19 01.53 
05 15 47.44 ,-08 13 48.87 
05 14 10.51 ,-08 08 51.98 
05 15 14.16 ,-08 31 27.82 
05 14 53.39 ,-08 26 14.51 
05 14 24.45 ,-07 59 31.97 
05 14 19.36 ,-08 25 29.35 
05 15 13.54 ,-08 10 35.15 
05 14 01.09 ,-08 17 14.33 
05 13 20.57 ,-08 18 24.12 
05 14 42.28 ,-08 28 18.35 
05 14 29.82 ,-08 11 48.76 
05 15 39.65 ,-07 56 01.58 
05 14 54.94 ,-08 21 17.84 
05 15 40.34 ,-08 26 17.38 
05 14 37.38 ,-07 54 44.22 
05 14 07.07 ,-08 19 55.69 
05 15 09.65 ,-08 06 48.03 
05 15 18.04 ,-08 25 01.68 
05 15 04.71 ,-08 16 23.13 
05 15 40.68 ,-08 17 10.32 
05 14 56.43 ,-08 09 49.73 
05 14 16.07 ,-07 57 43.46 
05 14 40.55 ,-08 02 05.50 
05 14 54.38 ,-08 12 37.24 
05 13 58.35 ,-08 25 25.29 
05 13 31.07 ,-08 27 29.96 
05 14 00.43 ,-08 20 54.26 
05 13 33.30 ,-08 05 16.76 
05 15 32.93 ,-07 55 58.42 
05 13 59.60 ,-08 26 13.37 
05 13 29.49 ,-08 26 58.84 
05 14 27.10 ,-08 27 56.78 
05 14 54.70 ,-08 04 23.71 
05 14 28.33 ,-08 09 55.90 
05 15 07.47 ,-08 09 46.51 
05 13 59.10 ,-07 55 08.52 
05 14 32.70 ,-07 52 20.11 
05 13 34.13 ,-08 00 49.10 
05 13 22.51 ,-08 09 49.56 
05 13 08.55 ,-08 20 32.59 
05 14 10.85 ,-07 50 02.73 
05 14 37.04 ,-08 11 07.57 
05 15 28.76 ,-08 22 39.22 
05 14 03.28 ,-08 00 20.10 
05 15 24.81 ,-08 04 15.14 
05 14 37.08 ,-08 07 17.32 
05 14 50.34 ,-07 59 17.59 
05 13 49.40 ,-08 01 55.84 
