ra,dec
19 52 10.90 ,08 58 51.87 
19 51 32.01 ,08 50 30.91 
19 50 37.09 ,08 54 54.60 
19 49 24.74 ,09 00 16.30 
19 49 41.09 ,08 36 37.41 
19 51 32.84 ,08 41 12.24 
19 51 02.31 ,08 41 02.27 
19 50 37.07 ,08 38 03.07 
19 51 45.00 ,08 55 37.07 
19 50 45.48 ,09 00 37.44 
19 49 36.71 ,08 37 51.24 
19 51 23.10 ,08 35 03.32 
19 52 05.09 ,09 03 08.49 
19 49 34.42 ,09 08 30.06 
19 49 50.70 ,08 49 55.79 
19 50 50.20 ,08 42 47.29 
19 52 09.33 ,09 04 12.44 
19 50 06.43 ,08 35 18.67 
19 51 34.90 ,08 57 22.33 
19 49 20.34 ,08 57 17.07 
19 51 48.80 ,08 45 01.80 
19 51 22.02 ,08 58 56.05 
19 49 13.46 ,08 53 31.56 
19 49 49.33 ,08 36 43.67 
19 51 50.26 ,08 38 07.19 
19 49 23.99 ,08 38 14.42 
