ra,dec
14 15 48.94 ,19 24 39.72 
14 15 56.45 ,19 04 12.05 
14 17 06.62 ,19 06 26.90 
14 15 28.01 ,18 49 29.92 
14 16 32.45 ,19 07 27.75 
14 16 23.71 ,19 13 42.05 
14 17 12.53 ,19 12 52.00 
14 14 59.43 ,18 53 41.73 
14 14 44.43 ,19 10 03.39 
14 14 46.06 ,19 03 44.63 
14 15 16.25 ,19 15 33.41 
14 15 51.72 ,19 07 32.17 
14 15 51.83 ,18 58 16.73 
14 16 27.82 ,19 07 45.17 
14 14 13.27 ,19 18 22.80 
14 15 17.56 ,19 24 07.00 
14 15 55.93 ,19 19 25.93 
14 14 28.83 ,19 17 13.94 
14 14 34.17 ,19 09 27.76 
14 16 14.07 ,19 26 05.07 
14 15 26.71 ,19 26 32.91 
14 15 23.92 ,19 30 04.91 
14 15 46.90 ,19 07 19.86 
14 16 02.72 ,19 02 14.83 
14 16 03.24 ,19 18 19.86 
14 16 06.35 ,19 07 25.31 
