ra,dec
06 45 28.20 ,-16 21 49.11 
06 45 17.13 ,-16 47 10.87 
06 43 42.23 ,-16 36 22.62 
06 44 07.43 ,-17 00 21.39 
06 45 45.81 ,-16 36 33.72 
06 45 16.81 ,-16 18 14.37 
06 44 22.82 ,-16 31 54.03 
06 44 17.88 ,-16 31 34.87 
06 43 32.10 ,-16 49 10.47 
06 46 57.64 ,-16 46 09.98 
06 45 17.38 ,-16 29 47.07 
06 45 34.48 ,-16 38 01.55 
06 46 25.45 ,-16 31 37.59 
06 46 42.82 ,-16 44 26.37 
06 45 35.28 ,-16 40 35.85 
06 44 23.10 ,-16 44 12.26 
06 45 08.98 ,-16 51 01.52 
06 43 45.54 ,-16 27 36.93 
06 44 52.55 ,-16 45 53.98 
06 44 13.52 ,-16 54 20.95 
06 44 01.69 ,-16 54 32.44 
06 46 18.03 ,-16 54 34.48 
06 44 02.51 ,-16 45 35.72 
06 46 38.13 ,-16 56 43.57 
06 44 26.71 ,-16 38 44.32 
06 46 29.12 ,-16 33 26.61 
