ra,dec
07 38 30.54 ,05 32 50.42 
07 39 25.30 ,05 16 35.34 
07 39 09.66 ,04 48 28.76 
07 39 46.77 ,05 31 19.79 
07 39 30.80 ,05 01 11.09 
07 38 34.71 ,05 02 40.25 
07 38 20.58 ,05 12 29.06 
07 38 03.80 ,05 15 53.42 
07 39 12.60 ,05 37 40.11 
07 38 13.68 ,05 16 56.15 
07 39 03.85 ,04 49 45.94 
07 39 24.45 ,04 50 53.54 
07 39 57.27 ,05 30 51.83 
07 38 53.85 ,05 17 17.20 
07 38 40.48 ,05 18 43.54 
07 39 41.46 ,05 10 00.21 
07 38 20.34 ,04 52 41.57 
07 38 23.19 ,05 18 48.12 
07 39 40.89 ,05 11 09.02 
07 38 14.29 ,05 21 17.59 
07 39 52.46 ,05 16 39.53 
07 39 15.98 ,05 23 46.14 
07 39 09.89 ,05 10 53.76 
07 40 53.32 ,05 05 50.53 
07 40 11.90 ,05 13 44.11 
07 39 37.08 ,05 19 27.14 
