ra,dec
16 29 46.47 ,-26 29 02.96 
16 27 59.16 ,-26 20 29.27 
16 28 01.43 ,-26 41 27.24 
16 28 44.19 ,-26 23 10.92 
16 30 02.48 ,-26 59 25.79 
16 31 28.91 ,-26 17 40.09 
16 27 32.49 ,-26 14 49.32 
16 28 05.68 ,-26 27 04.81 
16 31 03.13 ,-26 29 36.07 
16 29 05.82 ,-26 39 47.87 
16 28 47.13 ,-26 10 22.74 
16 27 43.77 ,-26 42 20.41 
16 30 06.72 ,-26 39 15.71 
16 28 41.25 ,-26 27 16.99 
16 29 07.38 ,-26 23 00.11 
16 30 53.37 ,-26 54 46.33 
16 29 31.22 ,-25 58 39.49 
16 28 42.13 ,-26 37 06.55 
16 31 13.99 ,-26 03 00.91 
16 29 22.70 ,-25 57 00.84 
16 31 06.66 ,-26 29 28.72 
16 30 39.76 ,-26 11 33.52 
16 31 17.24 ,-26 12 44.05 
16 28 46.48 ,-27 00 21.91 
16 28 43.60 ,-26 16 32.43 
16 28 20.19 ,-26 26 55.44 
16 27 38.96 ,-26 35 36.77 
16 27 15.95 ,-26 24 02.61 
16 29 03.42 ,-26 30 57.48 
16 28 10.57 ,-25 56 14.51 
16 30 16.50 ,-26 34 20.41 
16 27 51.04 ,-26 50 55.20 
16 31 20.98 ,-26 39 29.41 
16 30 38.60 ,-26 36 43.67 
16 27 25.56 ,-26 20 45.79 
16 31 52.13 ,-26 30 47.28 
16 28 27.33 ,-26 24 17.37 
16 30 51.52 ,-26 19 55.11 
16 31 51.66 ,-26 33 30.15 
16 29 14.25 ,-25 53 30.02 
16 29 39.62 ,-25 59 13.28 
16 29 31.41 ,-25 52 51.95 
16 30 15.67 ,-26 23 45.62 
16 31 01.12 ,-26 28 19.70 
16 29 43.78 ,-26 39 20.68 
16 28 39.18 ,-26 47 49.32 
16 30 23.69 ,-26 27 50.11 
16 28 23.09 ,-26 27 46.33 
16 28 11.92 ,-26 33 29.50 
16 30 44.46 ,-26 48 23.91 
16 29 04.17 ,-26 27 53.09 
16 27 34.25 ,-26 15 12.36 
16 26 52.74 ,-26 25 32.24 
16 27 47.18 ,-26 35 25.82 
16 28 19.09 ,-26 11 43.32 
16 31 22.87 ,-26 08 22.76 
16 30 35.62 ,-26 19 46.42 
16 27 06.88 ,-26 09 58.46 
16 30 13.90 ,-26 02 51.69 
16 30 28.93 ,-26 29 12.22 
16 27 06.42 ,-26 37 29.31 
16 28 06.73 ,-26 08 48.73 
16 30 37.99 ,-26 46 43.21 
16 30 28.51 ,-26 15 49.28 
16 28 38.85 ,-26 04 22.66 
16 30 09.72 ,-25 58 40.72 
16 27 18.99 ,-26 31 14.82 
16 30 23.14 ,-25 55 02.92 
16 27 27.50 ,-26 15 08.33 
16 28 50.26 ,-26 36 11.41 
16 31 21.63 ,-26 05 44.40 
16 28 05.93 ,-26 43 03.71 
16 29 05.28 ,-26 05 18.35 
16 30 28.82 ,-26 16 02.27 
16 29 05.07 ,-26 26 34.62 
16 28 30.88 ,-26 42 54.99 
16 31 43.94 ,-26 11 25.28 
16 28 21.07 ,-26 30 15.43 
16 29 43.83 ,-26 25 01.27 
16 29 42.65 ,-26 49 55.51 
16 28 42.77 ,-26 04 03.86 
16 30 01.37 ,-26 26 18.90 
16 29 54.57 ,-26 13 10.01 
16 30 42.28 ,-26 48 42.59 
16 28 24.45 ,-26 18 31.69 
16 31 36.23 ,-26 09 23.51 
16 30 28.30 ,-26 46 41.30 
16 27 45.35 ,-26 28 51.70 
16 27 45.94 ,-26 17 03.93 
16 29 19.91 ,-26 34 05.60 
