ra,dec
03 47 41.65 ,24 22 07.81 
03 47 41.30 ,24 00 03.76 
03 46 21.70 ,24 08 51.31 
03 47 23.05 ,24 27 59.70 
03 48 25.48 ,24 06 36.40 
03 46 04.07 ,24 13 07.66 
03 46 19.13 ,24 16 17.35 
03 48 45.37 ,23 55 53.52 
03 47 17.56 ,24 13 48.30 
03 47 37.39 ,23 42 21.08 
03 47 23.79 ,23 48 13.28 
03 47 51.73 ,24 21 45.21 
03 47 23.69 ,24 10 54.37 
03 47 15.67 ,23 49 53.03 
03 47 43.91 ,23 55 33.71 
03 47 21.99 ,23 52 08.14 
03 47 11.79 ,24 23 07.51 
03 46 28.83 ,24 26 53.09 
03 46 06.09 ,23 48 04.05 
03 46 41.03 ,24 07 37.88 
03 47 51.37 ,23 53 05.06 
03 47 59.46 ,24 15 49.86 
03 48 16.72 ,24 28 43.15 
03 48 32.06 ,24 06 29.77 
03 47 46.77 ,24 13 15.28 
03 47 01.94 ,24 00 15.33 
