ra,dec
14 37 59.50 ,-61 05 01.48 
14 41 38.81 ,-60 49 15.68 
14 36 25.39 ,-60 39 31.75 
14 37 30.45 ,-60 46 37.57 
14 41 31.68 ,-60 49 29.91 
14 40 27.46 ,-60 32 24.54 
14 39 48.71 ,-60 52 53.36 
14 37 19.41 ,-61 10 12.70 
14 40 46.18 ,-60 45 54.01 
14 38 26.00 ,-60 42 40.31 
14 41 27.60 ,-60 54 33.21 
14 41 50.24 ,-60 51 03.77 
14 40 37.81 ,-60 59 54.23 
14 39 22.08 ,-61 00 12.17 
14 41 47.91 ,-61 06 40.45 
14 36 26.73 ,-60 55 02.59 
14 39 35.62 ,-61 00 26.12 
14 40 30.80 ,-60 48 27.44 
14 39 10.05 ,-61 01 55.65 
14 38 03.71 ,-61 08 53.65 
14 42 56.04 ,-61 01 33.29 
14 37 28.88 ,-60 50 16.07 
14 38 35.30 ,-60 49 59.35 
14 37 47.34 ,-60 49 33.36 
14 38 16.32 ,-61 03 34.17 
14 39 22.40 ,-60 52 20.57 
