ra,dec
08 37 27.38 ,-45 04 37.13 
08 32 56.83 ,-45 12 14.95 
08 34 35.09 ,-45 27 11.10 
08 34 56.16 ,-44 44 12.04 
08 34 21.32 ,-45 14 25.79 
08 37 39.52 ,-44 44 53.44 
08 34 37.12 ,-45 46 14.07 
08 34 46.42 ,-44 37 19.43 
08 35 22.09 ,-44 43 39.74 
08 35 56.48 ,-45 19 34.77 
08 33 16.05 ,-45 38 10.31 
08 37 06.53 ,-45 33 43.80 
08 34 04.35 ,-45 02 54.49 
08 35 47.31 ,-45 15 55.18 
08 35 45.58 ,-44 59 33.44 
08 35 12.14 ,-45 04 50.52 
08 37 24.81 ,-45 27 32.63 
08 34 13.52 ,-45 12 05.19 
08 37 39.02 ,-45 23 58.22 
08 36 52.96 ,-44 45 05.95 
08 35 08.60 ,-44 55 50.61 
08 33 22.24 ,-45 23 04.96 
08 36 00.27 ,-45 26 56.99 
08 37 49.57 ,-45 00 08.43 
08 32 50.21 ,-45 23 10.68 
08 35 48.67 ,-45 36 33.08 
08 35 02.87 ,-44 46 24.73 
08 33 06.88 ,-45 07 59.80 
08 34 21.94 ,-45 03 48.65 
08 34 57.04 ,-45 21 09.10 
08 34 40.86 ,-45 31 43.03 
08 35 45.72 ,-45 20 07.03 
08 37 19.63 ,-45 08 33.48 
08 34 16.73 ,-45 14 36.48 
08 36 28.00 ,-45 37 43.22 
08 36 58.15 ,-44 59 04.04 
08 36 58.57 ,-44 56 15.13 
08 33 49.02 ,-45 23 09.30 
08 33 56.80 ,-45 14 34.54 
08 33 41.36 ,-45 31 56.06 
08 36 04.27 ,-45 29 37.51 
08 32 34.98 ,-45 25 25.56 
08 37 24.33 ,-45 02 33.02 
08 33 58.90 ,-44 46 43.19 
08 33 45.77 ,-45 11 14.24 
08 37 13.33 ,-45 11 35.22 
08 35 26.74 ,-44 59 43.82 
08 34 44.04 ,-45 01 33.46 
08 36 30.86 ,-44 59 46.55 
08 36 17.79 ,-45 10 37.76 
08 37 46.01 ,-45 01 46.73 
08 34 11.68 ,-45 24 16.89 
08 34 59.05 ,-45 19 47.57 
08 33 33.46 ,-45 04 41.77 
08 32 15.06 ,-45 09 52.31 
08 33 16.69 ,-45 18 33.26 
08 35 10.61 ,-45 21 44.39 
08 33 16.49 ,-45 06 40.52 
08 33 18.95 ,-45 12 15.74 
08 35 28.93 ,-44 37 57.61 
08 35 49.03 ,-44 43 31.10 
08 34 25.79 ,-45 31 39.87 
08 36 34.86 ,-44 57 41.03 
08 35 36.75 ,-45 25 24.67 
08 35 48.35 ,-45 25 15.59 
08 35 33.55 ,-45 08 06.53 
08 37 28.16 ,-44 57 42.89 
08 33 58.23 ,-44 49 15.50 
08 33 23.54 ,-45 17 36.21 
08 35 28.81 ,-44 59 10.71 
08 35 47.89 ,-45 30 14.45 
08 38 10.66 ,-45 10 40.42 
08 36 15.49 ,-45 00 53.42 
08 37 42.97 ,-44 57 46.05 
08 33 47.93 ,-45 26 29.61 
08 36 32.40 ,-44 47 30.18 
08 35 18.58 ,-45 19 43.87 
08 33 53.35 ,-44 59 21.30 
08 38 19.39 ,-45 15 43.56 
08 33 26.72 ,-44 58 13.97 
08 37 45.53 ,-45 27 55.53 
08 36 45.08 ,-44 58 11.73 
08 34 49.18 ,-45 44 38.55 
08 34 22.29 ,-45 24 16.32 
08 35 26.19 ,-45 13 45.84 
08 33 09.79 ,-45 22 37.08 
08 35 04.94 ,-44 50 45.77 
08 34 37.87 ,-45 33 21.55 
08 35 48.34 ,-45 06 46.95 
08 34 50.18 ,-45 17 01.23 
08 37 49.48 ,-44 47 27.08 
08 34 43.67 ,-45 21 19.73 
08 34 27.46 ,-44 56 28.95 
08 35 32.38 ,-45 34 41.11 
08 34 40.63 ,-45 10 06.35 
08 35 55.92 ,-45 16 05.99 
08 34 11.89 ,-45 35 28.41 
08 35 40.53 ,-44 58 36.12 
08 34 58.83 ,-44 42 17.30 
08 33 07.65 ,-45 03 57.27 
08 33 37.05 ,-45 31 17.99 
08 36 36.60 ,-45 07 34.72 
08 37 10.34 ,-45 13 05.84 
08 35 08.29 ,-45 30 17.34 
08 32 40.91 ,-44 56 27.80 
08 36 35.52 ,-44 58 52.43 
08 35 00.89 ,-44 46 18.73 
08 36 20.79 ,-45 03 07.75 
08 37 14.97 ,-45 02 47.15 
08 36 11.33 ,-45 17 09.95 
08 33 59.19 ,-45 23 59.95 
08 36 17.47 ,-45 08 45.42 
08 32 39.88 ,-45 09 05.23 
08 35 29.67 ,-45 29 00.40 
08 37 26.56 ,-45 10 51.19 
08 35 43.31 ,-44 57 24.71 
08 35 28.85 ,-44 54 24.26 
08 35 17.56 ,-44 45 45.07 
08 34 36.12 ,-45 11 03.74 
08 35 27.62 ,-45 12 55.18 
08 34 16.55 ,-45 21 11.63 
08 38 35.11 ,-45 22 23.36 
08 34 42.75 ,-45 05 36.95 
08 36 01.56 ,-45 39 00.10 
08 35 04.78 ,-45 16 40.90 
08 33 18.17 ,-44 54 09.55 
08 34 30.40 ,-44 44 16.36 
08 34 04.77 ,-45 11 37.48 
08 35 26.41 ,-45 25 05.29 
08 37 17.92 ,-44 58 36.82 
08 34 09.75 ,-45 07 39.84 
08 36 41.16 ,-45 11 26.41 
08 38 42.38 ,-45 14 12.04 
08 32 50.16 ,-45 07 53.49 
08 35 02.99 ,-45 18 04.18 
08 36 07.49 ,-44 59 29.73 
08 35 20.80 ,-44 58 34.08 
08 34 25.60 ,-45 07 15.25 
08 37 54.79 ,-45 23 41.45 
08 37 29.16 ,-44 46 43.56 
08 35 57.00 ,-45 27 54.97 
08 34 18.91 ,-45 22 51.44 
08 36 42.19 ,-44 56 27.99 
08 34 08.97 ,-45 26 36.97 
08 37 05.58 ,-45 04 18.19 
08 32 58.87 ,-45 31 48.76 
08 35 58.18 ,-45 35 01.28 
08 33 12.31 ,-45 00 10.55 
08 34 14.43 ,-45 22 49.59 
08 36 51.37 ,-45 27 14.88 
08 36 07.78 ,-44 48 44.45 
08 34 40.37 ,-45 13 13.63 
08 38 03.82 ,-44 57 44.99 
08 38 18.41 ,-45 19 11.01 
08 35 14.14 ,-45 01 53.04 
08 37 40.41 ,-45 12 30.23 
08 34 03.89 ,-45 25 46.83 
08 33 33.82 ,-44 46 54.20 
08 36 33.56 ,-44 49 00.95 
08 33 40.64 ,-45 14 28.96 
08 38 00.72 ,-45 26 55.71 
08 34 11.28 ,-45 24 03.61 
08 34 19.42 ,-45 12 36.85 
08 33 29.86 ,-45 15 35.53 
08 32 06.02 ,-45 07 34.50 
08 37 37.46 ,-45 20 27.65 
08 37 16.80 ,-44 57 41.69 
08 33 55.95 ,-45 24 11.23 
08 36 07.85 ,-45 43 02.88 
08 36 23.53 ,-45 33 31.99 
08 36 58.90 ,-45 25 53.45 
08 38 12.52 ,-45 12 29.41 
08 35 21.68 ,-45 13 59.60 
08 36 45.82 ,-44 54 24.03 
08 33 32.73 ,-45 08 13.08 
08 37 22.18 ,-45 16 30.18 
08 36 37.50 ,-45 37 49.05 
08 35 27.04 ,-45 16 01.68 
08 35 21.29 ,-45 23 58.32 
08 33 40.35 ,-45 09 59.20 
