ra,dec
06 32 02.22 ,17 58 11.06 
06 34 18.84 ,18 11 22.89 
06 33 44.61 ,18 06 11.72 
06 34 34.85 ,17 52 52.51 
06 33 21.89 ,17 54 51.43 
06 35 05.12 ,17 36 47.63 
06 34 46.84 ,17 39 52.52 
06 33 02.17 ,17 40 41.44 
06 32 53.82 ,18 13 12.48 
06 32 16.11 ,17 29 17.01 
06 34 09.47 ,17 20 39.78 
06 33 12.44 ,18 04 03.35 
06 34 15.93 ,18 22 35.53 
06 34 23.85 ,17 26 18.51 
06 32 06.81 ,17 32 55.03 
06 33 54.60 ,17 26 34.70 
06 34 06.21 ,17 23 39.23 
06 32 33.05 ,18 04 59.60 
06 32 07.31 ,17 39 04.02 
06 32 11.25 ,17 20 25.82 
06 32 19.32 ,17 39 03.06 
06 34 19.50 ,17 40 24.46 
06 36 01.22 ,17 27 49.25 
06 35 44.20 ,18 03 26.71 
06 34 46.33 ,17 50 40.81 
06 32 17.71 ,17 25 26.86 
06 36 39.00 ,17 36 33.15 
06 32 04.08 ,18 04 28.20 
06 33 04.08 ,17 38 34.63 
06 34 18.17 ,17 44 18.75 
06 32 36.61 ,17 27 17.91 
06 32 49.79 ,18 08 22.19 
06 34 05.59 ,17 06 18.30 
06 34 57.85 ,18 03 31.67 
06 32 22.82 ,18 03 10.32 
06 31 26.18 ,18 06 57.06 
06 33 58.85 ,17 58 45.04 
06 34 45.43 ,18 15 09.34 
06 32 56.13 ,17 25 09.14 
06 34 30.89 ,17 50 33.48 
06 32 10.83 ,17 30 58.21 
06 34 20.19 ,17 54 40.36 
06 36 01.80 ,17 59 08.94 
06 35 05.12 ,17 26 37.18 
06 31 41.51 ,18 08 56.45 
06 34 45.82 ,17 43 07.48 
06 31 29.95 ,17 24 52.99 
06 32 52.46 ,17 31 02.47 
06 35 45.93 ,17 47 58.46 
06 33 20.94 ,17 29 19.85 
06 34 05.66 ,17 58 38.85 
06 34 06.83 ,17 25 30.89 
06 33 51.79 ,18 09 00.74 
06 35 30.89 ,17 24 01.69 
06 33 45.71 ,17 54 53.23 
06 32 12.65 ,17 17 15.08 
06 32 16.89 ,18 06 56.10 
06 32 49.45 ,17 38 00.90 
06 31 34.06 ,17 53 34.31 
06 33 18.46 ,17 49 30.12 
06 34 39.96 ,17 43 31.12 
06 31 22.07 ,17 26 26.70 
06 35 10.75 ,18 11 07.68 
06 35 17.14 ,17 15 53.42 
