ra,dec
19 11 51.63 ,04 59 55.26 
19 11 49.19 ,04 57 04.54 
19 11 45.36 ,04 59 30.04 
19 11 54.93 ,04 58 47.47 
19 11 53.56 ,04 58 50.86 
19 11 46.26 ,04 59 49.50 
19 11 49.79 ,04 59 02.50 
19 11 53.47 ,04 58 50.92 
19 11 52.00 ,04 59 42.50 
19 11 45.26 ,04 59 13.42 
19 11 49.86 ,04 58 28.53 
19 11 48.17 ,04 59 09.06 
19 11 47.45 ,04 58 13.40 
19 11 51.81 ,04 57 39.38 
19 11 44.81 ,04 58 07.31 
19 11 55.43 ,04 57 52.79 
19 11 53.60 ,05 00 08.97 
19 11 51.13 ,04 57 04.44 
19 11 44.22 ,04 58 14.81 
19 11 47.22 ,04 59 07.07 
19 11 47.04 ,04 57 48.26 
19 11 47.96 ,04 57 50.50 
19 11 49.30 ,05 00 25.15 
19 11 48.99 ,04 58 14.11 
19 11 54.04 ,05 00 20.73 
19 11 52.29 ,04 57 32.71 
19 11 51.13 ,05 00 14.92 
19 11 53.35 ,04 59 44.73 
19 11 42.26 ,04 59 02.27 
19 11 44.84 ,04 59 09.47 
19 11 49.51 ,04 58 55.03 
19 11 43.52 ,04 59 46.19 
19 11 46.99 ,04 59 44.44 
19 11 50.94 ,04 59 24.77 
19 11 51.29 ,04 57 53.42 
19 11 47.66 ,04 58 19.60 
19 11 44.17 ,04 59 05.69 
19 11 49.83 ,04 58 24.34 
19 11 55.42 ,04 58 14.81 
19 11 50.18 ,04 57 50.71 
19 11 48.22 ,04 58 09.18 
19 11 47.61 ,04 58 32.13 
19 11 51.92 ,04 59 54.59 
19 11 54.64 ,04 58 25.98 
19 11 49.45 ,04 58 44.79 
19 11 45.21 ,05 00 25.86 
19 11 54.90 ,04 59 50.32 
19 11 46.26 ,04 59 47.34 
19 11 46.54 ,04 57 17.34 
19 11 47.49 ,04 57 05.52 
19 11 46.96 ,04 59 15.98 
19 11 55.20 ,04 58 31.10 
19 11 49.61 ,04 59 24.09 
19 11 53.51 ,04 58 07.80 
19 11 44.59 ,04 59 33.84 
19 11 54.46 ,04 58 23.23 
19 11 49.20 ,04 59 17.04 
19 11 47.68 ,04 59 18.56 
19 11 43.83 ,04 59 25.28 
19 11 50.19 ,04 59 56.78 
19 11 49.24 ,04 59 44.88 
19 11 50.62 ,04 57 29.78 
19 11 51.60 ,04 57 14.70 
19 11 47.53 ,04 58 26.33 
19 11 50.29 ,04 59 12.93 
19 11 46.66 ,04 59 11.65 
19 11 43.19 ,04 58 49.75 
19 11 44.47 ,04 57 36.37 
19 11 50.94 ,04 59 26.72 
19 11 49.66 ,04 59 32.16 
19 11 49.75 ,04 57 21.59 
19 11 54.11 ,04 58 54.54 
19 11 45.76 ,04 58 29.73 
19 11 47.38 ,05 00 01.73 
19 11 53.09 ,04 58 41.72 
19 11 46.70 ,04 59 07.55 
19 11 45.10 ,04 58 34.53 
19 11 45.86 ,05 00 17.28 
19 11 51.01 ,05 00 22.66 
19 11 46.84 ,05 00 11.36 
19 11 42.13 ,04 58 59.06 
19 11 47.80 ,04 57 20.24 
19 11 52.28 ,04 57 16.20 
19 11 49.42 ,04 58 08.73 
19 11 52.61 ,04 58 48.02 
19 11 46.96 ,05 00 32.38 
19 11 51.49 ,04 59 25.51 
19 11 52.41 ,04 58 12.39 
19 11 50.24 ,04 59 34.07 
19 11 54.18 ,04 58 29.50 
19 11 54.14 ,04 59 56.75 
19 11 50.96 ,04 59 34.31 
19 11 44.52 ,04 59 07.89 
19 11 42.05 ,04 58 38.25 
19 11 44.75 ,04 59 45.64 
19 11 53.77 ,04 57 28.84 
19 11 46.96 ,04 59 23.90 
19 11 52.93 ,04 58 51.10 
19 11 47.19 ,05 00 06.56 
19 11 43.66 ,04 58 11.51 
19 11 50.34 ,04 58 11.22 
19 11 50.63 ,04 58 09.08 
19 11 52.14 ,04 57 55.22 
19 11 45.90 ,04 58 56.62 
19 11 49.51 ,04 58 27.66 
19 11 52.75 ,04 59 04.85 
19 11 52.37 ,04 57 17.15 
19 11 47.30 ,04 59 38.63 
19 11 51.75 ,04 59 31.69 
19 11 46.35 ,04 57 51.87 
19 11 51.99 ,04 58 39.24 
19 11 45.39 ,05 00 08.48 
19 11 54.39 ,04 59 07.60 
19 11 45.07 ,04 59 36.65 
19 11 51.23 ,04 59 27.56 
19 11 56.08 ,04 58 25.38 
19 11 53.25 ,04 59 16.53 
19 11 55.04 ,04 59 06.29 
19 11 51.12 ,04 57 42.00 
19 11 42.66 ,04 58 12.06 
19 11 43.56 ,04 58 50.44 
19 11 50.05 ,05 00 26.40 
19 11 56.24 ,04 59 14.86 
19 11 48.63 ,04 58 52.55 
19 11 51.93 ,04 57 28.88 
19 11 54.18 ,04 58 15.03 
19 11 53.79 ,04 59 49.29 
19 11 50.99 ,04 57 33.92 
19 11 56.40 ,04 58 30.47 
19 11 50.33 ,04 59 09.10 
19 11 48.97 ,04 59 26.75 
19 11 49.73 ,04 57 41.77 
19 11 46.26 ,04 59 02.56 
19 11 50.18 ,04 57 54.12 
19 11 45.49 ,04 59 03.75 
19 11 44.32 ,04 58 24.31 
19 11 43.40 ,04 58 22.38 
19 11 46.14 ,04 59 05.17 
19 11 50.13 ,05 00 09.64 
19 11 51.65 ,04 59 26.13 
19 11 53.50 ,04 58 12.92 
19 11 50.92 ,04 58 03.48 
19 11 53.66 ,04 58 09.14 
19 11 52.26 ,04 58 37.16 
19 11 50.12 ,04 59 26.11 
19 11 47.89 ,04 58 59.62 
19 11 51.51 ,05 00 03.96 
19 11 51.00 ,05 00 35.07 
19 11 49.95 ,04 58 53.71 
19 11 48.13 ,04 59 18.40 
19 11 52.19 ,04 58 44.92 
19 11 45.42 ,05 00 12.74 
19 11 42.59 ,04 58 54.69 
19 11 52.38 ,04 59 44.48 
19 11 48.23 ,04 57 58.13 
19 11 52.66 ,04 58 23.21 
19 11 47.07 ,04 59 23.69 
19 11 50.49 ,04 57 43.15 
19 11 46.99 ,05 00 30.31 
19 11 52.09 ,04 58 51.36 
19 11 53.28 ,04 57 47.19 
19 11 50.41 ,04 57 27.15 
19 11 42.73 ,04 59 28.61 
19 11 52.40 ,04 57 09.88 
19 11 50.52 ,05 00 14.79 
19 11 49.27 ,04 58 08.57 
19 11 50.51 ,04 58 41.37 
19 11 52.18 ,04 58 34.26 
19 11 51.37 ,04 58 56.92 
19 11 46.20 ,04 57 46.60 
19 11 47.81 ,04 58 30.05 
19 11 47.97 ,04 57 42.08 
19 11 44.09 ,04 58 14.70 
19 11 52.76 ,04 59 58.40 
19 11 43.88 ,04 58 12.55 
19 11 53.76 ,04 57 54.25 
19 11 45.30 ,04 57 39.58 
19 11 54.10 ,04 58 23.38 
19 11 53.93 ,04 59 36.77 
19 11 55.26 ,04 59 20.24 
19 11 47.78 ,04 59 34.49 
19 11 45.49 ,04 58 09.59 
19 11 51.08 ,04 59 26.63 
19 11 43.13 ,04 58 29.01 
19 11 43.96 ,04 58 48.05 
19 11 51.77 ,04 58 25.09 
19 11 49.65 ,04 59 46.83 
19 11 47.77 ,04 57 29.76 
19 11 45.36 ,04 59 00.22 
19 11 52.76 ,04 58 30.40 
19 11 47.50 ,04 58 16.33 
19 11 49.90 ,04 58 14.58 
19 11 50.41 ,04 57 32.41 
19 11 53.58 ,04 58 36.13 
19 11 47.54 ,04 57 26.52 
19 11 49.39 ,04 58 48.75 
19 11 47.39 ,04 59 38.52 
19 11 49.92 ,04 58 04.63 
19 11 51.62 ,05 00 10.15 
19 11 55.37 ,04 59 16.27 
19 11 45.96 ,04 57 32.62 
19 11 56.05 ,04 58 31.55 
19 11 48.94 ,05 00 01.07 
19 11 52.09 ,05 00 03.83 
19 11 50.85 ,04 59 08.62 
19 11 48.97 ,05 00 04.91 
19 11 48.76 ,04 58 23.11 
19 11 48.79 ,04 57 00.07 
19 11 50.25 ,04 57 25.66 
19 11 52.42 ,04 57 50.19 
19 11 50.48 ,04 57 43.61 
19 11 51.67 ,04 57 37.67 
19 11 52.15 ,04 58 45.36 
19 11 52.76 ,04 58 17.44 
19 11 48.80 ,04 58 45.90 
19 11 46.42 ,04 58 26.96 
19 11 43.21 ,04 58 24.77 
19 11 45.13 ,04 59 35.28 
19 11 50.68 ,04 58 42.21 
19 11 50.81 ,04 58 55.19 
19 11 49.85 ,04 59 38.34 
19 11 52.71 ,04 57 42.76 
19 11 45.86 ,05 00 10.92 
19 11 46.83 ,04 58 28.27 
19 11 52.72 ,04 58 10.17 
19 11 52.64 ,04 59 01.31 
19 11 53.76 ,04 58 56.84 
19 11 55.69 ,04 59 15.30 
19 11 49.73 ,04 59 52.05 
19 11 45.38 ,04 58 32.61 
19 11 47.98 ,04 59 49.02 
19 11 45.06 ,04 59 40.47 
19 11 45.81 ,04 59 47.13 
19 11 46.78 ,04 59 47.09 
19 11 50.00 ,04 57 21.29 
19 11 44.73 ,04 58 47.64 
19 11 48.01 ,04 57 34.04 
19 11 53.16 ,04 59 01.57 
19 11 51.86 ,04 57 29.26 
19 11 52.47 ,04 59 00.10 
19 11 53.07 ,04 59 23.78 
19 11 52.57 ,04 59 02.98 
19 11 52.08 ,04 59 58.52 
19 11 47.02 ,04 59 30.34 
19 11 44.60 ,04 59 20.27 
19 11 47.03 ,05 00 29.32 
19 11 47.20 ,04 57 58.81 
