ra,dec
19 58 13.99 ,35 14 26.97 
19 58 12.16 ,35 08 43.10 
19 58 10.37 ,35 09 41.21 
19 58 14.35 ,35 10 23.87 
19 58 13.14 ,35 08 58.20 
19 58 18.05 ,35 10 23.45 
19 58 30.52 ,35 14 37.78 
19 58 17.47 ,35 14 12.87 
19 58 12.03 ,35 09 07.02 
19 58 14.16 ,35 11 08.27 
19 58 08.86 ,35 10 25.08 
19 57 57.21 ,35 12 18.07 
19 58 17.43 ,35 11 45.10 
19 57 59.73 ,35 13 45.02 
19 58 03.62 ,35 13 23.34 
19 58 16.23 ,35 09 28.82 
19 58 17.82 ,35 12 14.45 
19 58 19.14 ,35 14 50.75 
19 58 06.55 ,35 12 24.73 
19 58 11.93 ,35 13 00.91 
19 58 16.74 ,35 08 11.73 
19 58 14.33 ,35 12 49.40 
19 58 01.50 ,35 11 33.39 
19 58 23.30 ,35 11 57.14 
19 58 36.29 ,35 12 25.62 
19 58 20.21 ,35 08 35.30 
19 58 17.01 ,35 12 56.04 
19 58 15.92 ,35 10 20.36 
19 58 10.57 ,35 11 20.81 
19 58 30.18 ,35 10 40.21 
19 58 26.45 ,35 11 24.52 
19 58 13.57 ,35 09 18.23 
19 58 29.85 ,35 08 56.59 
19 58 29.41 ,35 14 23.62 
19 58 04.08 ,35 09 22.65 
19 58 06.21 ,35 15 18.67 
19 58 30.68 ,35 11 26.97 
19 58 38.34 ,35 12 20.13 
19 58 09.71 ,35 15 06.83 
19 58 12.15 ,35 15 55.81 
19 58 06.75 ,35 13 45.43 
19 58 13.02 ,35 14 27.12 
19 58 20.25 ,35 12 36.56 
19 58 21.18 ,35 13 56.61 
19 58 25.98 ,35 12 07.52 
19 58 32.07 ,35 13 18.42 
19 58 21.42 ,35 10 03.62 
19 58 22.28 ,35 14 25.19 
19 58 09.01 ,35 12 28.20 
19 58 17.52 ,35 14 17.08 
19 58 24.84 ,35 08 17.31 
19 58 27.45 ,35 10 19.40 
19 58 16.47 ,35 08 23.18 
19 58 13.35 ,35 15 30.99 
19 58 38.60 ,35 10 23.04 
19 58 27.77 ,35 08 20.54 
19 58 23.54 ,35 10 48.59 
19 58 23.44 ,35 14 15.29 
19 58 20.98 ,35 15 38.09 
19 58 01.64 ,35 11 46.56 
19 58 26.82 ,35 08 40.36 
19 58 35.28 ,35 14 17.86 
19 58 39.03 ,35 12 42.51 
19 58 09.89 ,35 13 35.78 
19 58 14.17 ,35 10 46.80 
19 58 03.53 ,35 12 40.14 
19 58 30.29 ,35 12 06.02 
19 58 22.19 ,35 13 25.14 
19 58 10.13 ,35 09 03.60 
19 58 06.21 ,35 14 59.08 
19 58 16.02 ,35 14 24.15 
19 58 31.95 ,35 11 06.93 
19 58 12.07 ,35 14 27.04 
19 58 20.62 ,35 13 33.26 
19 58 07.91 ,35 09 54.77 
19 58 22.22 ,35 13 34.38 
19 58 07.96 ,35 08 43.87 
19 58 38.73 ,35 10 03.97 
19 58 18.73 ,35 13 02.78 
