ra,dec
16 53 59.74 ,-39 52 31.34 
16 54 04.86 ,-39 48 40.85 
16 54 10.58 ,-39 52 12.26 
16 54 08.85 ,-39 51 42.96 
16 54 02.52 ,-39 48 04.80 
16 54 00.74 ,-39 52 20.97 
16 54 08.57 ,-39 53 08.10 
16 54 08.97 ,-39 48 43.52 
16 53 56.35 ,-39 50 41.63 
16 54 00.04 ,-39 53 14.54 
16 54 00.13 ,-39 53 18.19 
16 54 12.66 ,-39 52 30.39 
16 53 51.11 ,-39 49 49.59 
16 54 01.62 ,-39 50 25.91 
16 54 15.82 ,-39 52 36.14 
16 53 51.97 ,-39 50 06.86 
16 54 14.30 ,-39 50 26.24 
16 53 50.60 ,-39 51 40.23 
16 53 52.50 ,-39 49 28.87 
16 54 06.40 ,-39 51 09.48 
16 53 53.40 ,-39 50 01.80 
16 54 08.89 ,-39 51 20.32 
16 53 57.57 ,-39 50 58.53 
16 54 15.22 ,-39 49 39.54 
16 54 09.33 ,-39 48 13.06 
16 53 58.62 ,-39 48 04.46 
16 54 07.02 ,-39 51 19.27 
16 54 13.16 ,-39 51 38.51 
16 54 00.08 ,-39 50 48.24 
16 54 06.55 ,-39 49 56.86 
16 54 09.97 ,-39 48 03.72 
16 54 07.30 ,-39 51 10.45 
16 54 02.43 ,-39 50 10.49 
16 53 59.48 ,-39 51 01.35 
16 54 03.18 ,-39 48 59.04 
16 53 54.77 ,-39 51 51.72 
16 54 05.87 ,-39 50 33.01 
16 53 54.35 ,-39 50 08.42 
16 54 18.93 ,-39 51 03.22 
16 53 59.29 ,-39 51 29.35 
16 53 52.02 ,-39 51 45.40 
16 54 00.55 ,-39 47 49.36 
16 54 06.58 ,-39 51 52.86 
16 54 14.21 ,-39 52 58.54 
16 54 08.92 ,-39 51 42.99 
16 53 53.78 ,-39 51 13.95 
16 54 17.60 ,-39 49 52.51 
16 54 02.94 ,-39 52 29.00 
16 53 51.03 ,-39 52 27.70 
16 54 15.02 ,-39 49 36.09 
16 53 55.93 ,-39 52 35.64 
16 54 04.74 ,-39 48 34.03 
16 54 09.51 ,-39 52 21.01 
16 53 49.89 ,-39 51 37.24 
16 54 07.94 ,-39 51 19.71 
16 54 01.26 ,-39 47 59.74 
16 54 00.77 ,-39 50 06.71 
16 54 04.67 ,-39 52 27.00 
16 54 05.32 ,-39 50 01.72 
16 53 54.22 ,-39 50 49.21 
16 54 02.05 ,-39 51 14.44 
16 54 12.01 ,-39 49 43.90 
16 54 08.66 ,-39 53 07.79 
16 53 53.66 ,-39 49 37.94 
16 54 00.32 ,-39 51 09.49 
16 54 15.05 ,-39 49 39.37 
16 54 04.25 ,-39 50 11.39 
16 54 05.62 ,-39 49 35.53 
16 53 54.53 ,-39 50 49.31 
16 54 10.20 ,-39 49 46.92 
16 54 00.63 ,-39 52 38.26 
16 54 13.06 ,-39 50 15.09 
16 53 56.06 ,-39 49 24.95 
16 54 05.37 ,-39 53 41.92 
16 54 04.27 ,-39 49 42.78 
16 53 54.64 ,-39 49 00.78 
16 54 14.81 ,-39 48 52.49 
16 54 09.40 ,-39 50 59.38 
16 54 05.54 ,-39 52 06.88 
16 54 07.82 ,-39 51 51.65 
16 54 00.00 ,-39 50 05.13 
16 54 05.57 ,-39 49 35.40 
16 53 54.00 ,-39 49 06.03 
16 54 02.11 ,-39 52 22.47 
16 54 08.10 ,-39 50 32.81 
16 54 13.62 ,-39 51 43.51 
16 54 06.31 ,-39 49 14.72 
16 54 12.07 ,-39 48 30.43 
16 54 06.30 ,-39 52 26.90 
16 54 15.28 ,-39 49 01.78 
16 54 17.28 ,-39 50 09.59 
16 54 04.36 ,-39 51 51.09 
16 53 51.22 ,-39 52 01.10 
16 53 54.36 ,-39 50 32.43 
16 54 10.30 ,-39 50 25.96 
16 54 08.11 ,-39 49 00.82 
16 54 07.84 ,-39 51 27.96 
16 54 16.39 ,-39 49 01.69 
16 53 59.67 ,-39 51 33.80 
16 54 03.93 ,-39 51 12.86 
16 53 54.72 ,-39 48 17.79 
16 54 02.76 ,-39 49 17.88 
16 54 10.38 ,-39 48 06.59 
16 54 13.94 ,-39 52 38.54 
16 54 10.50 ,-39 53 21.57 
16 54 13.14 ,-39 49 46.84 
16 53 51.70 ,-39 50 43.58 
16 53 55.05 ,-39 48 24.83 
16 54 00.97 ,-39 50 42.04 
16 54 08.59 ,-39 48 04.01 
16 54 07.05 ,-39 52 21.23 
16 53 52.05 ,-39 52 27.13 
16 53 56.90 ,-39 52 37.53 
16 54 08.96 ,-39 50 43.74 
16 54 16.15 ,-39 50 39.49 
16 53 56.27 ,-39 50 43.10 
16 54 00.27 ,-39 48 14.40 
16 53 53.55 ,-39 50 37.72 
16 54 00.00 ,-39 51 34.02 
16 54 02.62 ,-39 48 42.50 
16 53 51.07 ,-39 50 16.84 
16 53 51.58 ,-39 48 46.20 
16 54 01.10 ,-39 50 10.54 
16 53 56.39 ,-39 48 35.25 
16 54 08.61 ,-39 51 04.57 
16 54 08.63 ,-39 50 10.23 
16 54 18.46 ,-39 51 03.01 
16 54 08.20 ,-39 53 14.41 
16 53 58.42 ,-39 48 23.39 
16 54 02.78 ,-39 50 09.63 
16 53 54.14 ,-39 48 44.92 
16 54 05.12 ,-39 49 45.66 
16 54 10.65 ,-39 50 16.46 
16 54 15.64 ,-39 51 50.31 
16 54 13.42 ,-39 51 22.93 
16 54 04.54 ,-39 52 09.33 
16 53 54.84 ,-39 52 09.98 
16 54 16.57 ,-39 50 34.78 
16 54 00.89 ,-39 49 53.32 
16 54 01.22 ,-39 49 50.62 
16 54 00.83 ,-39 52 33.51 
16 53 57.65 ,-39 49 54.82 
16 54 07.39 ,-39 50 53.57 
16 54 10.12 ,-39 50 22.11 
16 54 07.18 ,-39 51 11.87 
16 54 02.29 ,-39 50 31.01 
16 54 00.78 ,-39 52 26.97 
16 53 57.17 ,-39 48 31.84 
16 54 11.71 ,-39 51 19.74 
16 54 12.79 ,-39 49 05.30 
16 54 04.15 ,-39 48 19.42 
16 54 01.19 ,-39 52 44.80 
16 54 15.94 ,-39 49 58.29 
16 53 58.30 ,-39 50 13.02 
16 54 03.64 ,-39 48 08.52 
16 54 12.79 ,-39 52 47.85 
16 54 11.39 ,-39 50 25.77 
16 53 59.71 ,-39 51 34.89 
16 53 58.92 ,-39 51 33.30 
16 54 04.55 ,-39 51 35.71 
16 53 58.62 ,-39 49 48.21 
16 53 53.63 ,-39 51 20.73 
16 53 53.09 ,-39 51 50.25 
16 53 57.60 ,-39 50 07.93 
16 54 07.68 ,-39 50 39.47 
16 53 57.45 ,-39 50 05.00 
16 54 07.98 ,-39 48 02.17 
16 54 07.69 ,-39 50 01.37 
16 54 04.77 ,-39 49 33.27 
16 54 10.39 ,-39 53 11.29 
16 54 03.76 ,-39 49 49.60 
