ra,dec
05 34 29.60 ,21 58 58.38 
05 34 29.16 ,22 01 39.02 
05 34 39.40 ,22 00 45.60 
05 34 28.04 ,22 00 09.22 
05 34 25.52 ,21 57 27.12 
05 34 29.58 ,22 01 37.97 
05 34 32.84 ,22 03 45.46 
05 34 43.26 ,21 56 47.20 
05 34 30.06 ,22 03 29.53 
05 34 21.09 ,22 03 33.28 
05 34 17.14 ,21 58 35.16 
05 34 46.66 ,22 02 02.11 
05 34 35.68 ,22 02 33.46 
05 34 44.16 ,22 03 13.10 
05 34 44.85 ,22 03 30.17 
05 34 20.25 ,21 57 31.23 
05 34 24.88 ,22 00 34.56 
05 34 23.78 ,21 57 00.09 
05 34 24.36 ,22 00 26.44 
05 34 42.84 ,21 58 47.00 
05 34 33.07 ,21 58 09.33 
05 34 46.93 ,22 03 01.00 
05 34 40.90 ,22 03 53.68 
05 34 15.72 ,21 59 34.75 
05 34 41.72 ,22 04 02.45 
05 34 37.42 ,21 59 10.81 
05 34 26.72 ,22 01 44.64 
05 34 29.14 ,21 57 06.51 
05 34 38.75 ,22 03 06.97 
05 34 36.44 ,22 02 27.88 
05 34 41.12 ,22 02 10.06 
05 34 19.19 ,22 04 00.98 
05 34 30.87 ,22 01 54.90 
05 34 37.39 ,21 57 57.42 
05 34 34.82 ,21 58 49.70 
05 34 15.70 ,21 59 21.94 
05 34 23.48 ,22 05 15.94 
05 34 12.94 ,22 01 27.58 
05 34 25.07 ,22 02 49.24 
05 34 33.03 ,21 57 41.44 
05 34 41.06 ,21 57 34.91 
05 34 46.80 ,22 01 50.63 
05 34 43.91 ,21 58 08.48 
05 34 38.29 ,21 58 29.53 
05 34 35.56 ,22 04 18.67 
05 34 37.64 ,22 00 04.24 
05 34 27.78 ,21 56 29.29 
05 34 33.92 ,21 59 29.77 
05 34 36.50 ,22 01 34.57 
05 34 40.24 ,22 04 56.69 
05 34 37.84 ,22 04 49.25 
05 34 43.80 ,22 05 33.08 
05 34 30.98 ,22 02 22.68 
05 34 16.94 ,22 02 02.98 
05 34 35.77 ,21 59 13.57 
05 34 42.29 ,21 59 20.95 
05 34 44.23 ,22 00 01.87 
05 34 22.92 ,21 59 28.00 
05 34 30.55 ,22 04 52.79 
05 34 33.13 ,22 00 01.36 
05 34 35.68 ,21 58 57.28 
05 34 47.70 ,22 03 36.21 
05 34 37.78 ,22 03 22.36 
05 34 26.60 ,21 58 37.67 
05 34 24.93 ,22 01 15.38 
05 34 20.24 ,22 01 11.24 
05 34 10.97 ,22 00 55.88 
05 34 31.53 ,22 01 35.47 
05 34 29.53 ,21 57 26.73 
05 34 28.17 ,21 58 36.42 
05 34 44.98 ,22 00 02.24 
05 34 23.98 ,22 00 42.68 
05 34 26.44 ,21 57 20.31 
05 34 23.13 ,22 01 49.61 
05 34 30.49 ,22 03 01.75 
05 34 43.98 ,22 05 33.65 
05 34 15.67 ,21 58 09.02 
05 34 21.40 ,22 02 11.92 
05 34 46.30 ,22 05 03.16 
05 34 16.85 ,21 59 59.73 
05 34 19.25 ,21 59 06.98 
05 34 44.28 ,22 00 04.15 
05 34 37.78 ,22 02 42.69 
05 34 36.95 ,21 59 53.12 
05 34 37.83 ,22 02 25.41 
05 34 26.58 ,21 56 54.78 
05 34 23.59 ,22 04 08.11 
05 34 28.48 ,21 57 51.18 
05 34 17.33 ,21 59 09.28 
05 34 48.89 ,22 00 38.74 
05 34 20.90 ,22 04 08.38 
05 34 35.44 ,22 00 51.92 
05 34 39.73 ,22 02 16.09 
05 34 36.97 ,21 59 37.76 
05 34 23.65 ,21 59 16.25 
05 34 22.65 ,22 02 28.19 
05 34 41.02 ,22 00 07.34 
05 34 40.79 ,22 03 24.15 
05 34 22.14 ,22 03 59.34 
05 34 31.58 ,21 57 00.82 
05 34 34.24 ,21 59 45.04 
05 34 22.42 ,21 58 01.19 
05 34 43.55 ,22 04 43.29 
05 34 42.39 ,21 59 05.61 
05 34 30.71 ,21 59 17.51 
05 34 39.01 ,21 59 48.24 
05 34 23.05 ,22 01 07.54 
05 34 15.42 ,22 00 58.29 
05 34 47.34 ,22 01 01.62 
05 34 55.33 ,22 00 18.31 
05 34 32.93 ,22 04 14.74 
05 34 41.31 ,22 00 55.44 
05 34 18.54 ,21 58 28.62 
05 34 31.11 ,22 01 08.90 
05 34 23.10 ,22 03 57.40 
05 34 34.49 ,22 02 13.81 
05 34 29.44 ,21 57 14.41 
05 34 36.19 ,22 00 09.21 
05 34 13.27 ,22 01 31.96 
05 34 48.78 ,22 01 51.55 
05 34 39.29 ,22 02 49.66 
05 34 31.44 ,21 56 32.29 
05 34 32.23 ,22 02 25.82 
05 34 53.46 ,21 58 46.79 
05 34 26.74 ,22 02 38.57 
05 34 42.82 ,21 58 26.80 
05 34 44.64 ,21 57 59.76 
05 34 28.13 ,22 03 40.87 
05 34 39.34 ,22 01 46.45 
05 34 44.91 ,22 04 16.55 
05 34 38.40 ,21 59 01.92 
05 34 44.95 ,21 59 53.31 
05 34 42.46 ,22 04 17.21 
05 34 38.23 ,21 58 43.24 
05 34 46.24 ,21 58 55.13 
05 34 48.49 ,22 00 47.22 
05 34 29.98 ,22 00 24.30 
05 34 43.45 ,22 02 02.52 
05 34 34.03 ,22 00 28.72 
05 34 28.29 ,21 59 46.06 
05 34 19.33 ,22 03 05.20 
05 34 32.76 ,22 05 11.28 
05 34 24.39 ,21 58 21.15 
05 34 46.64 ,22 01 30.11 
05 34 48.11 ,21 57 21.53 
05 34 26.16 ,21 59 15.05 
05 34 26.96 ,21 57 49.46 
05 34 48.85 ,22 02 21.35 
05 34 36.04 ,22 03 31.50 
05 34 47.33 ,22 03 41.62 
05 34 42.53 ,22 00 43.93 
05 34 26.83 ,21 58 06.91 
05 34 38.52 ,22 00 40.02 
05 34 23.68 ,22 00 39.98 
05 34 20.63 ,22 02 51.31 
05 34 46.97 ,22 01 30.83 
05 34 36.51 ,22 03 04.20 
05 34 22.65 ,22 02 36.67 
05 34 38.20 ,21 59 52.94 
05 34 41.26 ,22 05 01.44 
05 34 27.93 ,21 56 47.89 
05 34 28.72 ,21 57 25.46 
05 34 13.32 ,22 01 27.21 
05 34 30.73 ,22 03 16.57 
05 34 28.06 ,21 59 49.27 
05 34 24.48 ,21 58 28.35 
05 34 42.34 ,21 59 19.48 
05 34 35.14 ,22 03 48.32 
05 34 38.91 ,22 02 39.97 
05 34 41.18 ,21 56 32.73 
05 34 39.48 ,21 58 01.78 
05 34 42.56 ,21 59 45.29 
05 34 20.96 ,22 04 01.73 
05 34 46.69 ,21 58 29.18 
05 34 44.78 ,22 00 27.80 
05 34 15.82 ,22 00 14.32 
05 34 26.38 ,22 01 29.61 
05 34 37.73 ,22 00 05.69 
05 34 20.66 ,21 59 34.53 
05 34 36.79 ,21 58 40.52 
05 34 12.10 ,22 00 14.84 
05 34 47.64 ,21 59 12.73 
05 34 43.01 ,21 59 27.29 
05 34 43.69 ,21 58 29.66 
05 34 14.05 ,22 00 09.12 
05 34 50.07 ,21 58 11.47 
05 34 28.76 ,22 05 12.75 
05 34 26.23 ,22 04 50.22 
05 34 34.19 ,22 00 15.34 
05 34 28.21 ,22 03 59.90 
05 34 46.05 ,22 01 37.20 
05 34 22.51 ,22 00 57.61 
05 34 34.11 ,21 57 42.65 
05 34 30.37 ,21 59 38.56 
05 34 27.10 ,21 56 01.72 
05 34 26.16 ,22 01 09.04 
05 34 36.53 ,22 00 03.37 
05 34 24.73 ,22 01 48.11 
05 34 34.35 ,22 00 46.99 
05 34 14.14 ,21 59 41.43 
05 34 18.64 ,22 00 02.52 
05 34 21.81 ,22 04 21.92 
05 34 23.29 ,22 02 26.96 
05 34 44.90 ,22 00 28.45 
05 34 53.22 ,22 02 34.22 
05 34 37.08 ,22 01 42.43 
05 34 29.28 ,22 02 32.36 
05 34 19.90 ,22 00 57.16 
05 34 24.25 ,21 59 02.38 
05 34 21.25 ,22 02 36.32 
05 34 27.06 ,22 04 15.57 
05 34 34.94 ,21 57 44.28 
05 34 42.22 ,21 59 21.76 
05 34 33.57 ,21 59 08.29 
05 34 25.72 ,22 03 29.78 
05 34 36.88 ,22 02 28.92 
05 34 39.12 ,21 57 14.97 
05 34 42.64 ,22 00 55.13 
05 34 50.07 ,22 01 12.02 
05 34 35.50 ,22 03 51.50 
05 34 44.39 ,22 02 22.69 
05 34 34.51 ,21 57 30.44 
05 34 24.44 ,22 04 37.72 
05 34 29.04 ,22 03 55.31 
05 34 36.54 ,22 05 15.07 
05 34 19.24 ,21 59 12.46 
05 34 20.30 ,21 56 49.97 
05 34 33.67 ,22 04 16.08 
05 34 15.88 ,22 00 34.02 
05 34 22.30 ,22 00 24.46 
05 34 42.40 ,21 58 20.67 
05 34 47.07 ,21 58 40.74 
05 34 50.66 ,21 58 31.09 
05 34 29.05 ,22 05 18.56 
05 34 27.18 ,21 59 05.60 
05 34 40.34 ,21 55 56.61 
05 34 43.49 ,22 01 34.70 
05 34 37.25 ,22 01 07.48 
05 34 36.07 ,22 01 18.14 
05 34 22.81 ,22 02 46.83 
05 34 28.96 ,22 01 22.88 
05 34 23.62 ,22 02 28.84 
05 34 44.30 ,22 02 23.76 
05 34 51.35 ,22 03 36.04 
05 34 47.14 ,21 58 30.80 
05 34 32.72 ,21 57 31.47 
05 34 16.06 ,22 00 57.82 
05 34 17.41 ,22 01 23.22 
05 34 48.26 ,21 58 09.03 
05 34 45.15 ,21 59 36.50 
05 34 47.86 ,22 02 52.65 
05 34 42.91 ,22 02 19.56 
05 34 35.44 ,22 03 10.84 
05 34 30.60 ,21 59 08.78 
05 34 17.68 ,22 01 02.25 
05 34 32.11 ,22 02 04.68 
05 34 46.90 ,21 56 44.38 
05 34 37.76 ,22 04 21.74 
05 34 30.82 ,21 56 59.21 
05 34 40.49 ,21 59 25.82 
05 34 37.89 ,22 00 27.53 
05 34 37.26 ,22 01 41.73 
05 34 41.54 ,21 56 29.19 
05 34 27.43 ,22 03 02.50 
05 34 39.73 ,21 58 23.81 
05 34 24.30 ,22 04 37.29 
05 34 48.38 ,21 59 15.32 
05 34 50.28 ,22 00 57.41 
05 34 52.24 ,22 00 17.45 
05 34 32.30 ,22 02 39.28 
05 34 31.68 ,22 00 52.47 
05 34 30.66 ,21 58 39.61 
05 34 35.89 ,22 01 59.55 
05 34 28.77 ,21 57 46.71 
05 34 22.38 ,22 00 54.57 
05 34 36.11 ,21 59 46.42 
05 34 47.06 ,22 00 25.65 
05 34 32.23 ,22 05 15.58 
