ra,dec
12 30 52.60 ,12 22 29.76 
12 30 47.86 ,12 24 14.86 
12 30 39.34 ,12 23 34.12 
12 30 49.59 ,12 24 20.67 
12 30 41.99 ,12 24 46.42 
12 30 44.64 ,12 25 21.51 
12 30 41.55 ,12 22 58.78 
12 30 45.76 ,12 25 33.86 
12 30 44.49 ,12 23 29.90 
12 30 44.51 ,12 24 13.84 
12 30 44.76 ,12 24 14.94 
12 30 49.80 ,12 23 57.77 
12 30 41.57 ,12 24 28.65 
12 30 46.37 ,12 24 11.74 
12 30 46.02 ,12 22 46.19 
12 30 43.22 ,12 24 57.87 
12 30 49.82 ,12 21 41.01 
12 30 39.19 ,12 22 55.69 
12 30 42.74 ,12 22 24.71 
12 30 41.25 ,12 22 57.34 
12 30 49.38 ,12 23 05.44 
12 30 46.22 ,12 24 23.21 
12 30 41.61 ,12 22 11.38 
12 30 42.85 ,12 25 09.00 
12 30 46.05 ,12 22 10.77 
12 30 54.19 ,12 24 22.64 
12 30 46.14 ,12 21 39.71 
12 30 48.61 ,12 24 54.57 
12 30 53.74 ,12 22 14.71 
12 30 49.92 ,12 24 06.62 
12 30 40.95 ,12 22 20.57 
12 30 52.28 ,12 24 19.07 
12 30 44.23 ,12 23 29.97 
12 30 44.25 ,12 25 28.00 
12 30 48.54 ,12 22 28.34 
12 30 41.92 ,12 24 10.98 
12 30 48.19 ,12 24 11.32 
12 30 54.55 ,12 24 15.83 
12 30 44.11 ,12 23 20.09 
12 30 51.41 ,12 23 11.66 
12 30 50.01 ,12 23 58.56 
12 30 40.69 ,12 22 46.15 
12 30 41.61 ,12 23 43.36 
12 30 46.60 ,12 24 10.00 
12 30 44.16 ,12 23 48.87 
12 30 49.33 ,12 23 10.17 
12 30 48.20 ,12 24 36.67 
12 30 52.20 ,12 23 10.21 
12 30 47.37 ,12 22 02.92 
12 30 42.87 ,12 24 49.21 
12 30 43.11 ,12 21 53.73 
12 30 45.73 ,12 23 50.41 
12 30 53.27 ,12 23 49.82 
12 30 41.56 ,12 21 50.56 
12 30 45.55 ,12 23 42.20 
12 30 51.93 ,12 24 28.45 
12 30 47.34 ,12 22 08.39 
12 30 44.85 ,12 24 53.63 
12 30 41.87 ,12 24 38.07 
12 30 53.67 ,12 23 01.72 
12 30 40.66 ,12 24 17.79 
12 30 51.16 ,12 23 36.87 
12 30 46.58 ,12 22 29.74 
12 30 41.64 ,12 23 59.71 
12 30 49.82 ,12 22 09.20 
12 30 43.26 ,12 24 36.55 
12 30 50.25 ,12 23 57.59 
12 30 39.93 ,12 22 40.61 
12 30 48.54 ,12 25 00.58 
12 30 45.47 ,12 25 01.74 
12 30 52.49 ,12 23 07.89 
12 30 48.18 ,12 25 23.40 
12 30 39.63 ,12 24 09.16 
12 30 50.72 ,12 22 13.84 
12 30 53.12 ,12 23 20.21 
12 30 44.37 ,12 25 06.61 
12 30 45.87 ,12 22 07.66 
12 30 40.34 ,12 23 22.20 
12 30 40.61 ,12 23 25.45 
12 30 50.36 ,12 23 36.56 
12 30 43.72 ,12 23 38.43 
12 30 45.07 ,12 21 24.89 
12 30 38.40 ,12 23 11.35 
12 30 49.04 ,12 22 32.85 
12 30 39.87 ,12 23 46.80 
12 30 44.48 ,12 22 28.02 
12 30 50.41 ,12 24 15.74 
12 30 47.64 ,12 23 43.19 
12 30 53.54 ,12 23 20.01 
12 30 43.03 ,12 22 59.42 
12 30 50.41 ,12 24 13.34 
12 30 51.54 ,12 25 00.29 
12 30 44.29 ,12 23 03.02 
12 30 53.00 ,12 23 34.52 
12 30 47.31 ,12 24 46.46 
12 30 50.19 ,12 25 13.86 
12 30 52.21 ,12 24 05.89 
12 30 42.60 ,12 23 58.31 
12 30 45.75 ,12 23 59.27 
12 30 53.34 ,12 24 22.60 
12 30 46.62 ,12 21 30.51 
12 30 49.36 ,12 22 54.85 
12 30 49.39 ,12 22 58.80 
12 30 49.77 ,12 24 29.63 
12 30 47.63 ,12 22 22.44 
12 30 47.08 ,12 22 01.29 
12 30 42.82 ,12 24 33.94 
12 30 45.02 ,12 22 31.95 
12 30 45.68 ,12 23 33.41 
12 30 43.81 ,12 23 08.95 
12 30 47.55 ,12 24 12.33 
12 30 49.88 ,12 21 58.25 
12 30 41.58 ,12 23 54.25 
12 30 49.52 ,12 25 07.90 
12 30 50.27 ,12 22 38.52 
12 30 45.64 ,12 24 07.70 
12 30 44.32 ,12 24 40.58 
12 30 49.57 ,12 22 30.82 
12 30 49.04 ,12 22 16.44 
12 30 40.38 ,12 22 48.54 
12 30 44.15 ,12 22 10.19 
12 30 42.51 ,12 22 47.49 
12 30 42.74 ,12 24 51.52 
12 30 48.86 ,12 24 16.84 
12 30 38.63 ,12 23 58.05 
12 30 50.93 ,12 22 45.03 
12 30 50.35 ,12 23 18.90 
12 30 45.62 ,12 25 02.80 
12 30 47.87 ,12 25 02.07 
12 30 45.69 ,12 23 08.40 
12 30 48.44 ,12 22 36.34 
12 30 52.80 ,12 22 46.03 
12 30 40.82 ,12 23 51.78 
12 30 53.77 ,12 22 52.48 
12 30 38.68 ,12 23 31.24 
12 30 49.13 ,12 22 54.27 
12 30 45.07 ,12 25 13.87 
12 30 46.81 ,12 22 47.77 
12 30 52.51 ,12 23 28.98 
12 30 53.36 ,12 23 22.87 
12 30 52.97 ,12 22 42.28 
12 30 47.93 ,12 25 30.41 
12 30 49.44 ,12 24 22.32 
12 30 48.04 ,12 22 55.35 
12 30 46.22 ,12 25 14.23 
12 30 47.75 ,12 24 36.75 
12 30 40.67 ,12 23 27.49 
12 30 55.43 ,12 22 57.82 
12 30 54.86 ,12 24 11.78 
12 30 41.19 ,12 24 58.80 
12 30 47.47 ,12 23 09.75 
12 30 50.06 ,12 24 04.30 
12 30 48.20 ,12 21 45.92 
12 30 47.71 ,12 23 13.72 
12 30 51.31 ,12 22 22.89 
12 30 50.38 ,12 21 38.88 
12 30 45.75 ,12 22 34.32 
12 30 54.78 ,12 22 54.10 
12 30 43.57 ,12 22 33.64 
12 30 45.62 ,12 25 20.13 
12 30 52.19 ,12 24 36.92 
12 30 43.07 ,12 23 51.12 
12 30 39.64 ,12 24 26.00 
12 30 50.30 ,12 24 20.49 
12 30 40.41 ,12 24 09.00 
12 30 48.24 ,12 25 09.30 
