ra,dec
18 37 44.28 ,18 51 32.35 
18 37 49.80 ,18 49 15.78 
18 37 46.98 ,18 50 31.69 
18 37 44.66 ,18 50 52.57 
18 37 47.43 ,18 50 53.57 
18 37 44.82 ,18 49 38.80 
18 37 47.43 ,18 50 56.25 
18 37 50.59 ,18 48 57.65 
18 37 44.23 ,18 50 47.80 
18 37 53.73 ,18 50 51.41 
18 37 51.85 ,18 51 04.92 
18 37 45.06 ,18 50 29.12 
18 37 49.17 ,18 51 09.52 
18 37 48.36 ,18 50 56.73 
18 37 44.20 ,18 51 00.84 
18 37 48.46 ,18 50 59.80 
18 37 47.36 ,18 50 49.12 
18 37 49.74 ,18 49 25.89 
18 37 49.45 ,18 50 24.13 
18 37 43.54 ,18 50 02.28 
18 37 50.94 ,18 51 36.75 
18 37 50.47 ,18 48 50.86 
18 37 49.25 ,18 50 59.53 
18 37 47.36 ,18 50 06.14 
18 37 48.45 ,18 49 38.28 
18 37 46.72 ,18 50 50.26 
18 37 45.34 ,18 50 47.10 
18 37 51.21 ,18 49 12.86 
18 37 48.04 ,18 49 37.07 
18 37 49.42 ,18 50 59.32 
18 37 51.17 ,18 49 44.91 
18 37 46.04 ,18 49 43.68 
18 37 49.71 ,18 51 05.10 
18 37 48.20 ,18 50 13.20 
18 37 48.24 ,18 50 19.78 
18 37 47.03 ,18 49 51.74 
18 37 48.07 ,18 51 35.55 
18 37 44.02 ,18 50 31.54 
18 37 42.75 ,18 50 03.32 
18 37 48.29 ,18 50 27.32 
18 37 45.90 ,18 51 07.90 
18 37 44.75 ,18 50 42.28 
18 37 47.44 ,18 49 59.86 
18 37 49.32 ,18 49 56.98 
18 37 48.88 ,18 49 44.92 
18 37 47.19 ,18 50 31.67 
18 37 44.63 ,18 50 39.19 
18 37 47.16 ,18 51 24.07 
18 37 46.62 ,18 50 17.15 
18 37 48.54 ,18 49 34.42 
18 37 50.88 ,18 50 42.91 
18 37 50.11 ,18 50 49.20 
18 37 50.21 ,18 51 36.86 
18 37 47.70 ,18 51 10.43 
18 37 45.10 ,18 49 36.66 
18 37 46.57 ,18 51 03.62 
18 37 53.53 ,18 51 08.63 
18 37 49.47 ,18 49 03.87 
18 37 49.67 ,18 50 54.29 
18 37 46.80 ,18 50 11.25 
