ra,dec
12 59 59.73 ,34 59 38.71 
12 59 57.16 ,34 59 49.90 
12 59 59.33 ,35 00 04.88 
13 00 00.88 ,34 59 33.57 
12 59 58.97 ,34 59 44.61 
13 00 01.21 ,35 00 14.84 
13 00 01.17 ,34 59 50.69 
12 59 59.29 ,34 59 39.56 
13 00 01.29 ,34 59 45.63 
13 00 00.98 ,34 59 23.74 
12 59 59.70 ,34 59 42.69 
12 59 59.23 ,34 59 53.95 
12 59 58.40 ,35 00 18.68 
12 59 59.45 ,34 59 50.62 
13 00 00.13 ,35 00 01.41 
12 59 58.44 ,34 59 58.59 
12 59 57.92 ,35 00 09.78 
13 00 02.19 ,35 00 10.12 
12 59 58.19 ,34 59 59.19 
13 00 01.43 ,34 59 43.23 
13 00 01.99 ,34 59 57.95 
13 00 00.57 ,34 59 48.69 
12 59 59.59 ,34 59 33.61 
13 00 00.04 ,34 59 30.80 
13 00 01.10 ,35 00 25.05 
13 00 00.53 ,34 59 45.26 
13 00 01.29 ,34 59 45.62 
12 59 59.79 ,35 00 24.50 
13 00 00.50 ,35 00 09.64 
12 59 57.66 ,35 00 12.75 
13 00 01.48 ,35 00 25.49 
13 00 00.43 ,34 59 59.03 
12 59 58.29 ,34 59 56.98 
13 00 01.89 ,34 59 42.28 
13 00 00.06 ,35 00 15.82 
13 00 02.83 ,35 00 23.02 
13 00 00.12 ,34 59 34.04 
12 59 58.68 ,34 59 46.39 
12 59 58.90 ,34 59 36.27 
12 59 59.61 ,34 59 48.55 
13 00 01.76 ,35 00 11.12 
12 59 58.93 ,35 00 04.23 
12 59 59.77 ,34 59 31.91 
12 59 58.68 ,34 59 56.65 
13 00 01.03 ,34 59 30.06 
12 59 59.01 ,34 59 42.70 
12 59 58.36 ,35 00 00.80 
13 00 01.29 ,35 00 28.51 
13 00 00.91 ,35 00 07.10 
13 00 01.58 ,35 00 14.30 
12 59 58.86 ,35 00 17.51 
13 00 01.90 ,35 00 04.89 
12 59 59.64 ,35 00 37.79 
13 00 00.59 ,34 59 44.75 
12 59 58.88 ,35 00 16.20 
13 00 01.32 ,35 00 08.29 
12 59 58.37 ,35 00 13.88 
13 00 01.07 ,35 00 25.53 
13 00 02.28 ,35 00 22.24 
12 59 59.15 ,34 59 48.54 
13 00 01.25 ,34 59 48.57 
13 00 00.99 ,35 00 30.82 
13 00 01.48 ,35 00 32.20 
12 59 59.08 ,35 00 00.35 
13 00 01.15 ,34 59 57.09 
13 00 00.60 ,35 00 26.12 
13 00 03.01 ,35 00 11.25 
12 59 58.87 ,35 00 12.49 
12 59 59.27 ,34 59 59.39 
13 00 01.60 ,34 59 33.64 
12 59 59.32 ,34 59 56.12 
13 00 02.55 ,34 59 47.32 
13 00 01.55 ,35 00 23.16 
12 59 57.64 ,34 59 54.65 
12 59 57.59 ,35 00 09.81 
13 00 02.85 ,35 00 18.42 
13 00 00.97 ,35 00 07.20 
12 59 58.94 ,34 59 56.95 
13 00 01.40 ,34 59 46.77 
13 00 00.86 ,35 00 36.62 
13 00 00.58 ,35 00 15.92 
12 59 56.94 ,34 59 49.37 
13 00 00.15 ,35 00 36.70 
13 00 00.89 ,35 00 10.32 
12 59 59.81 ,34 59 52.17 
12 59 59.08 ,34 59 27.31 
13 00 00.43 ,35 00 21.64 
12 59 59.95 ,35 00 17.68 
13 00 00.33 ,35 00 02.66 
13 00 02.20 ,35 00 28.52 
12 59 58.96 ,35 00 02.34 
13 00 01.95 ,34 59 38.08 
13 00 00.75 ,35 00 36.14 
13 00 00.62 ,35 00 18.42 
13 00 00.81 ,35 00 11.49 
13 00 01.17 ,35 00 34.48 
12 59 57.42 ,35 00 04.29 
13 00 00.29 ,34 59 30.89 
12 59 59.19 ,34 59 39.24 
13 00 01.18 ,34 59 56.25 
12 59 59.28 ,35 00 06.94 
12 59 58.48 ,35 00 30.83 
13 00 02.04 ,35 00 16.52 
12 59 58.99 ,35 00 36.32 
12 59 57.80 ,34 59 43.72 
12 59 59.77 ,35 00 28.61 
13 00 00.06 ,35 00 12.41 
12 59 59.61 ,35 00 13.51 
13 00 01.47 ,35 00 17.08 
13 00 00.22 ,35 00 35.77 
13 00 01.64 ,35 00 08.28 
13 00 03.08 ,34 59 45.04 
12 59 57.73 ,35 00 00.21 
13 00 00.67 ,35 00 00.98 
13 00 00.78 ,34 59 35.25 
12 59 59.93 ,35 00 27.14 
13 00 02.10 ,34 59 48.21 
13 00 00.22 ,34 59 56.30 
13 00 00.67 ,35 00 01.93 
13 00 02.54 ,34 59 44.35 
13 00 02.37 ,35 00 00.03 
12 59 58.36 ,35 00 13.40 
12 59 59.21 ,34 59 42.68 
12 59 58.64 ,35 00 32.18 
12 59 58.53 ,35 00 19.94 
12 59 57.14 ,34 59 54.53 
13 00 00.28 ,35 00 29.93 
12 59 57.89 ,35 00 13.35 
13 00 02.11 ,34 59 29.74 
13 00 00.33 ,34 59 29.15 
13 00 00.82 ,35 00 25.21 
12 59 59.75 ,34 59 49.25 
12 59 58.06 ,35 00 07.78 
13 00 00.02 ,34 59 43.31 
12 59 58.95 ,34 59 48.45 
13 00 01.83 ,34 59 38.77 
12 59 59.26 ,35 00 34.24 
12 59 58.31 ,34 59 28.31 
12 59 59.25 ,35 00 24.55 
12 59 59.83 ,34 59 37.62 
13 00 00.01 ,34 59 37.87 
13 00 00.85 ,34 59 28.33 
13 00 02.13 ,34 59 55.72 
12 59 58.60 ,35 00 02.38 
13 00 01.79 ,35 00 26.29 
13 00 01.96 ,34 59 38.88 
12 59 58.70 ,35 00 20.96 
13 00 01.49 ,34 59 37.27 
12 59 58.99 ,35 00 06.48 
13 00 02.78 ,34 59 43.38 
12 59 59.23 ,35 00 21.58 
13 00 02.24 ,34 59 35.46 
13 00 00.30 ,34 59 23.95 
13 00 00.42 ,34 59 55.26 
13 00 00.59 ,35 00 34.50 
13 00 02.44 ,35 00 09.24 
13 00 02.73 ,35 00 01.70 
12 59 57.95 ,34 59 44.86 
13 00 00.11 ,34 59 50.19 
