ra,dec
03 14 58.19 ,-19 34 50.48 
03 14 58.69 ,-19 35 09.73 
03 15 01.39 ,-19 34 59.79 
03 15 02.89 ,-19 34 41.78 
03 14 59.10 ,-19 34 56.07 
03 15 02.31 ,-19 34 48.04 
03 15 02.02 ,-19 34 53.62 
03 14 58.94 ,-19 34 49.52 
03 14 59.17 ,-19 35 13.54 
03 15 00.59 ,-19 35 09.71 
03 14 59.14 ,-19 34 59.92 
03 14 59.38 ,-19 34 52.93 
03 14 59.42 ,-19 34 49.23 
03 14 59.64 ,-19 35 20.14 
03 14 58.29 ,-19 35 00.56 
03 15 00.15 ,-19 34 40.06 
03 15 01.95 ,-19 34 39.78 
03 15 00.83 ,-19 35 01.77 
03 15 00.42 ,-19 35 20.19 
03 14 59.99 ,-19 34 54.69 
03 15 01.70 ,-19 35 07.93 
03 14 59.51 ,-19 35 17.28 
03 14 57.94 ,-19 34 35.67 
03 15 02.11 ,-19 35 01.28 
03 15 00.06 ,-19 35 09.17 
03 14 59.53 ,-19 35 08.37 
03 14 59.64 ,-19 35 10.05 
03 14 59.90 ,-19 35 08.30 
03 14 59.43 ,-19 34 41.76 
03 15 02.09 ,-19 34 23.28 
03 15 02.07 ,-19 34 34.28 
03 14 59.73 ,-19 34 43.17 
03 15 02.41 ,-19 34 45.68 
03 15 00.24 ,-19 35 11.44 
03 14 57.42 ,-19 35 00.80 
03 15 01.31 ,-19 34 31.93 
03 14 58.57 ,-19 34 43.75 
03 15 00.10 ,-19 34 11.13 
03 15 00.38 ,-19 34 27.34 
03 15 00.93 ,-19 34 46.61 
03 14 58.20 ,-19 34 40.37 
03 14 58.00 ,-19 34 43.35 
03 15 00.94 ,-19 34 21.44 
03 14 59.92 ,-19 34 30.98 
03 14 58.16 ,-19 34 50.69 
03 14 59.71 ,-19 34 43.58 
03 15 01.27 ,-19 35 17.21 
03 15 01.08 ,-19 34 56.10 
03 14 58.24 ,-19 35 11.44 
03 15 00.39 ,-19 34 47.73 
03 15 00.57 ,-19 34 52.07 
03 15 01.64 ,-19 34 28.49 
03 14 59.58 ,-19 34 09.93 
03 15 00.13 ,-19 34 44.90 
03 15 00.56 ,-19 34 59.97 
03 15 00.51 ,-19 34 54.09 
03 14 59.93 ,-19 35 21.36 
03 15 00.18 ,-19 34 26.52 
03 14 58.53 ,-19 34 13.72 
03 15 02.49 ,-19 34 43.52 
03 15 00.82 ,-19 35 06.72 
03 15 00.08 ,-19 35 17.28 
03 14 58.27 ,-19 34 39.28 
03 14 58.03 ,-19 35 04.14 
03 15 00.54 ,-19 34 44.88 
03 15 01.30 ,-19 34 40.94 
03 15 01.83 ,-19 34 48.40 
03 15 00.55 ,-19 34 32.70 
03 15 00.51 ,-19 34 26.77 
03 14 59.52 ,-19 34 34.94 
03 14 59.93 ,-19 34 46.27 
03 14 59.87 ,-19 34 15.13 
03 15 02.40 ,-19 35 02.26 
03 14 58.82 ,-19 34 30.47 
03 15 00.43 ,-19 34 37.05 
03 15 02.16 ,-19 34 39.78 
03 14 59.90 ,-19 34 48.59 
03 14 59.37 ,-19 34 29.65 
03 15 00.71 ,-19 35 06.45 
03 15 01.31 ,-19 35 07.51 
03 14 59.46 ,-19 34 24.56 
03 15 00.62 ,-19 35 11.35 
03 14 57.92 ,-19 34 33.84 
03 14 58.05 ,-19 34 59.67 
03 14 59.67 ,-19 34 34.34 
03 15 01.08 ,-19 34 43.24 
03 15 00.58 ,-19 34 52.29 
03 14 58.25 ,-19 34 47.56 
03 15 01.57 ,-19 34 37.28 
03 15 00.70 ,-19 34 28.91 
03 14 59.69 ,-19 35 05.14 
03 14 59.74 ,-19 34 43.19 
03 15 01.06 ,-19 34 59.15 
03 15 01.53 ,-19 34 23.55 
03 15 02.71 ,-19 34 59.51 
03 14 59.41 ,-19 34 52.55 
03 15 02.48 ,-19 35 04.89 
03 15 00.94 ,-19 34 44.59 
03 14 58.80 ,-19 35 24.68 
03 14 59.47 ,-19 35 02.57 
03 14 59.93 ,-19 34 51.28 
03 15 02.09 ,-19 34 48.20 
03 14 59.98 ,-19 34 32.74 
03 14 59.17 ,-19 34 19.52 
03 14 59.81 ,-19 34 32.58 
03 14 58.39 ,-19 35 16.62 
03 14 57.61 ,-19 35 03.64 
03 15 02.12 ,-19 34 39.39 
03 14 58.60 ,-19 35 21.26 
03 14 58.14 ,-19 34 32.00 
03 14 58.71 ,-19 35 09.10 
03 14 59.12 ,-19 34 19.58 
03 15 01.03 ,-19 34 21.80 
03 15 00.74 ,-19 34 55.29 
03 14 59.71 ,-19 35 05.80 
03 15 00.36 ,-19 35 22.32 
03 14 59.37 ,-19 34 12.88 
03 15 01.96 ,-19 34 42.86 
03 15 00.23 ,-19 34 36.82 
03 15 01.15 ,-19 34 16.55 
03 14 59.34 ,-19 34 53.60 
03 15 02.61 ,-19 34 39.43 
03 15 00.56 ,-19 35 02.03 
03 14 59.46 ,-19 34 48.40 
03 15 01.32 ,-19 34 57.88 
