ra,dec
17 00 01.71 ,-24 59 58.66 
17 00 01.70 ,-25 00 16.27 
17 00 01.59 ,-25 00 12.80 
17 00 00.05 ,-25 00 05.33 
16 59 59.74 ,-25 00 13.74 
17 00 02.60 ,-24 59 58.11 
16 59 59.31 ,-24 59 59.96 
17 00 00.97 ,-24 59 49.39 
17 00 01.46 ,-25 00 11.70 
16 59 59.28 ,-24 59 39.58 
16 59 59.84 ,-24 59 32.51 
16 59 58.50 ,-24 59 49.82 
17 00 00.58 ,-24 59 51.64 
17 00 00.84 ,-25 00 36.75 
17 00 00.91 ,-25 00 08.49 
16 59 58.92 ,-25 00 28.96 
17 00 00.65 ,-24 59 58.34 
16 59 58.76 ,-25 00 06.06 
17 00 02.79 ,-25 00 09.00 
17 00 00.02 ,-24 59 54.33 
17 00 01.66 ,-24 59 51.76 
17 00 00.88 ,-25 00 04.72 
17 00 01.39 ,-25 00 06.89 
17 00 02.02 ,-25 00 26.61 
16 59 58.30 ,-24 59 42.97 
17 00 00.10 ,-25 00 06.84 
16 59 59.08 ,-24 59 25.85 
17 00 01.61 ,-24 59 42.30 
17 00 01.17 ,-25 00 02.97 
16 59 59.58 ,-24 59 54.10 
17 00 00.31 ,-25 00 30.12 
16 59 59.58 ,-25 00 29.14 
16 59 58.91 ,-24 59 56.88 
17 00 01.23 ,-24 59 46.46 
16 59 59.87 ,-25 00 11.93 
16 59 59.04 ,-25 00 03.00 
16 59 59.74 ,-25 00 27.05 
17 00 02.00 ,-25 00 06.92 
16 59 59.36 ,-24 59 55.41 
16 59 58.95 ,-24 59 51.99 
16 59 57.95 ,-24 59 48.84 
16 59 57.22 ,-25 00 00.45 
17 00 02.80 ,-25 00 15.48 
17 00 00.61 ,-24 59 37.97 
17 00 01.77 ,-24 59 48.46 
17 00 01.14 ,-24 59 27.41 
16 59 57.88 ,-24 59 43.92 
16 59 58.13 ,-25 00 25.29 
16 59 59.87 ,-25 00 07.10 
17 00 00.89 ,-24 59 59.94 
17 00 01.89 ,-24 59 54.89 
16 59 59.08 ,-24 59 44.07 
17 00 00.95 ,-24 59 24.49 
17 00 01.01 ,-25 00 28.86 
17 00 00.62 ,-25 00 12.18 
17 00 01.42 ,-25 00 22.65 
16 59 58.35 ,-24 59 58.79 
17 00 01.83 ,-25 00 00.57 
17 00 00.49 ,-25 00 06.75 
16 59 58.11 ,-25 00 12.25 
16 59 59.36 ,-24 59 35.08 
17 00 01.04 ,-25 00 01.96 
16 59 59.26 ,-24 59 47.21 
17 00 01.78 ,-25 00 30.56 
17 00 00.15 ,-24 59 57.13 
17 00 01.26 ,-24 59 32.89 
16 59 59.84 ,-25 00 05.19 
16 59 58.95 ,-25 00 04.79 
16 59 58.86 ,-25 00 22.79 
17 00 00.58 ,-24 59 41.19 
17 00 01.23 ,-24 59 28.11 
16 59 59.46 ,-24 59 21.01 
16 59 58.24 ,-25 00 17.63 
16 59 57.76 ,-24 59 50.10 
16 59 59.57 ,-24 59 50.61 
17 00 01.68 ,-25 00 29.56 
16 59 58.44 ,-24 59 46.16 
16 59 59.82 ,-24 59 51.89 
17 00 00.23 ,-25 00 31.60 
16 59 58.57 ,-24 59 38.29 
16 59 58.88 ,-24 59 23.01 
17 00 01.26 ,-24 59 39.03 
16 59 57.69 ,-24 59 38.26 
16 59 59.28 ,-24 59 56.31 
17 00 02.30 ,-25 00 15.14 
17 00 00.24 ,-25 00 35.59 
17 00 00.46 ,-24 59 49.46 
16 59 58.77 ,-24 59 45.64 
17 00 00.69 ,-25 00 29.56 
16 59 58.49 ,-25 00 21.05 
16 59 59.64 ,-24 59 22.93 
16 59 59.59 ,-24 59 46.72 
16 59 57.69 ,-24 59 51.39 
16 59 57.97 ,-25 00 12.36 
16 59 57.36 ,-25 00 12.56 
17 00 01.97 ,-24 59 36.05 
17 00 00.73 ,-25 00 31.96 
17 00 02.06 ,-25 00 17.25 
17 00 00.47 ,-25 00 08.39 
17 00 01.14 ,-24 59 44.95 
17 00 01.86 ,-24 59 39.66 
17 00 01.01 ,-24 59 44.48 
17 00 00.21 ,-25 00 05.93 
17 00 00.98 ,-24 59 50.74 
17 00 01.48 ,-24 59 25.17 
16 59 58.24 ,-25 00 14.00 
17 00 00.90 ,-25 00 22.41 
17 00 03.05 ,-25 00 00.81 
17 00 01.91 ,-25 00 08.64 
17 00 00.23 ,-25 00 14.06 
17 00 00.61 ,-24 59 32.18 
16 59 59.68 ,-24 59 57.47 
17 00 00.53 ,-25 00 11.70 
17 00 00.25 ,-24 59 55.50 
16 59 59.60 ,-24 59 42.00 
17 00 00.91 ,-25 00 30.38 
17 00 01.55 ,-24 59 45.45 
