ra,dec
14 49 47.86 ,46 00 14.90 
14 49 47.66 ,46 00 26.46 
14 49 51.72 ,45 59 52.94 
14 49 50.68 ,45 59 51.42 
14 49 51.87 ,46 00 02.35 
14 49 45.00 ,46 00 06.81 
14 49 48.61 ,46 00 12.98 
14 49 44.91 ,45 59 44.87 
14 49 48.14 ,46 00 03.47 
14 49 48.89 ,45 59 36.24 
14 49 49.35 ,45 59 57.88 
14 49 50.48 ,45 59 37.85 
14 49 46.05 ,46 00 01.40 
14 49 49.88 ,46 00 02.81 
14 49 44.80 ,46 00 13.62 
14 49 44.94 ,46 00 01.90 
14 49 45.49 ,45 59 47.54 
14 49 47.32 ,45 59 32.45 
14 49 47.17 ,45 59 43.60 
14 49 47.59 ,46 00 22.70 
14 49 46.48 ,46 00 11.17 
14 49 50.58 ,46 00 20.38 
14 49 49.34 ,45 59 29.72 
14 49 47.48 ,45 59 52.11 
14 49 48.08 ,45 59 47.59 
14 49 45.78 ,46 00 10.12 
14 49 48.33 ,46 00 00.96 
14 49 49.47 ,46 00 24.11 
14 49 45.27 ,45 59 33.83 
14 49 49.70 ,46 00 20.00 
14 49 47.58 ,46 00 32.86 
14 49 47.99 ,46 00 25.57 
14 49 51.64 ,45 59 52.78 
14 49 50.76 ,46 00 18.41 
14 49 49.93 ,45 59 55.55 
14 49 45.16 ,45 59 46.44 
14 49 45.72 ,46 00 17.10 
14 49 47.39 ,45 59 27.18 
14 49 49.76 ,46 00 25.60 
14 49 47.90 ,45 59 56.17 
14 49 47.68 ,45 59 32.44 
14 49 49.86 ,46 00 10.43 
14 49 48.98 ,45 59 31.20 
14 49 46.67 ,45 59 58.88 
14 49 49.22 ,46 00 34.79 
14 49 49.10 ,45 59 34.68 
14 49 50.37 ,46 00 00.64 
14 49 46.11 ,46 00 29.04 
14 49 50.65 ,46 00 00.02 
14 49 50.44 ,45 59 50.30 
14 49 51.09 ,45 59 41.57 
14 49 47.08 ,46 00 14.85 
14 49 48.38 ,46 00 01.39 
14 49 46.78 ,45 59 25.53 
14 49 47.59 ,46 00 19.99 
14 49 46.32 ,46 00 24.13 
14 49 47.39 ,45 59 35.20 
14 49 45.47 ,46 00 18.43 
14 49 46.63 ,45 59 55.21 
14 49 48.34 ,46 00 01.19 
14 49 49.09 ,46 00 32.46 
14 49 47.62 ,46 00 28.32 
14 49 50.32 ,46 00 12.05 
14 49 48.96 ,46 00 26.89 
14 49 48.71 ,45 59 40.11 
14 49 47.65 ,46 00 25.29 
14 49 51.02 ,46 00 20.75 
14 49 49.61 ,46 00 26.08 
14 49 48.27 ,46 00 12.86 
14 49 47.56 ,45 59 34.95 
14 49 47.43 ,45 59 28.50 
14 49 47.69 ,46 00 35.82 
14 49 49.35 ,46 00 10.76 
14 49 47.49 ,45 59 47.55 
14 49 45.42 ,46 00 12.19 
14 49 47.36 ,46 00 05.59 
14 49 47.80 ,46 00 00.94 
14 49 49.18 ,45 59 50.69 
14 49 48.81 ,45 59 49.68 
14 49 49.78 ,46 00 20.95 
14 49 48.37 ,46 00 24.98 
14 49 47.52 ,45 59 49.51 
14 49 45.36 ,45 59 42.54 
14 49 49.19 ,46 00 31.84 
14 49 48.83 ,45 59 34.00 
14 49 48.82 ,46 00 17.56 
14 49 50.63 ,45 59 50.63 
14 49 47.14 ,45 59 34.95 
14 49 48.19 ,45 59 54.87 
14 49 48.05 ,45 59 43.19 
14 49 50.22 ,45 59 47.00 
14 49 46.06 ,46 00 08.38 
14 49 51.93 ,46 00 09.69 
14 49 49.81 ,46 00 16.61 
14 49 46.07 ,45 59 55.42 
14 49 48.08 ,46 00 00.71 
14 49 50.13 ,46 00 01.43 
14 49 45.33 ,46 00 02.17 
14 49 47.19 ,46 00 05.79 
14 49 48.67 ,45 59 59.96 
14 49 47.56 ,45 59 57.81 
14 49 51.72 ,46 00 14.54 
14 49 50.24 ,46 00 12.66 
14 49 48.37 ,46 00 03.34 
14 49 46.76 ,45 59 43.60 
14 49 45.97 ,46 00 26.38 
14 49 50.92 ,45 59 54.43 
14 49 48.47 ,45 59 57.36 
14 49 46.29 ,45 59 58.06 
14 49 49.89 ,45 59 41.82 
14 49 47.78 ,46 00 39.36 
14 49 48.02 ,46 00 07.34 
14 49 47.78 ,45 59 49.91 
14 49 44.46 ,46 00 12.15 
14 49 48.66 ,45 59 54.19 
14 49 45.71 ,46 00 01.83 
14 49 47.60 ,45 59 48.12 
14 49 49.18 ,45 59 36.74 
14 49 46.55 ,45 59 31.13 
14 49 47.47 ,46 00 00.50 
14 49 48.23 ,46 00 13.85 
14 49 49.13 ,46 00 18.78 
14 49 45.86 ,45 59 32.60 
14 49 51.47 ,45 59 51.21 
14 49 51.27 ,46 00 21.80 
14 49 49.49 ,45 59 29.98 
14 49 50.03 ,45 59 55.59 
14 49 51.22 ,45 59 59.78 
14 49 48.76 ,46 00 10.36 
14 49 51.12 ,46 00 20.82 
14 49 46.90 ,46 00 19.19 
14 49 47.09 ,45 59 45.88 
14 49 47.08 ,46 00 30.23 
14 49 46.25 ,45 59 56.70 
14 49 50.27 ,46 00 11.40 
14 49 46.25 ,45 59 59.27 
14 49 45.29 ,46 00 12.31 
14 49 49.29 ,46 00 22.96 
14 49 46.75 ,46 00 12.26 
14 49 44.64 ,45 59 52.59 
14 49 47.55 ,45 59 53.85 
14 49 46.76 ,45 59 44.74 
14 49 50.45 ,45 59 35.78 
14 49 49.33 ,45 59 32.50 
14 49 49.50 ,45 59 52.18 
14 49 50.04 ,46 00 00.98 
14 49 48.33 ,45 59 53.73 
14 49 48.93 ,46 00 10.46 
14 49 50.91 ,46 00 24.88 
14 49 47.95 ,46 00 16.77 
14 49 48.20 ,45 59 25.11 
14 49 50.67 ,46 00 09.79 
14 49 44.93 ,46 00 02.69 
14 49 49.62 ,45 59 43.83 
14 49 45.66 ,45 59 54.14 
14 49 49.20 ,45 59 57.53 
14 49 47.94 ,45 59 25.29 
14 49 47.85 ,45 59 44.31 
14 49 47.79 ,46 00 13.76 
14 49 47.65 ,46 00 16.74 
14 49 48.75 ,45 59 55.84 
14 49 49.65 ,45 59 43.87 
14 49 51.61 ,46 00 05.42 
14 49 45.92 ,45 59 51.46 
14 49 49.51 ,45 59 33.73 
14 49 48.32 ,46 00 23.86 
14 49 47.33 ,45 59 50.68 
14 49 49.79 ,46 00 10.91 
14 49 45.74 ,46 00 26.35 
14 49 45.90 ,46 00 11.06 
14 49 47.81 ,46 00 07.91 
14 49 47.69 ,45 59 54.12 
14 49 50.13 ,46 00 21.30 
14 49 45.99 ,45 59 48.32 
14 49 46.77 ,46 00 07.40 
14 49 47.11 ,45 59 30.71 
14 49 49.28 ,45 59 39.29 
14 49 47.44 ,46 00 23.55 
14 49 47.66 ,45 59 52.14 
14 49 50.21 ,46 00 27.72 
14 49 49.94 ,46 00 12.79 
14 49 49.76 ,46 00 16.10 
14 49 48.18 ,45 59 43.66 
14 49 47.01 ,45 59 44.95 
14 49 44.91 ,46 00 18.41 
14 49 46.58 ,46 00 13.85 
14 49 46.95 ,46 00 34.46 
14 49 46.13 ,46 00 06.86 
14 49 45.22 ,45 59 49.97 
14 49 48.32 ,45 59 51.76 
14 49 48.70 ,46 00 02.87 
14 49 45.92 ,45 59 58.91 
14 49 48.09 ,45 59 55.80 
14 49 50.32 ,45 59 31.32 
14 49 45.45 ,46 00 04.16 
14 49 46.96 ,46 00 21.20 
14 49 51.36 ,46 00 08.04 
14 49 46.78 ,46 00 02.63 
14 49 48.85 ,46 00 08.53 
14 49 47.11 ,46 00 35.35 
14 49 46.76 ,46 00 11.63 
