ra,dec
23 48 37.06 ,-24 39 03.46 
23 48 35.59 ,-24 39 17.69 
23 48 35.20 ,-24 38 55.53 
23 48 36.13 ,-24 38 55.25 
23 48 36.90 ,-24 38 52.49 
23 48 37.53 ,-24 39 12.77 
23 48 35.40 ,-24 39 21.93 
23 48 34.11 ,-24 39 21.54 
23 48 35.31 ,-24 38 55.22 
23 48 35.46 ,-24 38 21.87 
23 48 36.45 ,-24 38 38.52 
23 48 35.31 ,-24 38 32.76 
23 48 34.29 ,-24 39 02.36 
23 48 38.39 ,-24 39 20.36 
23 48 38.07 ,-24 38 47.38 
23 48 34.50 ,-24 39 10.35 
23 48 37.06 ,-24 39 30.46 
23 48 35.90 ,-24 39 10.51 
23 48 35.32 ,-24 39 12.73 
23 48 35.52 ,-24 39 28.94 
23 48 37.48 ,-24 39 33.09 
23 48 35.29 ,-24 38 31.22 
23 48 35.24 ,-24 39 08.48 
23 48 36.11 ,-24 38 49.78 
23 48 35.46 ,-24 38 56.70 
23 48 37.72 ,-24 38 34.64 
23 48 37.53 ,-24 38 56.20 
23 48 36.87 ,-24 39 35.55 
23 48 36.09 ,-24 38 40.25 
23 48 37.11 ,-24 38 56.96 
23 48 37.55 ,-24 38 42.77 
23 48 36.95 ,-24 38 37.08 
23 48 34.60 ,-24 38 46.66 
23 48 38.47 ,-24 38 49.46 
23 48 33.75 ,-24 39 19.50 
23 48 37.23 ,-24 38 57.68 
23 48 36.21 ,-24 38 58.15 
23 48 35.98 ,-24 39 05.86 
23 48 34.89 ,-24 39 28.25 
23 48 36.76 ,-24 39 21.92 
23 48 34.98 ,-24 38 43.89 
23 48 35.12 ,-24 38 30.45 
23 48 35.84 ,-24 39 18.39 
23 48 34.97 ,-24 38 47.25 
23 48 37.40 ,-24 38 44.85 
23 48 37.13 ,-24 38 37.96 
23 48 35.19 ,-24 39 01.23 
23 48 33.89 ,-24 39 00.27 
23 48 37.16 ,-24 39 10.87 
23 48 35.01 ,-24 39 12.80 
23 48 33.96 ,-24 38 53.25 
23 48 34.01 ,-24 38 51.06 
23 48 35.59 ,-24 38 41.47 
23 48 35.72 ,-24 38 25.80 
23 48 34.89 ,-24 38 52.01 
23 48 35.36 ,-24 38 58.83 
23 48 35.38 ,-24 38 57.77 
23 48 33.80 ,-24 38 49.59 
23 48 36.81 ,-24 38 32.64 
23 48 35.73 ,-24 39 24.61 
23 48 37.96 ,-24 38 59.74 
23 48 37.29 ,-24 39 30.85 
23 48 35.02 ,-24 39 19.57 
23 48 36.05 ,-24 39 00.67 
23 48 33.89 ,-24 39 11.05 
23 48 34.41 ,-24 39 16.82 
23 48 36.46 ,-24 39 10.52 
23 48 36.48 ,-24 38 29.01 
23 48 33.48 ,-24 38 58.51 
23 48 34.58 ,-24 39 18.24 
23 48 36.18 ,-24 39 31.55 
23 48 38.02 ,-24 38 28.66 
23 48 35.15 ,-24 38 37.49 
23 48 34.82 ,-24 38 29.40 
23 48 38.75 ,-24 38 56.90 
23 48 38.52 ,-24 39 06.13 
23 48 37.02 ,-24 38 45.70 
23 48 37.87 ,-24 38 29.86 
23 48 34.24 ,-24 39 03.61 
23 48 34.53 ,-24 39 20.34 
23 48 38.53 ,-24 38 43.04 
23 48 35.87 ,-24 39 10.05 
23 48 36.88 ,-24 38 47.79 
23 48 35.90 ,-24 39 39.64 
23 48 34.50 ,-24 39 28.15 
23 48 34.85 ,-24 39 12.78 
23 48 36.53 ,-24 38 51.30 
23 48 34.74 ,-24 38 35.63 
23 48 36.51 ,-24 39 17.00 
23 48 34.28 ,-24 39 17.70 
23 48 34.05 ,-24 38 40.78 
23 48 33.94 ,-24 39 20.94 
23 48 37.42 ,-24 39 00.73 
23 48 37.28 ,-24 38 54.85 
23 48 36.52 ,-24 39 35.25 
23 48 34.63 ,-24 38 31.24 
