ra,dec
22 06 37.35 ,15 06 40.29 
22 06 34.25 ,15 06 22.50 
22 06 38.05 ,15 06 18.11 
22 06 36.32 ,15 06 47.50 
22 06 37.75 ,15 06 44.12 
22 06 35.72 ,15 06 49.40 
22 06 36.71 ,15 06 03.04 
22 06 37.88 ,15 06 51.71 
22 06 34.64 ,15 06 59.07 
22 06 35.16 ,15 06 34.05 
22 06 34.48 ,15 06 45.32 
22 06 34.38 ,15 06 45.36 
22 06 35.19 ,15 06 56.63 
22 06 36.90 ,15 07 06.80 
22 06 36.30 ,15 06 37.28 
22 06 34.11 ,15 06 32.06 
22 06 36.87 ,15 06 53.80 
22 06 35.95 ,15 06 23.84 
22 06 35.89 ,15 06 35.26 
22 06 36.25 ,15 07 13.13 
22 06 37.51 ,15 06 15.28 
22 06 36.46 ,15 07 15.52 
22 06 37.37 ,15 06 24.01 
22 06 38.25 ,15 06 43.12 
22 06 36.39 ,15 06 13.78 
22 06 36.08 ,15 06 13.90 
22 06 34.79 ,15 06 26.34 
22 06 36.86 ,15 06 17.94 
22 06 37.14 ,15 06 59.87 
22 06 36.66 ,15 06 46.24 
22 06 35.92 ,15 05 59.29 
22 06 33.62 ,15 06 53.51 
22 06 37.59 ,15 06 51.68 
22 06 38.06 ,15 06 15.85 
22 06 37.91 ,15 07 00.26 
22 06 34.17 ,15 06 31.03 
22 06 34.72 ,15 06 52.77 
22 06 35.52 ,15 06 11.10 
22 06 37.14 ,15 06 56.13 
22 06 34.21 ,15 06 22.24 
22 06 34.74 ,15 06 07.42 
22 06 36.23 ,15 06 00.84 
22 06 38.05 ,15 06 54.46 
22 06 38.04 ,15 06 42.04 
22 06 37.36 ,15 06 08.50 
22 06 35.91 ,15 06 50.29 
22 06 35.26 ,15 06 13.91 
22 06 35.79 ,15 06 13.08 
22 06 37.99 ,15 06 54.71 
22 06 35.57 ,15 06 36.14 
22 06 36.87 ,15 06 32.19 
22 06 34.57 ,15 06 14.01 
22 06 37.19 ,15 06 13.62 
22 06 35.78 ,15 06 25.04 
22 06 37.25 ,15 06 24.57 
22 06 35.31 ,15 06 19.93 
22 06 37.34 ,15 06 58.82 
22 06 36.91 ,15 06 05.20 
22 06 35.15 ,15 06 59.69 
22 06 37.73 ,15 06 29.80 
22 06 35.77 ,15 06 37.98 
22 06 37.12 ,15 06 16.40 
22 06 36.00 ,15 06 35.95 
22 06 35.94 ,15 07 10.86 
22 06 35.75 ,15 07 05.25 
22 06 36.52 ,15 07 09.82 
22 06 36.04 ,15 06 56.73 
22 06 36.20 ,15 06 50.96 
22 06 34.92 ,15 06 25.48 
22 06 37.78 ,15 06 48.15 
22 06 37.23 ,15 06 43.98 
22 06 36.96 ,15 06 52.95 
22 06 34.14 ,15 06 47.23 
22 06 36.75 ,15 07 04.17 
22 06 37.20 ,15 06 32.44 
22 06 37.70 ,15 06 49.51 
22 06 34.99 ,15 06 45.28 
22 06 35.94 ,15 07 00.73 
22 06 37.71 ,15 06 31.00 
22 06 34.76 ,15 06 51.66 
22 06 33.97 ,15 06 11.59 
22 06 35.33 ,15 06 51.48 
22 06 34.64 ,15 06 25.31 
22 06 37.27 ,15 06 29.94 
22 06 35.52 ,15 06 44.47 
22 06 34.09 ,15 07 02.94 
22 06 36.14 ,15 06 22.48 
22 06 35.85 ,15 06 08.09 
22 06 36.81 ,15 06 05.42 
22 06 36.61 ,15 06 52.04 
22 06 36.64 ,15 06 47.46 
22 06 36.49 ,15 06 59.63 
22 06 37.20 ,15 06 18.31 
22 06 37.65 ,15 06 54.62 
22 06 37.70 ,15 07 07.94 
22 06 36.81 ,15 06 59.66 
