ra,dec
04 30 36.60 ,30 06 04.74 
04 30 35.07 ,30 06 46.58 
04 30 36.30 ,30 06 26.95 
04 30 36.20 ,30 06 30.05 
04 30 38.26 ,30 06 42.21 
04 30 36.20 ,30 06 30.81 
04 30 34.77 ,30 06 46.81 
04 30 35.71 ,30 06 18.20 
04 30 34.95 ,30 06 32.37 
04 30 37.90 ,30 06 51.05 
04 30 37.12 ,30 06 21.12 
04 30 34.34 ,30 06 26.67 
04 30 35.46 ,30 06 15.29 
04 30 34.22 ,30 06 13.13 
04 30 38.05 ,30 06 19.51 
04 30 37.30 ,30 06 36.61 
04 30 36.48 ,30 06 42.89 
04 30 36.75 ,30 06 45.81 
04 30 36.85 ,30 06 59.97 
04 30 34.62 ,30 07 10.03 
04 30 33.48 ,30 06 22.04 
04 30 34.41 ,30 06 16.09 
04 30 36.40 ,30 06 00.27 
04 30 35.48 ,30 06 29.60 
04 30 35.37 ,30 06 17.65 
04 30 36.44 ,30 06 20.67 
04 30 35.10 ,30 06 31.44 
04 30 36.28 ,30 06 25.59 
04 30 36.07 ,30 06 23.79 
04 30 38.65 ,30 06 19.26 
04 30 35.31 ,30 06 37.91 
04 30 39.18 ,30 06 31.03 
04 30 34.75 ,30 06 29.19 
04 30 36.46 ,30 07 04.80 
04 30 35.77 ,30 06 34.77 
04 30 34.52 ,30 07 05.48 
04 30 37.74 ,30 06 32.36 
04 30 38.12 ,30 06 57.05 
04 30 33.59 ,30 06 34.14 
04 30 36.97 ,30 06 31.90 
04 30 35.24 ,30 06 47.39 
04 30 38.14 ,30 06 49.49 
04 30 38.59 ,30 06 19.82 
04 30 38.68 ,30 06 38.08 
04 30 35.31 ,30 06 35.80 
04 30 38.58 ,30 06 57.86 
04 30 36.01 ,30 06 51.06 
04 30 35.18 ,30 06 10.56 
04 30 35.71 ,30 05 59.25 
04 30 34.59 ,30 06 28.23 
04 30 37.44 ,30 06 13.16 
04 30 33.70 ,30 06 33.42 
04 30 34.55 ,30 06 40.21 
04 30 37.08 ,30 06 34.53 
04 30 37.07 ,30 06 09.85 
04 30 35.19 ,30 06 29.27 
04 30 35.37 ,30 06 52.98 
04 30 34.69 ,30 06 49.61 
04 30 34.10 ,30 06 22.05 
04 30 38.08 ,30 06 49.96 
04 30 36.67 ,30 06 36.61 
04 30 37.42 ,30 06 32.18 
04 30 37.04 ,30 06 14.59 
04 30 37.61 ,30 06 42.31 
04 30 36.61 ,30 06 11.32 
04 30 36.72 ,30 07 15.21 
04 30 38.08 ,30 06 25.32 
04 30 35.45 ,30 06 56.52 
04 30 37.08 ,30 06 45.90 
04 30 37.39 ,30 06 22.95 
04 30 36.04 ,30 07 03.06 
04 30 36.25 ,30 06 22.68 
04 30 35.63 ,30 06 18.60 
04 30 35.81 ,30 06 56.80 
04 30 38.27 ,30 06 24.55 
04 30 36.58 ,30 06 52.43 
04 30 36.19 ,30 06 44.59 
04 30 35.39 ,30 07 03.70 
04 30 34.59 ,30 06 19.52 
04 30 37.98 ,30 06 32.71 
04 30 37.00 ,30 07 02.44 
04 30 37.43 ,30 06 28.08 
04 30 36.60 ,30 06 41.96 
04 30 37.42 ,30 06 06.23 
04 30 36.09 ,30 06 27.21 
04 30 37.13 ,30 07 00.46 
04 30 35.60 ,30 06 37.52 
04 30 35.65 ,30 07 07.98 
04 30 37.60 ,30 06 29.77 
04 30 37.55 ,30 06 28.23 
04 30 37.67 ,30 07 11.00 
04 30 36.91 ,30 06 19.84 
04 30 36.86 ,30 06 31.38 
04 30 35.37 ,30 06 26.23 
04 30 36.02 ,30 06 24.36 
04 30 35.56 ,30 07 15.39 
04 30 34.34 ,30 06 26.85 
04 30 33.77 ,30 06 21.61 
04 30 35.85 ,30 06 10.86 
04 30 35.45 ,30 06 04.39 
04 30 34.73 ,30 06 44.06 
04 30 37.03 ,30 06 51.12 
04 30 34.32 ,30 06 09.93 
04 30 35.28 ,30 06 40.85 
04 30 36.68 ,30 06 09.44 
04 30 36.66 ,30 06 16.92 
04 30 37.01 ,30 06 42.80 
04 30 36.95 ,30 06 47.40 
04 30 36.87 ,30 06 26.06 
04 30 36.58 ,30 06 25.36 
04 30 36.49 ,30 06 09.72 
04 30 35.86 ,30 06 54.09 
04 30 35.64 ,30 06 43.40 
04 30 35.72 ,30 06 58.41 
04 30 35.67 ,30 06 43.59 
04 30 34.73 ,30 06 34.56 
04 30 33.99 ,30 07 02.55 
04 30 37.32 ,30 06 48.78 
04 30 37.31 ,30 06 41.91 
04 30 38.52 ,30 06 49.70 
04 30 33.94 ,30 06 28.06 
04 30 35.01 ,30 06 17.49 
04 30 37.39 ,30 07 06.20 
04 30 37.62 ,30 06 18.85 
04 30 35.19 ,30 06 43.89 
04 30 33.70 ,30 06 27.97 
04 30 36.02 ,30 06 48.00 
04 30 35.13 ,30 06 18.24 
04 30 37.71 ,30 06 07.85 
04 30 36.45 ,30 06 53.82 
04 30 38.20 ,30 06 18.47 
04 30 33.45 ,30 06 41.85 
04 30 33.42 ,30 06 34.93 
04 30 35.71 ,30 06 32.00 
04 30 36.00 ,30 06 12.08 
04 30 33.42 ,30 06 51.57 
04 30 35.32 ,30 06 31.69 
04 30 36.32 ,30 06 23.32 
04 30 38.32 ,30 06 47.84 
04 30 36.70 ,30 06 48.07 
04 30 36.70 ,30 06 42.56 
04 30 37.22 ,30 06 49.95 
04 30 36.16 ,30 06 13.72 
04 30 33.59 ,30 06 24.34 
04 30 38.39 ,30 06 55.29 
04 30 34.31 ,30 06 33.40 
04 30 35.59 ,30 06 19.52 
04 30 38.10 ,30 06 42.07 
04 30 34.50 ,30 06 36.82 
04 30 33.59 ,30 06 14.14 
04 30 34.49 ,30 06 14.79 
04 30 33.69 ,30 06 50.15 
04 30 36.34 ,30 06 52.98 
04 30 35.54 ,30 06 08.70 
04 30 37.82 ,30 06 18.81 
04 30 38.27 ,30 06 33.54 
