ra,dec
18 41 58.14,-57 00 36.44
18 41 58.74,-57 00 34.40
18 42 01.61,-56 59 26.74
18 42 02.11,-56 59 18.96
18 42 01.39,-57 00 02.04
18 41 57.39,-57 00 28.94
18 41 57.19,-57 00 08.51
18 42 06.17,-56 59 38.46
18 42 00.28,-57 00 33.82
18 41 54.79,-56 59 49.04
18 41 55.66,-56 59 48.59
18 41 54.67,-57 00 05.96
18 42 05.08,-57 00 28.98
18 41 53.82,-57 00 36.07
18 41 58.82,-56 59 23.10
18 41 59.16,-56 59 30.67
18 42 01.38,-56 59 38.51
18 42 04.16,-57 00 12.03
18 41 59.33,-56 59 56.60
18 42 00.40,-57 00 17.06
18 41 53.31,-57 00 03.43
18 42 03.01,-57 00 29.19
18 41 53.57,-56 59 56.43
18 42 01.75,-56 59 50.66
18 42 00.84,-56 59 43.88
18 42 01.06,-56 59 51.25
18 42 01.40,-57 00 43.11
18 42 02.68,-56 59 33.16
18 41 53.56,-56 59 37.07
18 42 03.78,-57 00 17.31
18 41 57.58,-56 58 58.92
18 41 58.56,-57 00 19.77
18 42 02.10,-57 00 03.07
18 42 04.34,-56 59 35.23
18 42 04.14,-56 59 46.53
18 42 04.43,-57 00 24.25
18 42 01.54,-56 59 51.87
18 41 56.88,-56 59 34.82
18 41 59.44,-57 00 35.68
18 42 03.91,-56 59 41.01
18 42 01.08,-57 00 43.67
18 42 03.61,-57 00 09.55
18 41 57.92,-56 59 36.81
18 41 54.59,-56 59 39.88
18 41 56.23,-56 59 46.28
18 41 57.03,-56 59 40.70
18 41 55.79,-57 00 22.67
18 41 55.42,-56 59 45.14
18 41 55.74,-56 59 59.63
18 42 00.56,-56 59 12.84
18 41 54.32,-57 00 00.58
18 42 01.25,-56 59 05.40
18 42 07.56,-57 00 00.56
18 42 02.48,-57 00 24.48
18 41 56.25,-56 59 05.34
18 42 03.28,-56 59 30.42
18 42 04.66,-57 00 19.19
18 42 04.75,-56 59 25.71
18 42 05.25,-57 00 06.15
18 42 03.99,-56 59 28.52
18 41 55.91,-56 59 51.21
18 41 55.00,-56 59 39.77
18 41 59.75,-57 00 33.44
18 41 58.02,-56 59 33.79
18 41 58.11,-56 59 43.01
18 42 04.68,-57 00 20.91
18 42 01.63,-57 00 21.47
18 41 59.76,-57 00 45.08
18 41 55.80,-56 59 18.05
18 42 04.01,-56 59 57.89
18 42 02.56,-57 00 09.41
18 42 00.46,-56 59 53.93
