ra,dec
16 42 02.62,14 00 29.99
16 41 56.84,14 00 05.15
16 42 01.19,14 00 21.03
16 42 01.09,13 59 37.07
16 42 00.68,13 59 59.43
16 41 59.03,14 00 11.56
16 41 57.95,14 00 18.29
16 42 00.72,13 59 27.11
16 41 58.18,13 59 04.79
16 41 57.19,13 59 40.89
16 42 02.00,13 59 37.10
16 41 58.74,14 00 16.63
16 41 58.65,14 00 22.37
16 42 01.07,13 59 34.86
16 41 58.44,14 00 59.12
16 41 59.57,13 59 53.60
16 41 58.93,13 59 39.32
16 42 00.82,13 59 12.57
16 41 59.93,14 00 26.41
16 41 57.53,13 59 31.50
16 41 59.96,13 59 51.66
16 42 02.50,14 00 39.54
16 42 01.64,13 59 14.82
16 42 00.74,14 00 09.33
16 42 01.06,13 59 46.47
16 41 58.24,14 00 35.07
16 42 00.92,13 59 17.23
16 41 58.85,13 59 56.30
16 41 59.38,14 00 01.86
16 42 02.83,13 59 24.60
16 41 55.86,13 59 59.90
16 42 00.42,14 00 35.45
16 41 59.11,14 00 50.93
16 42 01.67,13 59 42.42
16 41 58.45,13 59 25.07
16 41 59.89,14 00 13.43
16 41 59.19,14 00 34.71
16 42 02.96,13 59 53.47
16 41 59.73,13 59 30.31
16 42 00.01,13 59 12.65
16 41 58.76,13 59 44.07
16 42 01.15,13 59 00.19
16 42 00.52,13 59 37.07
16 41 57.59,14 00 20.42
16 41 57.45,13 59 44.22
16 41 57.20,14 00 06.23
16 42 00.90,14 00 47.16
16 41 59.76,13 59 45.97
16 42 01.71,13 59 30.76
16 42 00.05,14 00 22.82
16 41 59.17,14 00 51.82
16 41 58.14,13 59 31.28
16 42 00.43,13 59 56.33
16 42 02.89,14 00 06.88
16 42 01.03,14 00 41.92
16 41 59.32,14 00 23.04
16 41 59.29,13 59 24.93
16 41 57.46,13 59 14.78
16 42 02.17,13 59 27.13
16 42 03.83,14 00 33.01
16 41 58.62,14 00 43.09
16 41 59.64,13 59 22.37
16 42 00.55,13 59 55.52
16 41 56.22,13 59 50.60
16 42 02.88,13 59 26.31
16 42 04.00,14 00 05.36
16 42 00.93,14 01 01.89
16 42 03.69,14 00 35.38
16 41 56.84,14 00 00.71
16 41 57.77,13 59 29.84
16 42 01.16,13 59 38.83
16 41 59.87,13 59 27.74
16 41 56.17,13 59 58.18
16 42 01.43,13 59 21.31
16 42 00.59,14 00 05.07
16 41 56.81,13 59 25.04
16 42 01.22,13 59 26.84
16 41 57.43,14 00 07.57
16 41 59.82,14 00 01.89
16 42 01.36,13 59 32.61
16 42 00.28,13 59 32.12
16 41 59.48,13 59 41.45
16 41 57.46,13 59 56.77
16 41 59.36,14 00 08.87
16 42 00.05,14 00 16.54
16 41 57.36,14 00 11.19
16 42 01.75,14 00 52.71
16 42 00.90,14 00 53.99
16 41 57.70,13 59 58.77
16 42 01.84,14 00 03.33
16 41 57.33,14 00 14.83
16 42 03.04,14 00 03.59
16 42 02.34,14 00 21.29
16 41 57.41,13 59 36.37
16 41 59.94,14 00 26.29
16 42 01.78,14 00 26.86
16 42 00.17,13 59 27.49
16 41 56.57,13 59 51.66
16 42 01.81,13 59 48.38
16 42 02.49,13 59 32.81
16 41 56.14,14 00 10.52
16 41 59.74,13 59 50.37
16 42 04.12,14 00 03.84
16 41 57.06,13 59 48.56
16 42 02.46,14 00 10.71
16 41 57.36,14 00 21.75
16 41 59.98,13 59 27.68
16 41 58.21,14 00 10.51
16 41 57.56,13 59 48.51
16 41 56.50,14 00 33.29
16 41 58.65,13 59 50.47
16 41 57.99,14 00 49.66
16 42 01.12,14 00 28.82
16 41 56.77,14 00 31.91
16 41 59.11,13 59 22.02
16 42 00.21,13 59 56.59
16 41 57.87,13 59 27.33
16 42 02.28,14 00 01.46
16 41 58.31,14 00 21.33
16 42 00.09,14 00 09.95
16 42 01.31,14 00 19.26
16 41 58.68,13 59 28.04
16 41 58.40,13 59 54.35
16 42 03.04,13 59 25.72
16 42 00.87,13 59 52.47
16 41 59.03,14 00 03.39
16 41 57.20,14 00 47.38
16 41 59.05,13 59 55.21
16 42 01.70,14 00 19.85
16 41 57.16,13 59 41.69
16 42 02.42,14 00 24.52
16 42 00.70,13 59 08.15
16 41 57.65,14 00 10.25
16 41 58.87,13 59 29.19
16 42 01.79,13 59 36.99
16 42 03.68,13 59 40.16
16 41 58.28,14 00 24.49
16 42 01.11,13 59 36.31
16 42 01.50,14 00 41.65
16 41 59.25,14 00 42.86
16 42 02.62,14 00 24.66
16 42 01.18,13 59 30.68
16 41 58.54,13 59 09.72
16 41 58.39,14 00 09.33
16 42 01.54,13 59 36.35
16 41 57.46,14 00 05.00
16 42 03.72,14 00 10.92
16 42 02.17,13 59 17.90
16 41 59.87,13 59 29.23
16 41 56.48,14 00 27.17
16 41 58.15,13 59 33.34
16 41 59.68,13 59 42.99
16 41 57.86,14 00 25.46
16 42 01.63,13 59 55.96
16 41 59.63,14 00 28.04
16 41 56.10,14 00 12.16
16 41 58.19,14 00 01.96
16 41 56.62,13 59 59.51
16 42 01.37,14 00 17.17
16 41 58.66,13 59 26.46
16 41 59.90,13 59 31.49
16 42 03.08,13 59 33.01
16 41 57.87,14 00 26.14
16 41 59.91,14 00 24.79
16 41 59.89,14 00 03.52
16 41 59.34,14 00 29.37
16 42 00.04,14 00 42.62
16 42 04.05,13 59 44.80
16 41 58.31,14 00 36.80
16 42 00.37,13 59 45.37
16 42 02.79,14 00 15.88
16 42 03.00,14 00 00.20
16 42 00.93,13 59 11.81
16 41 58.14,13 59 50.71
16 42 01.80,14 00 21.27
16 42 04.37,14 00 00.41
16 42 00.70,14 00 31.13
16 41 57.33,14 00 16.92
16 41 59.31,13 59 53.34
16 41 59.51,14 00 38.34
16 42 00.14,13 59 36.48
16 42 01.88,13 59 20.90
16 42 00.24,14 00 06.12
16 41 57.05,14 00 12.61
16 42 03.18,13 59 40.34
16 41 58.26,13 59 15.54
16 41 59.84,14 00 11.45
16 42 01.74,13 59 30.44
16 41 58.18,14 00 07.99
16 41 56.67,13 59 31.15
16 42 00.73,14 00 34.20
16 42 01.39,13 59 05.35
16 41 58.62,13 59 26.73
16 42 02.00,14 00 53.65
16 42 03.84,13 59 52.96
16 42 00.06,13 59 46.22
16 41 57.09,14 00 11.63
16 42 00.14,14 00 26.89
16 42 03.03,13 59 32.10
16 41 57.79,14 00 31.27
16 42 04.14,14 00 01.73
16 41 57.90,14 00 54.41
16 41 57.26,13 59 14.61
16 41 58.65,14 00 40.73
16 41 59.37,14 00 03.95
16 41 57.37,14 00 09.04
16 41 59.77,14 00 42.69
16 41 56.36,13 59 57.50
16 41 58.81,13 59 52.15
16 42 02.82,14 00 22.34
16 42 00.79,13 59 41.29
16 41 59.82,13 59 40.17
16 42 00.48,14 00 39.64
16 41 58.92,14 00 28.79
16 41 58.32,14 00 29.69
16 42 02.35,14 00 30.85
16 41 59.55,13 59 21.11
16 41 56.65,14 00 02.69
16 41 58.26,14 00 21.51
16 42 02.54,13 59 26.53
16 41 59.46,14 00 06.67
16 41 59.42,13 59 53.64
16 42 00.86,13 59 35.02
16 41 59.09,13 59 08.68
16 41 58.25,13 59 50.39
16 42 00.49,14 00 17.79
16 42 01.54,14 00 12.50
16 42 03.29,13 59 36.04
16 41 59.47,14 00 50.14
16 42 01.32,14 00 34.66
16 42 00.85,13 59 33.32
16 41 58.34,14 00 44.66
16 41 56.40,13 59 35.75
16 42 01.05,13 59 40.79
16 41 56.55,13 59 34.95
16 41 58.65,13 59 32.70
16 41 59.37,13 59 14.74
16 41 59.83,13 59 47.21
16 42 01.61,14 00 05.60
16 41 59.84,13 59 59.28
16 41 57.07,13 59 25.21
16 42 02.45,14 00 18.86
16 41 59.62,14 00 01.57
16 41 59.30,13 59 54.18
16 41 57.44,13 59 54.42
16 42 02.79,13 59 43.44
16 41 59.29,13 59 58.12
16 41 59.70,14 00 03.78
16 41 57.95,13 59 51.35
16 42 02.26,14 00 01.98
16 42 01.59,14 00 30.34
16 41 57.33,14 00 02.61
16 42 03.25,14 00 01.66
16 41 58.78,13 59 36.10
16 41 58.25,14 00 35.82
16 41 58.23,13 59 51.69
16 41 58.39,14 00 24.73
16 41 57.15,14 00 12.70
16 42 03.60,14 00 23.10
16 42 01.60,13 59 17.20
16 41 58.10,14 00 10.84
16 41 56.45,14 00 10.50
16 41 58.84,14 00 23.26
16 41 58.20,14 00 42.24
16 42 00.85,14 00 08.25
16 41 57.69,13 59 13.54
16 42 02.17,13 59 59.01
16 41 56.24,14 00 11.92
16 41 58.33,14 00 11.53
16 42 01.10,13 59 52.54
16 42 01.11,14 00 01.06
16 41 59.11,14 00 04.22
16 41 58.01,13 59 48.58
16 41 58.27,13 59 25.91
16 42 01.66,14 00 21.52
16 41 59.53,14 00 45.11
16 42 02.31,13 59 32.53
16 42 00.85,14 00 47.94
16 41 57.06,14 00 33.11
16 41 58.77,13 59 59.15
16 41 57.80,14 00 32.79
16 42 00.76,14 00 14.31
16 41 56.47,14 00 25.11
16 41 58.15,13 59 39.30
16 41 58.94,13 59 12.96
16 42 01.92,14 00 28.89
16 42 00.01,14 00 54.85
16 41 57.52,14 00 31.58
16 41 59.87,14 00 20.16
16 41 57.31,13 59 43.62
16 42 02.14,14 00 42.24
16 41 57.37,13 59 49.43
16 41 58.75,14 00 04.07
16 42 01.92,13 59 48.35
16 42 01.05,14 00 03.51
16 41 57.80,14 00 16.49
16 42 02.50,13 59 22.31
16 41 59.59,14 00 49.33
16 41 58.45,14 00 00.08
16 41 59.44,13 59 35.54
16 42 01.12,14 00 21.78
16 41 59.17,14 00 19.53
16 42 02.70,14 00 19.21
16 41 57.58,14 00 44.19
16 42 01.49,13 59 23.93
16 42 00.72,14 00 51.74
16 41 59.68,14 00 43.01
16 42 03.61,14 00 35.29
16 41 57.48,14 00 37.96
16 42 02.19,14 00 48.32
16 41 57.83,13 59 57.71
16 42 02.13,13 59 50.43
16 41 59.23,14 00 04.26
16 41 59.79,14 00 47.52
