ra,dec
17 29 57.17,-14 59 29.94
17 30 01.57,-15 00 17.98
17 30 02.42,-14 59 12.38
17 30 00.95,-15 00 19.40
17 30 00.33,-15 00 58.13
17 30 03.53,-14 59 48.55
17 30 01.23,-14 59 53.82
17 30 02.80,-14 59 22.37
17 29 56.67,-15 00 02.52
17 29 58.60,-15 00 32.65
17 30 00.91,-15 00 49.79
17 30 00.99,-15 00 29.08
17 30 03.14,-14 59 54.77
17 29 58.33,-15 00 12.75
17 30 02.64,-14 59 48.73
17 29 59.89,-14 59 33.46
17 30 01.05,-15 00 58.11
17 30 01.68,-14 59 32.08
17 30 00.14,-15 01 11.67
17 29 58.00,-14 59 11.65
17 29 59.62,-14 59 12.91
17 30 00.48,-14 59 09.20
17 30 00.27,-15 00 30.76
17 29 57.29,-14 59 55.91
17 29 56.37,-14 59 25.79
17 30 01.39,-15 00 16.47
17 29 58.93,-14 59 13.74
17 29 57.51,-15 00 47.71
17 29 57.67,-15 00 50.17
17 29 57.28,-14 59 14.27
17 29 56.33,-15 00 44.04
17 30 01.53,-15 00 07.16
17 30 02.92,-14 59 11.27
17 29 57.16,-14 59 40.31
17 30 00.15,-14 59 20.02
17 29 58.75,-15 00 41.07
17 29 56.34,-15 00 01.05
17 30 00.82,-15 00 48.97
17 29 59.37,-15 00 16.69
17 29 58.67,-15 00 51.28
17 29 57.39,-14 59 34.46
17 29 58.97,-15 00 06.34
17 29 57.25,-14 59 35.79
17 29 59.52,-14 59 37.37
17 29 57.63,-15 00 10.09
17 30 00.95,-15 00 13.98
17 30 02.67,-14 59 40.85
17 29 59.28,-14 59 26.91
17 29 59.60,-15 01 01.57
17 29 57.08,-14 59 44.53
17 30 00.49,-15 00 44.47
17 30 02.75,-14 59 55.58
17 29 56.23,-15 00 17.57
17 29 56.54,-15 00 31.94
17 30 01.68,-15 00 18.36
17 30 00.31,-15 00 11.60
17 30 02.65,-14 59 54.04
17 29 57.62,-14 59 58.56
17 29 58.19,-15 00 33.65
17 30 01.74,-14 59 45.09
17 30 02.53,-14 59 26.31
17 30 01.84,-15 00 56.63
17 30 01.37,-15 00 32.99
17 30 02.51,-14 59 39.55
17 30 03.35,-15 00 27.65
17 30 01.60,-15 00 24.30
17 30 03.35,-14 59 55.40
17 29 59.59,-15 00 28.11
17 30 01.19,-15 00 07.72
17 29 58.92,-14 59 58.63
17 30 02.92,-14 59 32.37
17 29 57.25,-14 59 29.33
17 30 00.44,-14 59 35.02
17 29 59.53,-15 00 12.62
17 29 56.20,-14 59 39.82
17 29 56.18,-14 59 31.26
17 30 01.57,-15 00 00.32
17 30 01.22,-15 00 26.96
17 30 04.26,-15 00 19.50
17 30 02.26,-15 00 56.15
17 29 59.37,-14 59 30.61
17 30 01.92,-15 00 21.37
17 30 00.14,-15 00 14.32
17 29 58.27,-14 59 11.33
17 30 04.64,-14 59 31.16
17 30 00.63,-15 00 14.35
17 29 56.52,-14 59 39.37
17 29 56.44,-15 00 45.24
17 30 04.06,-14 59 38.87
17 29 59.07,-14 59 58.80
17 30 00.92,-15 00 01.35
17 30 00.21,-15 00 49.96
17 29 57.41,-15 00 39.35
17 30 03.51,-14 59 07.69
17 29 56.41,-14 59 51.62
17 29 56.26,-15 00 22.90
17 29 59.02,-15 00 31.64
17 30 02.52,-14 59 35.30
17 29 56.10,-14 59 40.00
17 29 58.73,-15 00 08.45
17 30 00.18,-14 59 58.90
17 29 59.25,-15 00 15.47
17 30 01.44,-14 59 14.32
17 29 56.28,-15 00 25.24
17 30 02.78,-15 00 32.86
17 30 03.72,-14 59 13.69
17 30 00.43,-14 59 45.95
17 29 56.00,-14 59 42.74
17 29 57.98,-14 59 28.22
17 30 02.89,-14 59 27.48
17 29 56.97,-15 00 10.75
17 30 03.22,-15 00 40.21
17 29 57.85,-14 59 10.82
17 29 59.90,-14 59 11.88
17 30 04.72,-15 00 25.52
17 29 57.89,-14 59 26.51
17 30 01.58,-14 59 54.29
17 29 56.78,-15 00 06.84
17 29 57.80,-15 00 19.50
17 29 57.86,-14 59 26.10
17 30 01.11,-15 00 59.40
17 29 56.04,-14 59 51.20
17 29 58.19,-14 59 16.83
17 30 02.58,-14 59 47.24
17 29 57.25,-14 59 59.25
17 29 59.57,-15 00 01.85
17 30 00.34,-14 59 11.23
17 29 58.67,-14 59 27.93
17 29 55.80,-15 00 10.99
17 30 01.72,-14 59 57.52
17 30 03.37,-15 00 23.35
17 30 00.10,-15 01 08.06
17 29 59.81,-14 59 30.18
17 29 57.16,-14 59 24.50
17 29 59.92,-15 00 48.16
17 29 56.54,-14 59 29.48
17 30 00.56,-14 59 59.94
17 30 01.50,-15 00 02.05
17 29 56.75,-14 59 16.07
17 29 56.52,-15 00 34.42
17 29 59.60,-15 00 33.74
17 29 59.66,-15 00 32.83
17 29 59.92,-15 00 54.40
17 30 04.26,-14 59 47.62
17 29 57.56,-14 59 02.25
17 29 57.85,-14 59 22.41
17 30 02.66,-14 59 36.84
17 29 58.30,-14 59 41.58
17 30 01.04,-15 00 46.01
17 30 00.52,-15 00 37.68
17 30 00.09,-15 01 00.56
17 30 00.05,-15 00 22.24
17 30 03.81,-14 59 15.63
17 29 56.16,-14 59 24.89
17 30 03.59,-14 59 42.94
17 29 59.74,-15 00 08.31
17 30 00.98,-14 59 41.35
17 29 59.61,-15 00 22.60
17 30 01.08,-15 00 17.74
17 30 00.45,-15 00 42.38
17 30 03.17,-15 00 11.20
17 30 01.00,-15 00 26.23
17 30 01.83,-14 59 57.28
17 29 58.57,-15 01 05.13
17 30 01.02,-15 00 26.55
17 30 00.53,-15 00 57.14
17 29 58.56,-15 00 16.80
17 30 05.10,-14 59 55.25
17 29 59.75,-15 00 44.57
17 30 02.31,-15 00 56.87
17 30 01.49,-15 00 03.60
17 29 55.94,-14 59 34.82
17 29 58.55,-15 00 24.47
17 30 00.95,-14 59 18.15
17 29 56.67,-14 59 30.74
17 29 57.96,-14 59 31.29
17 30 02.03,-14 59 33.73
17 29 59.83,-15 00 21.74
17 30 00.84,-14 59 35.32
17 30 02.60,-14 58 59.89
17 30 00.79,-14 59 23.40
17 29 58.71,-15 00 53.62
17 29 59.58,-14 59 05.78
17 29 55.33,-15 00 19.40
17 29 55.97,-15 00 07.18
17 29 59.67,-14 59 46.70
