ra,dec
18 06 00.99,-42 59 19.39
18 06 02.61,-42 59 53.84
18 05 57.84,-43 00 16.40
18 05 58.14,-42 59 48.95
18 05 57.03,-42 59 38.67
18 06 02.55,-42 59 51.07
18 06 00.50,-42 59 31.17
18 05 57.13,-43 00 29.73
18 05 58.26,-42 59 46.08
18 06 03.13,-42 59 31.47
18 06 02.17,-43 00 25.31
18 06 00.14,-43 00 04.38
18 06 01.30,-42 59 37.07
18 05 57.98,-43 00 34.97
18 06 00.51,-42 59 23.20
18 05 59.75,-42 59 12.16
18 06 01.54,-43 00 50.24
18 06 02.75,-42 59 53.47
18 06 02.15,-42 59 51.93
18 06 01.22,-43 00 12.79
18 06 00.77,-43 00 07.14
18 05 57.44,-43 00 27.31
18 05 57.87,-43 00 10.49
18 05 55.78,-42 59 49.14
18 06 01.60,-43 00 28.34
18 05 57.57,-42 59 55.81
18 06 04.12,-42 59 55.57
18 05 58.48,-42 59 42.14
18 05 57.46,-43 00 20.26
18 05 58.06,-42 59 37.06
18 06 00.47,-42 59 23.77
18 05 56.44,-42 59 21.10
18 05 59.36,-43 00 41.33
18 06 00.79,-42 59 27.04
18 05 59.18,-43 00 00.45
18 06 01.39,-42 59 51.73
18 06 03.40,-42 59 48.07
18 06 02.70,-43 00 43.20
18 05 57.86,-42 59 55.00
18 06 00.43,-43 00 34.79
18 05 58.18,-43 00 16.89
18 05 57.79,-42 59 55.06
18 06 03.51,-43 00 31.67
18 05 59.71,-43 00 50.51
18 05 57.58,-43 00 29.46
18 06 02.05,-42 59 42.20
18 05 56.17,-42 59 28.92
18 05 57.70,-42 59 27.47
18 06 00.84,-43 00 20.63
18 05 58.16,-43 00 02.29
18 05 58.32,-42 59 57.60
18 06 01.49,-43 00 08.15
18 05 59.28,-42 59 49.85
18 05 58.60,-42 59 35.68
18 05 59.10,-42 59 07.27
18 05 58.72,-42 59 23.12
18 05 59.96,-43 00 02.49
18 05 59.32,-42 59 19.03
18 06 02.01,-42 59 55.48
18 05 58.97,-43 00 45.70
18 06 04.16,-42 59 54.81
18 05 57.89,-43 00 48.34
18 05 55.77,-42 59 49.77
18 06 00.46,-43 00 02.85
18 06 00.47,-43 00 17.74
18 06 03.27,-43 00 16.44
18 05 59.41,-43 00 23.67
18 05 56.37,-42 59 52.95
