ra,dec
17 11 59.26,-01 00 14.34
17 11 57.85,-00 59 51.43
17 12 01.53,-01 00 01.16
17 11 59.31,-01 00 19.90
17 12 03.48,-01 00 45.34
17 11 56.35,-00 59 44.79
17 12 00.42,-00 59 37.99
17 11 56.65,-00 59 42.90
17 11 57.40,-00 59 52.99
17 11 59.97,-00 59 45.87
17 12 03.65,-00 59 54.37
17 11 58.60,-00 59 14.12
17 12 01.74,-01 00 38.90
17 11 58.26,-00 59 32.84
17 12 00.85,-01 00 26.51
17 12 03.50,-01 00 36.99
17 11 59.65,-00 59 32.40
17 11 57.55,-01 00 22.56
17 11 58.98,-00 59 33.83
17 12 01.99,-01 00 24.71
17 11 59.31,-01 00 09.99
17 11 57.52,-00 59 34.69
17 11 57.95,-01 00 35.56
17 11 59.00,-01 00 51.63
17 11 59.54,-01 00 21.38
17 12 03.13,-01 00 26.83
17 12 00.82,-00 59 28.70
17 11 58.48,-01 00 39.13
17 12 00.39,-00 59 43.02
17 12 00.65,-00 59 16.84
17 12 01.67,-00 59 44.14
17 12 03.25,-01 00 10.09
17 11 59.76,-01 00 15.01
17 11 58.12,-01 00 38.87
17 11 59.97,-01 00 22.62
17 11 57.63,-01 00 12.66
17 12 00.14,-01 00 21.98
17 12 00.26,-01 01 01.56
17 11 55.60,-01 00 04.54
17 12 00.02,-00 59 15.38
17 11 59.70,-00 59 51.09
17 12 02.86,-00 59 54.43
17 12 01.31,-01 00 43.13
17 12 02.75,-00 59 20.16
17 12 00.74,-00 59 08.04
17 11 57.33,-00 59 38.59
17 11 57.78,-01 00 18.49
17 12 00.15,-01 00 30.57
17 12 02.97,-01 00 38.70
17 12 02.65,-01 00 13.87
17 11 59.49,-01 00 19.57
17 12 00.34,-01 01 01.06
17 12 03.02,-00 59 37.51
17 12 00.37,-00 59 57.22
17 12 01.80,-01 00 41.23
17 12 01.70,-00 59 07.66
17 11 56.53,-00 59 48.21
17 11 59.96,-00 58 59.33
17 12 01.93,-01 00 13.08
17 12 01.68,-00 59 28.76
17 12 03.26,-01 00 25.09
17 11 59.94,-00 59 26.10
17 12 02.54,-01 00 48.97
17 11 56.68,-01 00 07.41
17 12 00.91,-00 59 50.20
17 12 02.79,-00 59 19.70
17 11 58.66,-01 00 05.50
17 11 57.88,-01 00 02.09
17 12 01.22,-00 59 47.34
17 11 59.40,-01 00 41.35
17 12 01.82,-01 00 23.30
17 12 03.70,-00 59 53.47
17 12 01.65,-01 00 33.04
17 12 00.90,-01 00 12.45
17 12 01.24,-00 59 40.71
17 12 01.87,-00 59 37.54
17 12 00.72,-01 00 04.89
17 11 57.60,-00 59 25.53
17 12 02.37,-01 00 45.18
17 12 02.48,-00 59 28.65
17 11 59.81,-01 00 45.24
17 12 03.27,-01 00 29.87
17 12 00.28,-00 59 25.04
17 12 04.29,-01 00 23.07
17 11 58.88,-01 00 11.31
17 12 02.22,-01 00 51.61
17 12 01.87,-01 00 43.50
17 12 00.97,-01 00 44.55
17 11 55.92,-01 00 04.35
17 11 57.67,-01 00 44.55
17 12 01.99,-00 59 46.34
17 11 57.44,-01 00 00.36
17 12 01.16,-01 00 23.14
17 11 57.66,-01 00 26.26
17 12 02.68,-00 59 54.15
17 11 59.61,-01 00 21.55
17 11 56.52,-00 59 53.32
17 12 02.62,-01 00 15.83
17 12 02.99,-00 59 39.10
17 12 00.21,-00 59 40.60
17 12 01.11,-00 59 23.23
17 12 02.84,-01 00 21.17
17 12 00.26,-00 59 12.73
17 12 04.36,-01 00 01.35
17 11 57.29,-01 00 17.10
17 12 03.65,-01 00 20.50
17 11 58.65,-00 59 23.02
17 11 57.55,-01 00 05.58
17 11 59.08,-01 00 08.55
17 12 02.27,-01 00 31.93
17 12 00.14,-00 59 47.39
17 11 58.37,-00 59 45.60
17 11 58.92,-01 00 04.27
17 11 57.06,-01 00 21.71
17 12 00.51,-00 58 54.46
17 12 02.73,-00 59 51.23
17 11 58.32,-00 59 27.69
17 12 01.06,-00 59 21.85
17 11 57.24,-01 00 34.92
17 11 59.62,-00 59 48.19
17 11 58.65,-01 00 10.46
17 12 00.06,-01 00 26.79
17 11 56.38,-01 00 04.01
17 11 58.66,-01 00 15.23
17 12 01.43,-01 00 08.20
17 12 00.16,-00 59 42.36
17 11 57.99,-01 00 38.54
17 12 00.10,-00 59 49.42
17 11 56.21,-00 59 47.47
17 11 56.95,-01 00 36.13
17 11 58.60,-01 00 26.75
17 12 01.29,-00 59 44.35
17 11 56.50,-01 00 20.13
17 11 57.88,-00 59 29.04
17 11 56.92,-00 59 51.39
17 12 01.13,-01 00 16.22
17 12 00.43,-01 00 27.07
17 12 02.95,-01 00 30.54
17 11 59.54,-00 59 18.49
17 12 02.64,-01 00 04.69
17 11 59.85,-00 59 31.58
17 11 57.85,-01 00 06.63
17 11 57.65,-00 59 45.44
17 12 01.83,-00 59 54.98
17 12 02.21,-00 59 14.30
17 12 02.48,-00 59 20.21
17 12 00.79,-00 59 20.80
17 11 56.44,-01 00 18.97
17 12 02.49,-01 00 00.31
17 12 00.45,-01 00 10.99
17 11 57.43,-01 00 08.97
17 12 02.23,-01 00 08.23
17 12 01.76,-00 59 46.67
17 12 00.32,-01 00 04.19
17 12 00.15,-00 59 35.98
17 11 58.98,-01 00 51.41
17 11 59.59,-00 59 09.05
17 12 00.78,-00 59 00.83
17 11 58.88,-01 00 14.04
17 12 00.53,-00 59 56.81
17 11 59.58,-00 59 26.43
17 11 59.02,-01 00 21.38
17 12 02.82,-00 59 51.80
17 12 01.65,-01 00 33.62
17 11 57.31,-00 59 28.24
17 12 03.01,-01 00 28.03
17 12 01.05,-01 00 31.26
17 12 02.21,-01 00 22.53
17 12 02.44,-01 00 16.00
17 12 01.20,-01 00 15.44
17 11 59.75,-01 00 44.56
17 12 01.14,-00 59 03.60
17 12 02.91,-00 59 25.44
17 12 03.95,-00 59 55.56
17 11 58.38,-00 59 13.21
17 11 58.37,-00 59 56.94
17 11 59.43,-01 00 34.65
17 11 58.08,-00 59 13.65
17 11 59.56,-00 59 25.93
17 11 59.13,-01 00 44.65
17 12 03.15,-00 59 42.67
17 11 59.00,-00 59 54.82
17 11 58.95,-01 00 52.88
17 11 59.47,-01 00 29.52
17 12 00.35,-00 59 11.99
17 11 59.14,-00 59 43.13
17 12 04.01,-01 00 09.16
17 11 59.91,-00 59 32.87
17 11 58.68,-01 00 45.62
17 11 58.81,-00 59 30.43
17 12 02.26,-01 00 54.29
17 11 59.03,-00 59 30.34
17 12 03.61,-01 00 01.88
17 12 00.49,-01 00 33.45
17 12 02.55,-00 59 13.80
17 12 00.59,-01 00 06.52
17 12 00.75,-00 59 18.00
17 11 59.12,-00 59 08.90
17 11 58.65,-00 58 57.75
17 12 03.03,-00 59 36.06
17 11 58.61,-00 59 23.41
17 12 00.35,-01 00 28.56
17 12 03.24,-01 00 34.15
17 12 01.57,-01 00 29.04
17 11 59.69,-00 59 50.77
17 11 57.43,-00 59 46.48
17 12 01.41,-01 00 34.13
17 12 02.23,-01 00 34.52
17 12 00.20,-00 59 56.63
17 12 02.71,-00 59 34.33
17 12 00.99,-00 59 15.45
17 11 56.62,-01 00 11.89
17 12 00.07,-01 00 28.76
17 11 58.24,-00 59 49.65
17 11 59.72,-00 59 35.04
17 12 00.39,-00 59 43.23
17 11 56.27,-01 00 05.73
17 12 00.59,-00 59 38.80
17 12 01.80,-01 00 04.51
17 12 00.57,-00 59 34.82
17 11 58.99,-01 00 55.60
17 12 01.02,-01 00 13.45
17 12 00.38,-01 00 07.43
17 12 01.03,-00 59 30.89
17 12 03.32,-01 00 24.43
17 12 02.51,-00 59 21.48
17 11 59.54,-00 59 12.28
17 11 58.42,-00 59 51.06
17 12 01.44,-01 00 52.44
17 11 57.81,-00 59 23.09
17 12 01.38,-01 00 44.18
17 11 57.56,-01 00 35.59
17 12 00.26,-00 59 43.59
17 12 04.66,-00 59 56.58
17 11 58.87,-00 59 11.31
17 12 00.36,-00 59 35.79
17 11 58.18,-01 00 21.34
17 11 57.03,-01 00 14.34
17 11 58.23,-01 00 33.77
17 11 58.36,-00 59 33.86
17 12 04.46,-00 59 45.43
17 12 03.95,-00 59 35.65
17 11 59.48,-00 59 34.22
17 11 57.74,-00 59 18.34
17 11 57.34,-01 00 25.82
17 12 02.13,-00 59 50.49
17 11 57.34,-00 59 17.61
17 12 00.60,-01 00 31.81
17 11 58.92,-00 59 21.81
17 11 57.07,-01 00 39.12
17 12 02.02,-00 59 56.18
17 12 01.17,-00 59 50.89
17 11 56.89,-01 00 45.56
17 12 01.59,-01 00 32.08
17 11 59.24,-01 00 14.13
17 12 01.25,-00 59 42.27
17 12 01.01,-00 59 42.13
17 11 59.02,-00 59 15.66
17 11 59.91,-01 00 42.01
17 11 59.93,-00 59 42.53
17 12 00.33,-01 00 27.28
17 11 57.61,-01 00 47.29
17 12 04.57,-00 59 52.41
17 11 59.26,-00 59 19.65
17 12 00.31,-01 00 25.29
17 12 00.08,-01 00 38.31
17 12 02.82,-00 59 48.90
17 11 58.18,-01 00 47.64
17 12 02.66,-01 00 27.14
17 12 00.21,-00 59 40.10
17 12 00.31,-01 00 37.52
17 12 01.18,-01 00 39.19
17 11 56.60,-01 00 00.22
17 12 00.67,-01 00 28.69
17 12 01.29,-00 59 29.94
17 12 01.70,-00 59 56.45
17 12 01.71,-01 00 11.77
17 11 58.37,-01 00 31.38
17 11 59.54,-00 59 44.24
17 11 58.49,-01 00 26.42
17 11 58.70,-00 59 30.93
17 12 00.50,-00 59 11.77
