ra,dec
16 23 57.95,22 00 01.31
16 23 58.05,22 00 22.77
16 23 57.55,21 59 37.98
16 23 59.91,21 59 35.45
16 24 02.88,21 59 56.05
16 24 02.85,21 59 01.65
16 24 01.57,22 00 07.33
16 23 59.17,21 59 58.07
16 23 56.09,22 00 18.83
16 24 04.40,22 00 29.84
16 23 59.68,21 59 26.27
16 23 58.37,22 00 26.17
16 24 03.13,22 00 35.16
16 23 58.21,21 59 56.15
16 23 59.45,21 59 28.51
16 23 59.07,21 59 46.51
16 23 57.12,22 00 08.19
16 24 00.90,22 00 25.40
16 23 57.28,22 00 08.68
16 23 59.08,22 00 00.61
16 24 03.02,21 59 53.79
16 24 02.89,22 00 23.88
16 23 59.52,21 59 58.62
16 24 02.30,22 00 28.36
16 24 03.10,21 59 58.99
16 24 03.55,21 59 57.01
16 24 02.13,21 59 22.31
16 24 05.22,22 00 08.36
16 24 01.32,21 59 32.92
16 23 57.73,22 00 44.87
16 23 55.34,22 00 09.43
16 23 58.42,21 58 53.60
16 24 00.96,21 59 44.75
16 23 58.59,22 00 18.89
16 24 02.22,21 59 33.50
16 24 04.97,22 00 16.85
16 23 58.93,22 00 28.95
16 24 02.29,22 00 30.31
16 23 57.17,21 59 30.20
16 23 59.73,21 59 32.30
16 23 56.06,22 00 10.79
16 23 59.77,21 59 42.52
16 24 00.32,21 59 25.34
16 24 02.17,22 00 25.97
16 24 00.19,22 00 29.80
16 24 03.80,22 00 25.11
16 24 04.55,22 00 08.01
16 23 57.78,22 00 12.56
16 24 01.04,21 59 25.15
16 23 57.04,21 59 15.86
16 24 01.57,21 59 43.29
16 23 55.58,21 59 38.51
16 24 00.82,21 59 14.12
16 24 01.43,22 00 06.34
16 23 59.14,21 59 57.41
16 23 57.00,21 59 40.13
16 23 59.07,22 00 47.37
16 23 59.09,21 59 55.07
16 24 01.91,22 00 30.54
16 23 58.01,22 00 46.11
16 24 01.68,21 59 45.85
16 23 56.38,22 00 36.14
16 23 57.43,21 59 04.78
16 23 59.20,22 00 33.15
16 23 59.60,22 00 48.83
16 24 00.42,21 59 22.40
16 23 56.19,21 59 57.17
16 23 59.42,22 00 39.35
16 24 02.15,22 00 28.11
16 24 03.11,21 59 43.75
16 24 03.13,22 00 27.19
16 24 00.30,22 00 54.19
16 24 04.12,22 00 30.28
16 24 00.81,22 00 17.18
16 24 01.21,21 59 19.78
16 24 02.78,22 00 43.89
16 23 56.50,21 59 43.68
16 23 58.06,21 58 54.88
16 23 59.08,22 00 20.65
16 23 59.40,22 00 24.50
16 24 00.86,22 00 06.87
16 24 00.90,21 58 58.60
16 24 01.21,21 59 01.87
16 24 00.32,21 59 35.62
16 23 56.77,22 00 08.54
16 24 04.67,22 00 00.36
16 24 01.45,21 59 17.81
16 23 59.68,21 59 01.01
16 24 01.65,21 59 50.56
16 24 01.79,21 59 08.04
16 24 02.62,21 59 42.36
16 23 58.84,22 00 09.25
16 24 01.32,21 59 48.98
16 24 00.84,21 59 39.52
16 23 59.24,21 59 59.98
16 24 00.12,21 59 35.16
16 24 03.36,21 59 56.71
16 23 57.55,21 59 08.46
16 23 58.08,22 00 46.56
16 23 59.98,21 59 58.90
16 24 00.33,21 59 28.31
16 23 57.81,22 00 51.58
16 23 57.12,21 59 22.78
16 24 00.73,22 00 32.58
16 24 02.66,22 00 59.73
16 24 03.21,21 59 58.17
16 23 59.98,22 00 25.94
16 24 04.36,22 00 13.32
16 24 00.40,21 59 34.43
16 24 02.54,22 01 05.40
16 24 01.68,21 59 02.58
16 23 59.32,22 01 04.32
16 23 59.04,22 00 47.29
16 23 55.29,22 00 02.20
16 23 58.93,21 59 43.05
16 23 58.79,22 00 53.51
16 23 55.85,22 00 23.98
16 23 55.27,21 59 39.33
16 24 00.06,22 00 48.85
16 23 59.76,21 59 24.36
16 24 00.39,22 00 32.37
16 23 55.73,22 00 08.60
16 23 59.96,22 00 27.72
16 24 03.10,22 00 10.83
16 24 03.83,21 59 41.33
16 23 57.73,22 00 22.63
16 24 01.84,22 00 40.38
16 23 58.43,21 58 57.53
16 23 58.05,22 00 51.20
16 24 01.94,21 59 44.55
16 23 60.00,22 00 10.19
16 24 00.36,21 58 59.04
16 23 58.18,21 59 45.56
16 24 03.76,21 59 44.14
16 24 03.90,22 00 05.79
16 23 57.90,22 00 36.03
16 24 01.27,21 59 09.59
16 24 00.64,21 58 45.29
16 24 01.03,22 00 32.03
16 23 59.50,22 00 47.13
16 23 58.42,21 59 15.99
16 24 01.52,21 59 23.60
16 24 02.31,22 00 57.37
16 23 59.61,22 00 14.26
16 24 03.79,21 59 47.54
16 24 03.83,22 00 29.31
16 24 03.43,22 00 11.66
16 24 00.41,21 59 07.06
16 24 02.53,22 00 56.13
16 24 04.68,21 59 53.18
16 24 04.29,21 59 47.48
16 24 02.07,22 00 40.17
16 23 55.68,22 00 02.05
16 23 59.23,22 00 25.22
16 23 58.31,21 59 13.83
16 24 03.40,22 00 29.20
16 24 02.08,22 01 03.20
16 24 02.04,22 00 52.20
16 24 02.41,21 59 38.87
16 23 56.14,21 59 54.27
16 23 55.71,22 00 06.84
16 23 59.71,22 00 59.61
16 23 56.48,21 59 19.38
16 24 01.37,21 59 22.01
16 24 00.17,22 00 47.05
16 24 02.72,21 59 58.23
16 24 01.25,22 00 28.12
16 23 57.31,22 00 05.84
16 24 04.68,21 59 55.28
16 23 59.25,21 59 37.61
16 23 59.12,22 00 08.35
16 23 59.26,22 01 12.97
16 24 01.35,22 00 05.44
16 24 00.71,22 00 42.09
16 24 03.79,22 00 24.47
16 23 58.98,22 00 49.15
16 23 58.70,22 01 07.47
16 24 00.69,21 58 53.65
16 23 59.74,21 59 03.43
16 23 59.72,21 59 23.87
16 24 04.94,21 59 51.55
16 23 57.30,21 59 02.95
16 24 00.20,21 59 27.00
16 23 57.30,21 59 18.64
16 23 58.20,22 00 34.64
16 24 03.14,22 00 29.97
16 23 58.66,22 00 21.70
16 24 03.24,22 00 16.41
16 24 00.80,22 00 00.53
16 24 00.16,22 01 05.56
16 24 01.37,22 00 29.24
16 24 01.11,21 58 56.80
16 24 03.18,22 00 57.14
16 23 58.85,21 59 47.15
16 24 03.55,21 59 41.27
16 24 00.73,21 59 26.20
16 23 58.24,22 00 34.09
16 23 58.28,21 59 47.27
16 23 56.88,22 00 25.93
16 23 59.45,21 59 36.24
16 23 58.61,21 59 54.80
16 23 59.83,22 00 15.51
16 23 59.50,21 58 59.06
16 23 55.08,22 00 22.43
16 23 57.67,21 59 16.86
16 24 02.53,22 00 13.91
16 24 01.03,21 59 01.92
16 24 03.47,21 59 20.88
16 23 56.23,22 00 50.10
16 23 58.22,21 59 03.24
16 24 04.08,21 59 57.04
16 23 55.61,22 00 38.61
16 23 58.36,21 59 56.30
16 24 04.36,21 59 49.45
16 23 58.20,21 59 37.56
16 24 00.55,21 59 52.54
16 24 01.33,21 59 48.12
16 24 00.65,22 00 32.46
16 24 00.32,22 00 40.07
16 23 58.80,21 58 52.75
16 23 59.79,21 59 25.18
16 24 01.24,22 00 22.19
16 23 58.73,21 59 59.06
16 23 58.90,22 01 01.67
16 23 56.54,21 59 37.52
16 24 01.04,22 00 53.38
16 24 01.28,22 00 18.72
16 24 03.50,22 00 40.19
16 24 00.06,22 00 35.58
16 24 00.38,22 00 49.85
16 23 59.16,22 00 43.42
16 24 02.94,21 59 20.71
16 23 58.80,21 59 17.55
16 24 02.93,21 59 50.32
16 23 57.20,21 59 56.02
16 23 56.11,21 59 21.01
16 23 59.98,21 59 31.20
16 23 57.47,22 00 30.19
16 23 59.86,22 01 13.42
16 23 57.87,21 58 55.04
16 24 04.20,21 59 10.08
16 24 00.51,21 59 22.07
16 24 04.45,21 59 44.95
16 24 02.22,21 59 28.47
16 23 56.60,22 00 16.48
16 23 56.39,22 00 17.24
16 23 59.75,22 00 36.58
16 24 03.51,22 00 05.67
16 23 59.28,21 59 22.88
16 24 03.96,21 59 42.10
16 24 01.48,21 59 20.35
16 24 02.26,21 59 55.66
16 23 56.84,22 00 00.90
16 24 00.63,21 58 51.37
16 23 58.48,22 00 41.93
16 24 00.85,22 00 05.21
16 23 57.81,22 00 25.53
16 23 57.21,21 59 27.69
16 23 57.93,22 00 23.88
16 23 58.43,21 59 00.27
16 24 01.25,21 59 07.18
16 24 00.07,21 59 16.75
16 23 58.68,21 59 45.31
16 23 57.79,22 00 33.17
16 24 02.09,21 59 49.67
16 23 56.18,21 59 25.02
16 24 01.22,21 59 58.61
16 23 59.24,21 59 50.65
16 23 56.95,22 00 43.52
16 24 02.92,22 00 34.85
16 23 58.45,21 59 47.87
16 23 55.63,21 59 54.20
16 23 59.56,22 01 08.38
16 24 00.55,22 00 38.96
16 23 55.53,21 59 42.54
16 24 01.70,22 00 47.98
16 24 01.36,21 59 08.24
16 24 01.24,22 00 52.00
16 23 55.48,21 59 23.96
16 24 01.14,21 59 05.87
16 23 58.08,22 00 43.57
16 24 04.95,22 00 12.30
16 24 04.82,21 59 55.22
16 23 56.27,22 00 05.25
16 24 02.01,21 59 51.15
16 23 58.69,21 59 07.19
16 24 01.02,21 59 34.11
16 23 57.01,22 00 13.13
16 24 01.38,21 59 07.34
16 24 03.12,21 59 59.69
16 24 04.81,22 00 35.78
16 24 01.07,22 00 23.09
16 24 04.93,21 59 59.19
16 24 02.66,22 00 37.84
16 23 58.96,21 59 55.31
16 24 01.30,21 58 56.06
16 23 58.22,21 59 40.11
16 23 56.04,22 00 07.09
16 24 00.01,21 59 57.77
16 23 56.30,22 00 51.01
16 24 02.29,21 59 31.82
16 24 01.94,22 00 56.51
16 23 56.64,21 59 56.05
16 24 00.67,22 01 05.44
16 24 02.42,21 59 37.04
16 24 00.08,22 00 59.75
16 23 56.17,21 59 54.74
16 24 04.60,21 59 51.61
16 24 00.13,21 59 15.16
16 24 02.12,22 00 03.94
16 23 57.32,21 59 58.25
16 24 01.97,22 00 27.31
16 24 01.26,21 59 48.29
16 23 58.85,22 00 17.98
16 23 58.24,21 59 44.67
16 23 58.83,22 00 42.75
16 24 03.69,21 59 30.37
16 24 04.31,22 00 19.20
16 24 00.12,22 00 58.21
16 23 58.80,21 59 49.03
16 24 02.67,22 01 06.34
16 24 00.33,21 59 50.04
16 24 00.33,22 01 00.92
16 23 59.05,21 59 16.75
16 23 56.58,22 00 40.07
16 24 03.51,22 00 41.59
16 24 04.06,21 59 24.40
16 24 04.07,22 00 15.92
16 24 00.65,21 58 56.63
16 23 58.91,21 59 48.86
16 23 57.54,22 00 02.49
16 23 58.20,22 00 52.49
16 23 56.06,22 00 01.87
16 23 57.44,21 59 35.37
16 24 02.46,21 59 48.82
16 24 03.58,21 59 10.65
16 24 01.82,22 01 01.68
16 23 59.76,21 59 16.86
16 23 57.56,22 00 02.63
16 24 02.94,21 58 57.94
16 23 55.59,22 00 01.82
16 23 58.24,22 00 13.29
16 24 00.73,22 00 40.21
16 23 58.73,22 00 14.20
16 24 02.80,22 00 22.44
16 23 59.60,21 59 27.92
16 23 59.07,22 00 33.50
16 24 01.25,21 59 34.02
16 24 00.67,21 59 37.41
16 23 57.00,21 59 39.22
16 24 00.15,21 59 30.04
16 24 00.37,22 00 41.07
16 24 00.64,21 59 13.11
16 24 03.02,21 59 53.39
16 23 55.89,22 00 26.84
16 24 03.15,21 59 23.30
16 24 01.00,21 58 53.79
16 23 57.61,22 00 53.84
16 24 01.78,22 00 22.81
16 23 58.62,22 00 56.25
16 24 02.25,21 59 22.11
16 23 57.04,21 59 42.40
16 24 02.98,21 59 05.46
16 23 59.22,21 59 19.91
16 24 00.75,21 59 08.90
16 24 04.23,21 59 45.08
16 23 58.99,22 00 23.56
16 24 02.57,22 00 25.27
16 24 03.20,21 59 55.11
16 23 57.98,22 01 07.67
16 23 58.59,21 59 45.02
16 23 59.15,21 59 03.23
16 23 55.78,22 00 05.83
16 23 57.15,21 59 56.06
16 24 02.20,21 59 01.81
16 23 57.20,22 00 43.01
16 24 04.01,22 00 13.63
16 23 59.42,22 00 01.61
16 24 03.09,21 59 42.81
16 24 01.21,22 00 08.11
16 23 55.83,21 59 47.44
16 23 58.79,21 59 27.80
16 23 59.44,21 59 41.81
16 24 04.58,22 00 22.47
16 24 01.32,22 00 20.23
16 24 04.89,21 59 33.78
16 24 02.42,21 59 09.90
16 24 01.97,21 59 52.80
16 24 01.28,21 59 02.94
16 23 59.85,22 00 59.13
16 24 00.54,22 00 19.19
16 24 00.92,21 59 16.51
16 24 02.02,21 59 32.22
16 24 03.96,21 59 49.46
16 24 00.58,21 59 38.08
16 24 03.79,22 00 29.92
16 23 57.75,21 59 43.31
16 24 00.43,21 59 35.68
16 24 01.22,22 00 48.02
16 23 55.13,21 59 51.43
16 23 59.21,22 00 22.94
16 24 01.87,22 00 01.98
16 24 00.14,21 59 50.54
16 24 03.00,22 00 08.41
16 24 01.04,22 00 14.28
16 23 55.62,21 59 26.16
16 24 03.60,22 00 14.25
16 24 01.30,22 00 12.28
16 24 01.56,21 59 15.32
16 24 00.61,21 59 54.69
16 24 00.55,21 59 47.58
16 24 00.62,22 00 29.25
16 23 58.29,21 59 18.05
16 24 02.26,22 00 34.16
16 23 59.02,21 59 36.22
16 23 56.20,22 00 11.72
16 23 59.88,21 59 25.01
16 24 00.97,22 00 01.71
