ra,dec
19 29 53.95,-67 59 23.23
19 30 02.03,-67 58 58.31
19 29 52.31,-68 00 45.55
19 30 07.84,-67 59 36.56
19 29 59.41,-68 00 51.38
19 29 57.25,-68 00 23.16
19 29 52.67,-68 00 39.75
19 29 53.28,-67 59 44.00
19 30 04.75,-67 59 54.96
19 29 59.07,-67 59 16.03
19 30 03.88,-68 00 07.65
19 29 57.93,-68 00 26.02
19 29 57.35,-67 59 13.44
19 30 07.42,-68 00 12.48
19 29 57.82,-67 59 25.35
19 29 53.06,-68 00 49.38
19 30 04.76,-67 59 25.99
19 29 53.05,-68 00 06.47
19 30 05.35,-68 00 10.14
19 29 54.95,-67 59 03.71
19 30 09.82,-67 59 52.42
19 30 01.07,-68 00 39.82
19 30 01.38,-67 59 06.78
19 29 55.52,-67 59 52.17
19 29 52.13,-68 00 49.04
19 29 58.95,-68 00 50.76
19 30 04.57,-68 00 15.05
19 30 08.33,-68 00 03.80
19 30 00.04,-67 59 44.65
19 30 01.77,-68 00 19.93
19 29 59.96,-68 00 39.73
19 30 01.54,-68 00 24.53
19 29 52.04,-68 00 50.31
19 30 04.91,-67 59 15.40
19 30 00.42,-68 00 42.19
19 30 02.52,-68 00 35.48
19 30 00.08,-68 00 19.40
19 29 56.07,-68 00 26.47
19 29 54.14,-67 59 19.63
19 29 50.14,-68 00 26.12
19 29 55.83,-67 59 56.59
19 30 06.31,-68 00 34.97
19 30 01.38,-68 00 01.07
19 29 49.52,-67 59 48.17
19 29 52.51,-68 00 07.80
19 30 07.66,-68 00 34.24
19 30 05.87,-68 00 37.93
19 30 05.86,-67 59 50.03
19 30 05.85,-67 59 54.59
19 30 05.05,-67 59 54.46
19 29 59.75,-68 00 55.78
19 29 59.32,-67 59 37.28
19 29 50.94,-67 59 58.17
19 29 54.14,-67 59 35.95
19 29 52.15,-67 59 32.52
19 29 56.29,-68 00 14.03
19 29 57.26,-67 59 40.54
19 30 02.82,-68 00 03.40
19 30 00.09,-68 00 36.80
19 29 55.67,-68 00 26.06
19 29 58.43,-67 59 30.12
19 30 02.82,-67 59 26.60
19 29 57.23,-67 59 30.06
19 29 51.10,-67 59 35.12
19 29 59.16,-68 00 32.44
19 30 04.70,-68 00 01.48
19 29 49.93,-67 59 28.11
19 29 58.39,-68 00 52.84
19 29 53.17,-67 59 50.10
19 29 57.90,-67 59 07.47
19 29 48.94,-67 59 55.65
19 29 54.34,-67 59 02.66
19 29 53.80,-67 59 13.31
19 29 52.86,-67 59 16.34
19 29 56.97,-67 59 52.51
19 29 49.41,-67 59 46.10
19 30 09.55,-67 59 58.17
19 29 56.92,-68 01 00.67
19 30 11.56,-68 00 03.09
19 30 04.10,-67 59 53.37
19 30 00.84,-68 00 42.56
19 29 59.56,-67 59 49.18
19 29 53.82,-68 00 00.20
19 29 56.19,-68 00 39.87
19 30 07.71,-67 59 09.69
19 30 04.31,-67 59 53.06
19 29 49.73,-68 00 25.14
19 30 01.39,-68 00 16.80
19 29 51.70,-67 59 36.95
19 30 05.12,-67 59 24.93
19 29 56.33,-68 00 45.90
19 30 08.05,-68 00 19.48
19 30 11.08,-67 59 46.20
19 30 01.82,-68 00 29.64
19 29 59.79,-67 59 54.92
