ra,dec
06 35 03.24 ,-55 56 42.82 
06 35 08.20 ,-55 56 51.00 
06 35 09.30 ,-55 56 38.77 
06 35 09.87 ,-55 56 34.51 
06 35 05.35 ,-55 57 19.17 
06 35 06.23 ,-55 57 19.12 
06 35 04.05 ,-55 57 22.50 
06 35 02.78 ,-55 56 34.01 
06 35 04.48 ,-55 56 42.34 
06 35 08.67 ,-55 56 41.14 
06 35 05.78 ,-55 57 05.97 
06 35 04.52 ,-55 56 08.84 
06 35 04.82 ,-55 57 13.16 
06 35 08.46 ,-55 56 19.24 
06 35 07.59 ,-55 56 51.75 
06 35 04.21 ,-55 56 36.43 
06 35 07.64 ,-55 56 41.01 
06 35 04.70 ,-55 57 01.28 
06 35 05.23 ,-55 56 28.40 
06 35 05.29 ,-55 56 19.33 
06 35 05.02 ,-55 56 20.64 
06 35 10.77 ,-55 56 51.46 
06 35 06.49 ,-55 56 34.84 
06 35 05.08 ,-55 56 42.12 
06 35 05.93 ,-55 56 55.71 
06 35 06.46 ,-55 56 30.53 
06 35 05.34 ,-55 56 24.12 
06 35 03.94 ,-55 56 31.72 
06 35 07.09 ,-55 57 24.08 
06 35 08.11 ,-55 56 25.67 
06 35 06.15 ,-55 56 13.92 
06 35 07.18 ,-55 56 37.45 
06 35 02.81 ,-55 56 44.56 
06 35 06.35 ,-55 56 20.15 
06 35 04.11 ,-55 57 10.44 
06 35 08.97 ,-55 57 10.29 
06 35 08.69 ,-55 56 39.89 
06 35 08.62 ,-55 56 35.87 
06 35 04.24 ,-55 56 32.48 
06 35 05.23 ,-55 56 26.85 
06 35 04.78 ,-55 56 42.03 
06 35 02.62 ,-55 56 33.49 
06 35 05.13 ,-55 56 32.88 
06 35 08.09 ,-55 56 43.54 
06 35 02.82 ,-55 57 11.70 
06 35 04.04 ,-55 56 42.38 
06 35 05.92 ,-55 57 05.22 
06 35 04.90 ,-55 56 24.21 
06 35 05.90 ,-55 57 00.80 
06 35 03.10 ,-55 56 43.97 
06 35 04.03 ,-55 57 02.51 
06 35 10.60 ,-55 56 46.13 
06 35 06.31 ,-55 56 56.93 
06 35 10.70 ,-55 56 34.71 
06 35 03.99 ,-55 56 53.93 
06 35 07.64 ,-55 57 13.89 
06 35 05.04 ,-55 56 37.51 
06 35 07.14 ,-55 56 43.67 
06 35 10.97 ,-55 56 40.24 
06 35 04.08 ,-55 56 20.70 
06 35 09.42 ,-55 56 56.81 
06 35 04.02 ,-55 57 13.46 
06 35 06.34 ,-55 57 01.29 
06 35 04.57 ,-55 56 26.30 
06 35 08.29 ,-55 56 46.07 
06 35 08.36 ,-55 56 18.27 
06 35 06.14 ,-55 56 55.39 
06 35 06.54 ,-55 57 02.70 
06 35 04.44 ,-55 56 12.49 
06 35 01.99 ,-55 56 39.14 
06 35 03.40 ,-55 57 02.62 
06 35 03.77 ,-55 57 09.54 
06 35 04.55 ,-55 56 17.58 
06 35 09.58 ,-55 56 40.85 
06 35 04.53 ,-55 56 52.37 
06 35 05.95 ,-55 56 17.11 
06 35 06.07 ,-55 57 00.75 
06 35 03.66 ,-55 56 49.23 
06 35 05.72 ,-55 56 38.28 
06 35 05.98 ,-55 56 55.40 
06 35 03.47 ,-55 56 44.79 
06 35 03.58 ,-55 56 28.76 
06 35 06.90 ,-55 57 14.74 
06 35 05.27 ,-55 56 31.64 
06 35 06.94 ,-55 56 15.44 
06 35 03.84 ,-55 56 41.00 
