ra,dec
16 35 28.63 ,66 13 01.44 
16 35 34.25 ,66 13 10.90 
16 35 36.72 ,66 12 54.97 
16 35 35.00 ,66 13 02.28 
16 35 32.10 ,66 13 17.94 
16 35 26.85 ,66 13 01.48 
16 35 26.40 ,66 13 16.52 
16 35 29.97 ,66 12 46.42 
16 35 36.10 ,66 12 53.83 
16 35 35.10 ,66 12 53.85 
16 35 35.58 ,66 13 21.52 
16 35 37.66 ,66 13 02.22 
16 35 32.13 ,66 12 35.73 
16 35 28.33 ,66 12 26.85 
16 35 35.00 ,66 13 10.12 
16 35 37.23 ,66 12 57.31 
16 35 32.97 ,66 13 19.71 
16 35 33.68 ,66 12 34.05 
16 35 31.26 ,66 12 28.83 
16 35 34.55 ,66 12 44.00 
16 35 35.17 ,66 13 22.72 
16 35 35.02 ,66 13 00.17 
16 35 31.95 ,66 12 50.22 
16 35 30.86 ,66 12 54.64 
16 35 27.39 ,66 12 46.39 
16 35 31.40 ,66 13 15.49 
16 35 34.90 ,66 13 26.57 
16 35 33.11 ,66 13 09.61 
16 35 33.67 ,66 12 43.93 
16 35 29.45 ,66 12 44.59 
16 35 33.30 ,66 12 37.74 
16 35 35.19 ,66 12 59.64 
16 35 26.99 ,66 12 55.26 
16 35 36.68 ,66 12 46.44 
16 35 36.37 ,66 13 02.43 
16 35 25.46 ,66 13 11.29 
16 35 30.99 ,66 13 22.20 
16 35 28.88 ,66 13 18.98 
16 35 27.63 ,66 13 04.94 
16 35 29.04 ,66 13 06.54 
16 35 37.38 ,66 12 54.12 
16 35 29.13 ,66 13 19.84 
16 35 28.94 ,66 12 41.50 
16 35 26.94 ,66 12 46.27 
16 35 29.76 ,66 13 10.60 
16 35 34.46 ,66 13 05.58 
16 35 31.56 ,66 12 32.07 
16 35 32.09 ,66 13 12.71 
16 35 29.04 ,66 13 07.54 
16 35 28.48 ,66 12 49.60 
16 35 30.49 ,66 12 30.03 
16 35 29.88 ,66 12 59.78 
16 35 31.88 ,66 13 32.04 
