ra,dec
00 26 36.30 ,17 08 45.15 
00 26 34.88 ,17 09 32.51 
00 26 37.03 ,17 09 06.52 
00 26 35.19 ,17 09 21.37 
00 26 32.91 ,17 08 52.96 
00 26 35.09 ,17 09 00.92 
00 26 35.20 ,17 08 44.41 
00 26 33.37 ,17 09 17.56 
00 26 37.16 ,17 09 23.09 
00 26 37.45 ,17 09 00.50 
00 26 34.57 ,17 09 31.23 
00 26 36.33 ,17 09 01.78 
00 26 35.90 ,17 09 09.38 
00 26 35.29 ,17 09 10.36 
00 26 35.95 ,17 09 30.48 
00 26 34.74 ,17 09 08.15 
00 26 34.94 ,17 09 12.75 
00 26 34.14 ,17 08 25.19 
00 26 36.80 ,17 08 42.04 
00 26 35.59 ,17 09 16.84 
00 26 35.47 ,17 09 22.58 
00 26 33.90 ,17 08 53.37 
00 26 36.03 ,17 09 09.90 
00 26 34.46 ,17 08 46.42 
00 26 37.17 ,17 08 45.36 
00 26 34.30 ,17 09 22.84 
00 26 33.99 ,17 08 40.90 
00 26 34.15 ,17 08 53.73 
00 26 35.56 ,17 08 58.78 
00 26 34.12 ,17 09 01.15 
00 26 33.97 ,17 08 37.78 
00 26 34.53 ,17 09 11.31 
00 26 37.43 ,17 09 10.42 
00 26 33.87 ,17 09 26.07 
00 26 34.18 ,17 08 41.90 
00 26 34.83 ,17 09 07.85 
00 26 34.36 ,17 08 52.30 
00 26 36.00 ,17 09 03.90 
00 26 37.14 ,17 09 18.80 
00 26 33.54 ,17 09 30.79 
00 26 32.28 ,17 09 06.85 
00 26 35.82 ,17 09 26.55 
00 26 36.83 ,17 09 16.65 
00 26 34.15 ,17 09 41.35 
00 26 34.75 ,17 09 27.55 
00 26 33.81 ,17 09 26.08 
00 26 32.77 ,17 08 53.42 
00 26 36.26 ,17 09 09.82 
00 26 35.98 ,17 09 22.65 
00 26 32.74 ,17 09 19.13 
00 26 33.32 ,17 08 52.77 
00 26 34.72 ,17 09 07.30 
00 26 34.08 ,17 09 24.82 
00 26 34.57 ,17 09 12.20 
00 26 32.84 ,17 09 13.94 
00 26 35.30 ,17 09 00.66 
00 26 35.55 ,17 09 23.99 
00 26 35.07 ,17 09 08.77 
00 26 34.51 ,17 08 58.30 
00 26 36.27 ,17 08 45.57 
00 26 36.54 ,17 09 30.51 
00 26 32.74 ,17 09 24.06 
00 26 32.58 ,17 09 13.12 
00 26 37.16 ,17 09 17.07 
00 26 35.29 ,17 09 35.26 
00 26 35.10 ,17 09 08.91 
00 26 34.41 ,17 09 37.58 
00 26 34.07 ,17 09 21.51 
00 26 36.53 ,17 08 37.41 
00 26 35.04 ,17 08 47.78 
00 26 35.82 ,17 08 31.05 
00 26 36.37 ,17 09 28.53 
00 26 33.03 ,17 08 47.96 
00 26 36.49 ,17 09 12.63 
00 26 36.72 ,17 09 17.89 
00 26 36.80 ,17 08 44.37 
00 26 36.85 ,17 09 25.58 
00 26 34.38 ,17 09 00.25 
00 26 33.21 ,17 09 28.27 
00 26 35.15 ,17 09 29.71 
00 26 34.83 ,17 09 02.83 
00 26 35.75 ,17 08 37.19 
00 26 33.12 ,17 09 11.77 
00 26 35.64 ,17 09 35.25 
00 26 33.32 ,17 09 23.95 
00 26 32.66 ,17 09 09.71 
00 26 34.11 ,17 09 28.79 
00 26 32.94 ,17 09 28.05 
00 26 34.54 ,17 09 01.48 
00 26 34.04 ,17 08 45.44 
00 26 34.67 ,17 08 47.10 
00 26 34.11 ,17 08 37.59 
00 26 32.99 ,17 09 12.90 
00 26 35.10 ,17 09 41.92 
00 26 34.68 ,17 08 29.16 
00 26 35.45 ,17 09 08.34 
00 26 34.32 ,17 09 01.63 
00 26 34.30 ,17 08 59.96 
00 26 34.39 ,17 08 37.32 
00 26 36.73 ,17 09 11.60 
00 26 35.57 ,17 08 29.13 
00 26 35.06 ,17 09 32.41 
00 26 36.50 ,17 08 32.87 
00 26 32.95 ,17 09 19.21 
00 26 34.97 ,17 08 38.74 
00 26 32.66 ,17 09 18.65 
00 26 33.44 ,17 09 10.88 
00 26 34.31 ,17 09 31.67 
00 26 34.59 ,17 09 24.92 
00 26 35.31 ,17 09 26.45 
00 26 34.33 ,17 09 30.04 
00 26 35.95 ,17 09 31.12 
00 26 35.05 ,17 08 46.10 
00 26 34.69 ,17 09 10.49 
00 26 36.38 ,17 08 51.09 
00 26 35.87 ,17 09 26.29 
00 26 33.52 ,17 09 09.14 
00 26 35.94 ,17 09 35.95 
00 26 34.79 ,17 09 21.65 
00 26 34.51 ,17 08 56.64 
00 26 35.78 ,17 08 58.78 
00 26 33.79 ,17 09 13.96 
00 26 35.83 ,17 09 09.74 
00 26 34.04 ,17 09 10.29 
00 26 35.88 ,17 09 13.22 
