ra,dec
13 47 28.96 ,-11 45 16.18 
13 47 29.49 ,-11 45 13.04 
13 47 29.90 ,-11 45 24.11 
13 47 26.48 ,-11 45 35.06 
13 47 27.01 ,-11 45 35.39 
13 47 29.42 ,-11 45 39.16 
13 47 28.67 ,-11 45 31.95 
13 47 25.85 ,-11 45 14.41 
13 47 28.06 ,-11 45 03.67 
13 47 26.71 ,-11 44 58.94 
13 47 26.43 ,-11 45 29.65 
13 47 26.33 ,-11 45 14.04 
13 47 27.65 ,-11 45 41.23 
13 47 28.00 ,-11 44 35.01 
13 47 25.49 ,-11 45 28.73 
13 47 26.95 ,-11 44 45.82 
13 47 26.55 ,-11 44 56.94 
13 47 25.11 ,-11 45 11.20 
13 47 28.60 ,-11 45 48.25 
13 47 27.50 ,-11 44 57.92 
13 47 25.43 ,-11 45 18.03 
13 47 28.90 ,-11 44 50.22 
13 47 26.69 ,-11 45 03.17 
13 47 27.05 ,-11 45 40.01 
13 47 29.91 ,-11 44 48.14 
13 47 27.93 ,-11 45 34.11 
13 47 29.18 ,-11 44 49.47 
13 47 25.37 ,-11 45 31.33 
13 47 25.64 ,-11 45 05.10 
13 47 28.35 ,-11 44 35.06 
13 47 27.49 ,-11 45 37.30 
13 47 29.78 ,-11 44 53.61 
13 47 27.64 ,-11 44 43.02 
13 47 26.19 ,-11 44 54.12 
13 47 28.22 ,-11 44 55.28 
13 47 27.52 ,-11 44 42.98 
13 47 25.16 ,-11 45 09.11 
13 47 26.72 ,-11 45 18.02 
13 47 28.97 ,-11 44 39.73 
13 47 26.50 ,-11 45 01.21 
13 47 27.79 ,-11 45 04.23 
13 47 26.13 ,-11 44 42.59 
13 47 28.33 ,-11 45 25.32 
13 47 29.35 ,-11 45 28.24 
13 47 27.36 ,-11 45 16.47 
13 47 25.96 ,-11 44 51.63 
13 47 25.16 ,-11 45 02.35 
13 47 28.77 ,-11 45 15.13 
13 47 27.49 ,-11 45 32.49 
13 47 27.23 ,-11 45 34.54 
13 47 27.13 ,-11 45 10.25 
13 47 25.28 ,-11 44 57.79 
13 47 27.04 ,-11 44 58.53 
13 47 27.14 ,-11 45 20.65 
