ra,dec
03 19 43.50 ,41 31 14.36 
03 19 43.28 ,41 31 02.35 
03 19 42.58 ,41 30 45.91 
03 19 44.22 ,41 30 36.46 
03 19 46.07 ,41 30 39.95 
03 19 45.43 ,41 31 02.84 
03 19 45.04 ,41 30 50.21 
03 19 45.61 ,41 30 55.88 
03 19 46.31 ,41 30 31.97 
03 19 43.90 ,41 30 16.57 
03 19 47.07 ,41 30 36.49 
03 19 41.95 ,41 30 18.54 
03 19 46.69 ,41 30 29.76 
03 19 42.26 ,41 31 04.34 
03 19 44.65 ,41 30 14.54 
03 19 43.10 ,41 31 05.74 
03 19 47.32 ,41 30 53.32 
03 19 45.01 ,41 31 19.11 
03 19 43.18 ,41 30 46.77 
03 19 41.56 ,41 30 51.20 
03 19 45.77 ,41 31 00.26 
03 19 47.15 ,41 30 45.54 
03 19 45.37 ,41 30 34.41 
03 19 41.21 ,41 30 54.67 
03 19 47.08 ,41 30 32.37 
03 19 44.79 ,41 31 04.37 
03 19 44.00 ,41 30 37.80 
03 19 41.87 ,41 30 49.06 
03 19 41.69 ,41 30 25.90 
03 19 45.16 ,41 31 07.13 
03 19 44.70 ,41 30 55.41 
03 19 41.98 ,41 30 29.51 
03 19 41.44 ,41 30 30.52 
03 19 46.34 ,41 30 40.01 
03 19 43.45 ,41 30 27.01 
03 19 46.23 ,41 31 06.63 
03 19 43.07 ,41 30 09.66 
03 19 45.60 ,41 30 57.52 
03 19 42.98 ,41 30 13.24 
03 19 44.23 ,41 30 38.52 
03 19 46.86 ,41 30 18.10 
03 19 46.21 ,41 30 51.91 
03 19 45.96 ,41 31 13.02 
03 19 46.69 ,41 31 01.29 
03 19 46.32 ,41 30 20.41 
03 19 41.90 ,41 30 32.04 
03 19 45.01 ,41 31 21.58 
03 19 46.13 ,41 30 42.61 
03 19 43.40 ,41 30 52.87 
03 19 44.34 ,41 30 45.68 
03 19 46.35 ,41 30 51.49 
03 19 44.24 ,41 30 32.94 
03 19 46.91 ,41 30 55.86 
03 19 45.28 ,41 30 41.26 
03 19 45.90 ,41 30 18.03 
03 19 46.09 ,41 30 34.78 
03 19 42.19 ,41 30 40.64 
03 19 43.63 ,41 30 31.18 
03 19 46.89 ,41 31 05.40 
03 19 44.54 ,41 30 23.24 
03 19 47.75 ,41 30 40.05 
03 19 47.16 ,41 30 36.46 
03 19 43.04 ,41 30 46.99 
03 19 42.37 ,41 30 22.18 
03 19 42.46 ,41 30 37.97 
03 19 45.10 ,41 30 56.71 
03 19 42.68 ,41 31 03.62 
03 19 41.96 ,41 30 20.48 
03 19 44.28 ,41 30 29.83 
03 19 41.26 ,41 30 47.64 
03 19 43.90 ,41 31 14.45 
03 19 45.78 ,41 31 18.63 
03 19 46.29 ,41 31 12.05 
03 19 42.01 ,41 30 36.86 
03 19 45.47 ,41 30 33.12 
03 19 44.39 ,41 30 38.22 
03 19 42.62 ,41 30 21.01 
03 19 44.95 ,41 30 35.58 
03 19 46.30 ,41 30 19.94 
03 19 47.13 ,41 30 28.26 
03 19 45.34 ,41 31 06.14 
03 19 43.11 ,41 31 00.18 
03 19 41.39 ,41 30 44.68 
03 19 43.38 ,41 30 35.61 
03 19 42.94 ,41 31 08.02 
03 19 44.91 ,41 31 01.46 
03 19 46.44 ,41 30 10.79 
03 19 43.34 ,41 30 48.28 
03 19 45.41 ,41 30 44.71 
03 19 44.77 ,41 30 44.05 
03 19 44.34 ,41 30 12.28 
03 19 42.64 ,41 30 24.41 
03 19 42.72 ,41 30 30.44 
03 19 46.97 ,41 31 02.18 
03 19 47.31 ,41 31 01.58 
03 19 42.44 ,41 30 15.86 
03 19 44.82 ,41 30 53.83 
03 19 43.94 ,41 30 58.95 
03 19 44.66 ,41 30 57.35 
03 19 46.07 ,41 30 45.89 
03 19 41.58 ,41 30 54.34 
03 19 44.62 ,41 30 19.21 
03 19 42.75 ,41 30 32.69 
03 19 45.72 ,41 30 14.60 
03 19 45.32 ,41 30 13.54 
03 19 43.10 ,41 30 45.33 
03 19 43.87 ,41 30 24.44 
03 19 44.09 ,41 31 14.41 
03 19 42.29 ,41 30 26.66 
03 19 42.74 ,41 30 19.63 
03 19 43.02 ,41 30 37.36 
03 19 45.66 ,41 30 39.96 
03 19 45.08 ,41 30 36.47 
03 19 46.54 ,41 31 05.11 
03 19 42.91 ,41 31 08.54 
03 19 44.08 ,41 30 24.25 
03 19 43.28 ,41 30 16.06 
03 19 45.75 ,41 30 59.38 
03 19 41.38 ,41 30 28.04 
03 19 45.79 ,41 31 08.32 
03 19 43.01 ,41 30 44.99 
03 19 45.05 ,41 30 16.03 
03 19 44.89 ,41 30 30.28 
03 19 45.96 ,41 30 36.85 
03 19 47.33 ,41 30 23.49 
03 19 45.43 ,41 31 08.17 
03 19 44.16 ,41 30 23.63 
03 19 42.25 ,41 31 08.10 
03 19 42.88 ,41 30 25.11 
03 19 45.55 ,41 30 49.95 
03 19 44.49 ,41 31 12.74 
03 19 41.71 ,41 30 57.29 
03 19 41.58 ,41 30 57.62 
03 19 42.63 ,41 30 46.86 
03 19 43.25 ,41 30 54.62 
03 19 45.15 ,41 30 52.44 
03 19 42.70 ,41 30 43.07 
03 19 45.16 ,41 31 00.71 
03 19 41.31 ,41 30 25.43 
03 19 44.70 ,41 30 37.66 
03 19 42.97 ,41 30 38.67 
03 19 46.34 ,41 30 12.27 
03 19 45.12 ,41 30 25.60 
03 19 46.82 ,41 30 34.73 
03 19 45.83 ,41 30 26.53 
03 19 46.05 ,41 31 02.40 
03 19 46.49 ,41 30 13.21 
03 19 43.96 ,41 31 01.60 
03 19 42.95 ,41 30 08.46 
03 19 47.07 ,41 31 01.91 
03 19 46.63 ,41 30 39.43 
03 19 46.49 ,41 30 54.48 
03 19 43.55 ,41 30 29.89 
03 19 46.75 ,41 30 38.42 
03 19 43.50 ,41 31 03.69 
03 19 45.93 ,41 30 43.66 
03 19 43.90 ,41 30 35.63 
03 19 43.12 ,41 30 27.74 
03 19 43.97 ,41 30 06.67 
03 19 42.38 ,41 31 09.22 
03 19 43.67 ,41 30 15.36 
03 19 45.53 ,41 30 52.51 
03 19 44.49 ,41 30 47.64 
03 19 41.01 ,41 30 32.78 
03 19 46.78 ,41 30 38.26 
03 19 44.30 ,41 30 20.17 
03 19 46.82 ,41 30 31.82 
03 19 43.97 ,41 30 49.22 
03 19 45.54 ,41 30 26.17 
03 19 44.06 ,41 30 25.28 
03 19 42.35 ,41 30 48.70 
03 19 44.47 ,41 30 38.59 
03 19 43.34 ,41 30 44.70 
03 19 45.55 ,41 31 17.73 
03 19 44.66 ,41 30 14.54 
03 19 44.57 ,41 30 52.10 
03 19 46.68 ,41 30 51.40 
03 19 42.15 ,41 30 58.81 
03 19 47.14 ,41 30 50.81 
03 19 43.66 ,41 30 14.94 
03 19 43.92 ,41 30 19.69 
03 19 45.12 ,41 30 21.41 
