ra,dec
12 59 48.18 ,27 58 27.37 
12 59 49.64 ,27 58 32.17 
12 59 50.54 ,27 58 52.96 
12 59 51.20 ,27 59 14.52 
12 59 48.29 ,27 58 47.69 
12 59 47.07 ,27 58 41.18 
12 59 48.03 ,27 58 49.60 
12 59 48.34 ,27 58 12.96 
12 59 49.79 ,27 59 12.24 
12 59 49.63 ,27 58 46.25 
12 59 48.59 ,27 59 08.79 
12 59 47.29 ,27 59 07.70 
12 59 50.26 ,27 58 30.65 
12 59 47.62 ,27 58 57.60 
12 59 47.84 ,27 58 38.89 
12 59 50.89 ,27 58 31.39 
12 59 50.22 ,27 58 58.15 
12 59 50.66 ,27 58 36.30 
12 59 48.23 ,27 58 51.20 
12 59 50.70 ,27 58 51.82 
12 59 48.02 ,27 58 40.78 
12 59 47.10 ,27 58 51.76 
12 59 47.60 ,27 58 30.90 
12 59 48.03 ,27 58 32.70 
12 59 49.21 ,27 59 10.98 
12 59 48.48 ,27 58 26.70 
12 59 50.38 ,27 59 04.34 
12 59 49.49 ,27 59 21.90 
12 59 48.88 ,27 58 28.61 
12 59 48.00 ,27 59 06.14 
12 59 48.49 ,27 59 15.96 
12 59 48.09 ,27 58 35.04 
12 59 49.05 ,27 58 50.50 
12 59 49.68 ,27 59 19.29 
12 59 49.80 ,27 58 11.95 
12 59 47.30 ,27 59 11.32 
12 59 49.34 ,27 58 47.54 
12 59 49.56 ,27 59 30.62 
12 59 48.71 ,27 59 00.75 
12 59 48.91 ,27 58 48.01 
12 59 47.01 ,27 59 08.54 
12 59 48.64 ,27 59 20.10 
12 59 49.06 ,27 58 29.97 
12 59 49.85 ,27 58 31.06 
12 59 48.69 ,27 58 57.48 
12 59 50.56 ,27 58 53.09 
12 59 49.94 ,27 58 34.26 
12 59 48.02 ,27 58 50.96 
12 59 49.17 ,27 58 21.72 
12 59 48.25 ,27 58 43.34 
12 59 49.35 ,27 59 13.18 
12 59 51.26 ,27 59 21.04 
12 59 49.26 ,27 58 26.57 
12 59 48.87 ,27 59 17.90 
12 59 50.55 ,27 59 11.69 
12 59 49.06 ,27 58 47.15 
12 59 50.83 ,27 58 40.41 
12 59 52.20 ,27 58 52.47 
12 59 50.09 ,27 58 56.64 
12 59 50.60 ,27 58 38.77 
12 59 48.15 ,27 58 56.25 
12 59 51.18 ,27 58 48.36 
12 59 46.93 ,27 58 44.37 
12 59 50.88 ,27 58 34.47 
12 59 47.49 ,27 58 49.58 
12 59 50.65 ,27 58 48.13 
12 59 50.23 ,27 58 35.57 
12 59 47.13 ,27 58 34.23 
12 59 50.55 ,27 58 42.26 
12 59 48.26 ,27 59 19.38 
12 59 46.95 ,27 58 39.10 
12 59 50.98 ,27 58 56.58 
12 59 49.10 ,27 58 43.46 
12 59 47.13 ,27 59 20.13 
12 59 51.05 ,27 58 47.32 
12 59 49.69 ,27 59 26.41 
12 59 50.56 ,27 58 40.64 
12 59 47.40 ,27 58 56.94 
12 59 49.98 ,27 59 10.80 
12 59 48.76 ,27 58 57.90 
12 59 48.46 ,27 58 29.20 
12 59 50.25 ,27 58 46.83 
12 59 51.31 ,27 58 54.74 
12 59 49.20 ,27 58 19.21 
12 59 50.06 ,27 58 28.74 
12 59 47.78 ,27 58 54.45 
12 59 48.97 ,27 59 10.73 
12 59 51.17 ,27 59 14.19 
12 59 49.14 ,27 58 56.94 
12 59 47.83 ,27 58 54.20 
12 59 49.29 ,27 58 49.67 
12 59 48.79 ,27 58 13.05 
12 59 51.40 ,27 58 46.53 
