ra,dec
13 11 36.62 ,-01 20 02.19 
13 11 35.34 ,-01 19 54.99 
13 11 34.59 ,-01 19 49.98 
13 11 35.70 ,-01 20 05.46 
13 11 32.97 ,-01 19 59.88 
13 11 36.85 ,-01 20 14.93 
13 11 35.32 ,-01 19 30.03 
13 11 32.85 ,-01 20 24.74 
13 11 34.47 ,-01 19 34.15 
13 11 33.79 ,-01 19 43.19 
13 11 35.45 ,-01 20 23.04 
13 11 36.63 ,-01 19 58.92 
13 11 34.86 ,-01 19 27.58 
13 11 32.34 ,-01 20 15.33 
13 11 33.78 ,-01 20 18.93 
13 11 35.29 ,-01 20 33.43 
13 11 34.92 ,-01 20 22.93 
13 11 34.05 ,-01 19 52.76 
13 11 33.24 ,-01 20 16.51 
13 11 32.88 ,-01 19 51.90 
13 11 33.27 ,-01 19 51.33 
13 11 34.23 ,-01 19 42.33 
13 11 34.60 ,-01 20 04.38 
13 11 34.52 ,-01 19 37.38 
13 11 33.32 ,-01 19 57.19 
13 11 35.82 ,-01 20 29.60 
13 11 36.08 ,-01 20 05.51 
13 11 34.80 ,-01 20 39.90 
13 11 36.54 ,-01 19 43.49 
13 11 33.65 ,-01 19 48.49 
13 11 33.83 ,-01 20 02.65 
13 11 34.14 ,-01 20 36.08 
13 11 36.51 ,-01 20 17.38 
13 11 33.45 ,-01 19 38.28 
13 11 33.23 ,-01 20 13.99 
13 11 34.76 ,-01 19 42.86 
13 11 34.86 ,-01 19 59.13 
13 11 33.92 ,-01 19 43.59 
13 11 33.55 ,-01 20 22.15 
13 11 34.88 ,-01 20 08.30 
13 11 36.48 ,-01 19 55.05 
13 11 34.21 ,-01 20 14.98 
13 11 35.91 ,-01 19 31.84 
13 11 34.56 ,-01 19 49.85 
13 11 34.70 ,-01 20 09.52 
13 11 33.51 ,-01 19 42.38 
13 11 36.29 ,-01 19 57.00 
13 11 34.85 ,-01 20 03.29 
13 11 34.26 ,-01 19 39.06 
13 11 36.21 ,-01 20 05.96 
13 11 35.99 ,-01 19 55.11 
13 11 36.67 ,-01 19 55.64 
13 11 34.23 ,-01 19 59.40 
13 11 35.66 ,-01 20 08.95 
13 11 34.07 ,-01 19 38.75 
13 11 33.25 ,-01 20 04.00 
13 11 35.45 ,-01 20 22.22 
13 11 35.59 ,-01 20 35.53 
13 11 34.40 ,-01 19 57.30 
13 11 35.22 ,-01 20 15.44 
