ra,dec
20 59 00.22 ,44 04 57.71 
20 58 59.21 ,44 24 48.14 
20 58 04.58 ,44 11 41.49 
20 58 46.10 ,44 15 16.92 
21 00 13.36 ,44 22 48.96 
20 59 56.21 ,44 08 45.78 
20 58 41.92 ,44 26 23.37 
21 00 14.24 ,44 17 30.08 
21 00 09.87 ,44 26 57.17 
20 59 32.88 ,44 11 38.58 
20 59 07.35 ,44 23 29.87 
20 58 40.04 ,44 17 43.35 
20 59 28.20 ,44 10 29.83 
21 00 05.28 ,44 27 03.89 
20 59 51.11 ,44 24 09.33 
20 58 37.48 ,44 19 44.51 
20 58 48.06 ,44 17 41.94 
20 58 13.51 ,44 13 56.92 
20 59 15.78 ,44 12 43.92 
20 58 14.97 ,44 29 17.35 
20 59 23.77 ,44 17 58.89 
20 59 21.46 ,44 05 39.57 
20 58 42.30 ,44 19 34.55 
20 58 29.12 ,44 13 24.70 
20 57 57.59 ,44 22 36.90 
20 58 07.78 ,44 17 02.08 
20 59 10.35 ,44 11 48.14 
20 59 47.16 ,44 17 01.59 
20 58 18.61 ,44 18 30.74 
20 58 21.87 ,44 18 58.80 
20 58 11.99 ,44 29 53.85 
20 58 22.11 ,44 09 37.60 
20 58 21.79 ,44 30 09.58 
20 59 04.73 ,44 19 58.42 
20 59 28.29 ,44 29 44.85 
20 58 47.11 ,44 18 20.05 
20 59 48.83 ,44 17 46.01 
20 58 43.48 ,44 21 41.83 
20 58 08.26 ,44 23 02.07 
20 59 24.23 ,44 18 33.61 
20 59 20.03 ,44 31 32.35 
21 00 03.19 ,44 20 50.97 
20 59 35.18 ,44 28 47.84 
20 58 51.21 ,44 26 36.51 
20 59 25.91 ,44 05 15.00 
20 59 49.15 ,44 25 43.81 
20 59 54.10 ,44 24 44.71 
20 58 44.35 ,44 18 53.29 
20 59 15.82 ,44 20 26.89 
20 59 11.02 ,44 17 07.31 
20 59 21.77 ,44 29 43.85 
20 59 28.85 ,44 16 13.78 
20 58 49.84 ,44 13 43.77 
20 59 05.05 ,44 06 30.45 
20 59 50.18 ,44 08 27.65 
20 58 20.46 ,44 31 15.82 
20 58 30.83 ,44 27 23.62 
20 59 33.86 ,44 14 27.05 
20 58 30.14 ,44 13 52.30 
20 59 59.42 ,44 21 53.33 
20 58 15.74 ,44 08 06.70 
20 59 14.95 ,44 16 06.49 
21 00 09.26 ,44 22 26.90 
20 59 17.76 ,44 32 27.01 
20 59 31.01 ,44 19 57.18 
20 58 50.64 ,44 12 55.61 
20 59 57.99 ,44 27 27.63 
20 58 24.50 ,44 18 40.67 
20 59 10.14 ,44 08 51.75 
20 58 18.50 ,44 22 50.71 
20 58 28.09 ,44 24 20.67 
20 58 27.74 ,44 10 01.22 
20 59 14.64 ,44 06 20.16 
20 57 49.51 ,44 18 45.46 
21 00 00.60 ,44 11 56.31 
21 00 04.99 ,44 22 57.57 
21 00 11.41 ,44 25 33.69 
20 59 12.82 ,44 17 58.46 
20 58 51.78 ,44 15 03.61 
20 59 34.81 ,44 32 21.36 
20 59 23.03 ,44 28 22.11 
20 59 42.31 ,44 10 31.20 
20 59 31.18 ,44 18 26.48 
20 58 56.04 ,44 04 30.77 
20 59 33.85 ,44 17 17.45 
20 58 17.79 ,44 12 47.90 
20 57 55.94 ,44 14 16.80 
20 58 47.79 ,44 19 43.35 
20 57 55.35 ,44 17 02.41 
20 59 34.90 ,44 11 08.49 
20 59 32.16 ,44 17 06.85 
21 00 01.93 ,44 18 29.33 
20 58 28.23 ,44 27 24.78 
20 58 49.87 ,44 06 19.82 
20 59 49.34 ,44 09 54.73 
20 59 26.41 ,44 25 28.39 
20 59 08.27 ,44 21 05.08 
20 58 35.87 ,44 22 01.96 
20 58 50.13 ,44 20 17.81 
20 57 59.57 ,44 17 19.53 
20 59 09.15 ,44 10 34.92 
21 00 24.60 ,44 14 43.41 
20 58 39.29 ,44 12 35.14 
20 59 12.33 ,44 19 21.07 
20 58 44.65 ,44 13 24.59 
21 00 03.65 ,44 10 40.79 
21 00 09.32 ,44 23 07.06 
20 59 11.96 ,44 31 32.41 
20 58 12.55 ,44 13 07.69 
20 58 35.69 ,44 15 22.40 
