ra,dec
06 32 13.67 ,04 54 52.23 
06 32 07.12 ,04 59 45.94 
06 32 07.18 ,05 01 52.49 
06 32 22.34 ,05 01 10.25 
06 32 31.92 ,04 55 17.30 
06 32 16.43 ,05 04 11.48 
06 32 23.55 ,04 57 26.05 
06 32 28.17 ,05 00 19.93 
06 32 18.40 ,05 02 24.55 
06 31 51.64 ,05 00 37.20 
06 32 17.42 ,05 05 23.34 
06 32 08.53 ,05 03 19.72 
06 32 34.09 ,05 01 51.61 
06 32 07.59 ,04 54 33.81 
06 31 59.72 ,05 03 16.12 
06 32 22.76 ,04 55 05.76 
06 32 04.53 ,04 57 04.44 
06 32 27.96 ,04 57 04.93 
06 32 05.91 ,04 56 18.81 
06 32 01.57 ,05 04 19.24 
06 32 16.15 ,04 54 29.15 
06 32 27.26 ,04 55 38.42 
06 32 19.15 ,05 02 06.07 
06 32 11.23 ,05 04 03.92 
06 32 15.85 ,05 00 01.83 
06 32 05.26 ,05 03 16.35 
06 32 13.62 ,05 01 37.56 
06 32 17.32 ,04 58 50.13 
06 32 34.07 ,05 04 23.81 
06 32 23.76 ,04 56 50.79 
06 32 34.03 ,05 02 56.78 
06 32 02.72 ,04 56 33.35 
06 32 18.78 ,04 58 08.43 
06 32 22.05 ,05 04 17.35 
06 32 29.18 ,05 02 56.90 
06 32 35.00 ,05 00 15.58 
06 32 41.20 ,04 58 14.72 
06 32 16.16 ,05 00 54.90 
06 32 02.00 ,04 57 22.06 
06 32 22.89 ,04 59 36.50 
06 32 20.50 ,05 02 39.17 
06 32 22.49 ,04 55 16.27 
06 32 25.65 ,04 56 26.74 
06 32 07.11 ,05 02 50.62 
06 32 31.46 ,05 00 09.90 
06 32 16.74 ,04 58 08.55 
06 32 25.19 ,05 05 14.90 
06 32 24.63 ,05 02 09.92 
06 32 32.78 ,05 01 00.24 
06 32 12.28 ,05 05 09.45 
06 32 08.95 ,04 55 17.46 
06 32 02.05 ,05 05 03.83 
06 32 02.82 ,04 55 56.88 
06 32 29.62 ,04 59 22.39 
06 32 07.38 ,05 02 34.69 
06 32 30.14 ,04 57 14.14 
06 32 36.95 ,05 01 00.89 
06 32 01.98 ,04 58 43.07 
06 32 25.31 ,05 00 50.58 
06 32 21.50 ,04 56 01.17 
06 32 14.59 ,04 59 40.48 
06 32 01.43 ,05 01 57.72 
06 32 21.16 ,05 01 21.70 
06 32 26.35 ,05 03 13.40 
06 32 12.65 ,05 04 26.52 
06 32 01.05 ,04 56 19.21 
06 32 16.03 ,05 01 05.59 
06 32 14.08 ,04 58 53.40 
06 32 20.54 ,04 59 02.41 
06 32 06.28 ,05 04 12.66 
06 32 04.56 ,05 02 56.72 
06 32 29.35 ,04 58 53.02 
06 32 10.44 ,05 00 54.36 
06 32 27.17 ,04 57 27.52 
06 32 28.58 ,05 00 18.68 
06 32 04.27 ,04 58 36.78 
06 32 20.21 ,05 03 10.44 
06 32 17.73 ,04 55 14.38 
06 32 29.73 ,05 00 05.49 
06 32 04.10 ,04 57 28.49 
06 32 15.60 ,04 58 24.77 
06 32 33.72 ,04 56 22.70 
06 32 34.63 ,05 02 27.15 
06 32 22.40 ,05 04 20.77 
06 32 16.32 ,05 04 16.46 
06 32 12.66 ,05 00 21.99 
06 32 35.07 ,05 01 16.06 
06 32 17.71 ,04 59 44.37 
06 31 58.14 ,04 57 22.83 
06 32 29.66 ,05 01 45.18 
06 32 34.34 ,04 56 10.37 
06 32 18.29 ,04 54 01.81 
06 32 00.86 ,04 57 52.85 
06 31 54.48 ,04 59 06.13 
06 31 51.75 ,05 01 29.36 
06 32 01.95 ,04 57 56.97 
06 32 00.35 ,04 56 34.61 
06 32 14.71 ,04 58 45.98 
06 32 02.16 ,05 01 47.31 
06 32 19.76 ,04 53 27.35 
06 32 08.37 ,04 58 57.09 
06 32 19.70 ,05 03 33.10 
06 32 23.55 ,04 55 53.32 
06 32 15.44 ,05 04 25.04 
06 32 33.46 ,04 59 22.36 
06 32 08.79 ,05 04 04.56 
06 32 09.03 ,05 03 06.34 
06 32 26.77 ,04 58 52.37 
06 31 59.34 ,05 03 05.96 
06 32 00.27 ,04 56 07.41 
06 32 04.64 ,04 58 29.65 
06 32 31.50 ,04 58 26.63 
06 32 23.74 ,05 04 10.48 
06 31 56.92 ,05 01 26.76 
06 32 16.78 ,04 57 03.31 
06 32 21.56 ,05 00 07.43 
06 32 21.81 ,05 03 51.38 
06 32 03.36 ,04 55 34.02 
06 32 10.74 ,04 54 18.07 
06 32 06.06 ,05 01 20.70 
06 32 12.67 ,04 58 42.62 
06 31 54.43 ,04 58 19.39 
06 31 57.52 ,05 00 00.93 
06 32 11.45 ,05 00 44.25 
06 32 14.85 ,05 04 50.91 
06 31 58.83 ,05 00 05.69 
06 32 26.90 ,04 58 23.19 
06 32 03.68 ,04 57 41.16 
06 32 33.14 ,04 57 45.03 
06 32 18.04 ,04 55 13.14 
06 31 56.18 ,05 00 10.96 
06 32 30.01 ,04 56 44.73 
06 32 11.32 ,05 02 08.69 
06 32 06.48 ,05 01 25.13 
06 32 30.60 ,04 56 06.13 
06 32 15.17 ,05 00 58.25 
06 32 07.90 ,04 56 50.76 
06 32 16.14 ,05 00 35.61 
06 32 15.62 ,04 58 15.01 
06 32 15.09 ,04 54 37.85 
06 32 33.75 ,04 59 30.13 
06 32 27.30 ,05 01 15.30 
06 32 16.66 ,04 56 40.99 
06 32 06.84 ,05 03 14.36 
06 32 02.76 ,05 02 09.19 
06 32 28.00 ,05 02 29.48 
06 32 09.24 ,05 01 33.68 
06 32 13.34 ,04 57 16.66 
06 32 26.37 ,05 03 00.56 
06 32 23.54 ,05 03 28.50 
06 32 21.24 ,04 55 29.07 
06 32 17.39 ,04 58 46.58 
06 32 19.34 ,04 57 56.54 
06 31 58.64 ,04 58 50.75 
06 32 20.52 ,04 58 22.74 
06 32 18.08 ,05 02 19.85 
06 32 38.41 ,04 58 00.06 
06 32 39.44 ,05 00 10.58 
06 32 08.66 ,05 04 48.25 
06 32 19.04 ,04 59 39.56 
06 32 34.18 ,05 01 48.83 
06 32 36.56 ,04 57 33.29 
06 32 09.55 ,04 58 16.38 
06 32 29.04 ,05 02 59.89 
06 32 12.17 ,04 57 41.73 
06 32 18.63 ,04 55 53.58 
06 32 15.99 ,05 01 58.59 
06 31 57.08 ,05 01 34.73 
06 32 08.40 ,05 01 55.58 
06 32 07.21 ,05 05 07.42 
06 32 24.20 ,05 02 41.48 
06 32 15.31 ,05 00 26.09 
06 32 11.56 ,04 58 23.13 
06 32 36.16 ,05 02 41.36 
06 32 15.38 ,05 04 23.31 
06 32 20.83 ,05 05 54.61 
06 32 05.92 ,04 56 05.59 
06 32 22.14 ,05 00 28.11 
06 32 32.24 ,05 00 33.40 
06 32 26.20 ,05 01 52.05 
06 32 02.13 ,04 59 37.22 
06 32 05.62 ,04 56 22.94 
06 32 24.78 ,05 03 11.45 
06 31 58.93 ,05 01 06.91 
06 32 02.06 ,04 59 26.19 
06 32 19.07 ,04 59 17.10 
06 32 08.98 ,04 58 36.31 
06 32 08.95 ,05 04 32.19 
06 32 14.68 ,05 00 09.24 
06 32 18.61 ,04 56 20.72 
06 32 05.10 ,05 00 17.06 
06 32 10.88 ,05 00 13.69 
06 32 28.21 ,04 59 59.80 
06 32 27.19 ,04 56 20.04 
06 32 14.13 ,05 04 22.63 
06 32 37.21 ,05 00 01.07 
06 32 24.58 ,04 57 31.16 
06 32 23.16 ,04 57 58.07 
06 32 09.47 ,04 56 38.78 
06 32 32.24 ,05 04 16.32 
06 32 23.67 ,04 55 52.70 
06 32 15.44 ,04 56 21.59 
06 32 01.28 ,04 59 49.69 
06 32 24.31 ,04 59 57.22 
06 32 25.78 ,05 01 49.65 
06 32 06.38 ,05 02 26.97 
06 32 08.65 ,04 58 39.22 
06 32 19.95 ,04 57 03.76 
06 32 36.08 ,05 00 14.72 
06 32 16.06 ,05 04 00.42 
06 32 11.61 ,05 03 41.11 
06 32 15.39 ,04 58 01.64 
06 31 59.70 ,04 59 47.44 
06 32 25.88 ,05 05 21.31 
06 32 09.95 ,05 03 09.11 
06 32 25.15 ,04 53 43.24 
06 32 35.32 ,04 59 48.46 
06 32 18.55 ,04 59 09.30 
06 32 24.20 ,05 04 03.73 
06 32 23.16 ,05 03 37.35 
06 32 17.26 ,04 55 14.44 
06 32 00.36 ,04 59 38.46 
06 32 19.61 ,05 05 34.92 
06 32 20.84 ,05 02 33.60 
06 32 17.03 ,05 02 49.53 
06 32 10.80 ,04 57 21.67 
06 32 16.01 ,05 01 28.04 
06 32 16.75 ,05 01 34.46 
06 31 51.68 ,04 59 36.40 
06 32 09.36 ,04 56 36.31 
06 32 24.13 ,05 03 19.97 
06 32 28.64 ,05 03 27.69 
06 32 18.34 ,04 58 37.75 
06 32 34.07 ,04 58 06.37 
06 32 14.69 ,05 04 00.19 
06 32 20.63 ,04 57 08.33 
06 31 58.42 ,04 56 30.59 
06 32 27.99 ,05 04 55.90 
06 32 18.59 ,05 01 57.40 
06 32 08.38 ,05 04 15.10 
06 32 38.41 ,05 00 05.72 
06 32 15.02 ,04 55 14.88 
06 32 27.94 ,05 04 52.29 
06 32 23.94 ,04 56 06.94 
06 32 04.24 ,04 56 57.82 
06 32 12.82 ,05 03 04.37 
06 32 21.28 ,05 00 55.41 
06 31 58.27 ,04 58 47.48 
06 32 24.81 ,05 04 05.18 
06 32 39.40 ,04 57 40.62 
06 32 26.27 ,04 54 24.61 
06 32 02.17 ,05 03 09.13 
06 32 22.52 ,05 05 27.08 
06 32 18.86 ,04 54 08.88 
06 32 16.84 ,04 53 36.85 
06 32 24.42 ,05 01 50.23 
06 32 04.42 ,05 02 37.37 
06 32 27.10 ,04 57 17.42 
06 32 24.20 ,05 00 55.76 
