ra,dec
16 30 28.01 ,-25 18 26.03 
16 29 09.30 ,-25 29 09.23 
16 26 44.72 ,-23 57 45.11 
16 32 47.20 ,-23 59 32.66 
16 26 10.21 ,-24 47 25.26 
16 30 20.33 ,-24 02 35.98 
16 29 21.73 ,-24 57 33.79 
16 28 48.40 ,-25 33 38.50 
16 26 59.02 ,-24 50 50.78 
16 28 10.46 ,-25 09 08.76 
16 33 23.48 ,-24 37 24.94 
16 25 59.42 ,-24 55 00.53 
16 26 36.18 ,-25 19 28.26 
16 25 05.37 ,-25 31 04.71 
16 28 49.90 ,-23 54 56.57 
16 29 15.34 ,-24 37 02.90 
16 29 06.94 ,-23 57 24.56 
16 25 18.73 ,-25 06 24.80 
16 24 27.45 ,-24 25 31.42 
16 27 48.94 ,-24 21 20.94 
16 24 32.09 ,-23 47 49.37 
16 31 34.15 ,-23 57 57.31 
16 26 41.98 ,-25 25 37.80 
16 28 29.71 ,-24 28 33.22 
16 30 12.45 ,-24 15 50.52 
16 26 54.00 ,-23 29 53.91 
16 29 00.21 ,-24 42 32.05 
16 25 43.53 ,-23 48 51.13 
16 25 10.66 ,-24 54 00.52 
16 27 09.46 ,-25 17 14.78 
16 30 17.03 ,-24 45 19.78 
16 24 03.45 ,-25 09 26.64 
16 26 00.65 ,-25 00 45.68 
16 28 40.36 ,-25 11 46.36 
16 32 21.88 ,-24 21 23.31 
16 26 23.53 ,-24 01 30.61 
16 31 46.61 ,-24 42 54.57 
16 26 53.95 ,-24 20 40.21 
16 25 55.75 ,-23 38 26.33 
16 27 47.28 ,-24 05 36.92 
16 23 31.57 ,-24 36 32.29 
16 32 54.93 ,-24 15 39.41 
16 30 14.55 ,-25 10 16.63 
16 23 19.05 ,-24 05 22.40 
16 30 00.30 ,-23 27 34.96 
16 30 22.30 ,-24 58 14.44 
16 27 47.12 ,-24 07 22.59 
16 31 38.58 ,-25 26 14.48 
16 25 31.32 ,-25 32 10.88 
16 31 55.51 ,-24 48 11.17 
16 25 15.14 ,-24 49 29.12 
16 31 01.23 ,-23 47 51.94 
16 25 57.53 ,-24 21 22.09 
16 27 13.93 ,-23 50 19.49 
16 25 08.87 ,-24 42 43.73 
16 25 57.46 ,-23 37 32.81 
16 31 54.25 ,-25 02 02.47 
16 30 16.00 ,-25 04 40.43 
16 25 36.69 ,-24 44 32.76 
16 28 18.34 ,-24 04 22.93 
16 25 35.97 ,-25 22 18.34 
16 27 06.69 ,-24 13 38.13 
16 26 29.05 ,-24 55 15.95 
16 25 46.10 ,-24 25 18.09 
16 29 43.10 ,-24 22 54.74 
16 24 17.91 ,-24 29 23.41 
16 27 42.41 ,-24 31 57.54 
16 26 21.80 ,-24 25 41.64 
16 30 07.36 ,-24 05 41.11 
16 27 34.87 ,-24 02 42.38 
16 31 18.51 ,-25 12 18.27 
16 29 49.01 ,-24 09 48.19 
16 28 14.10 ,-25 40 48.66 
16 26 55.15 ,-24 39 04.68 
16 31 04.36 ,-24 39 43.13 
16 28 36.75 ,-24 42 37.16 
16 24 51.80 ,-25 24 42.47 
16 30 21.28 ,-23 58 04.42 
16 28 57.04 ,-25 27 50.32 
16 25 50.27 ,-24 52 33.02 
16 27 25.37 ,-24 59 28.05 
16 28 38.83 ,-24 41 41.81 
16 27 49.84 ,-24 10 31.30 
16 27 31.37 ,-24 05 23.50 
16 27 15.24 ,-24 25 17.02 
16 24 15.35 ,-24 49 53.25 
16 24 05.30 ,-24 43 51.13 
16 27 00.30 ,-24 17 55.02 
16 23 42.72 ,-24 29 49.05 
16 32 29.66 ,-24 29 13.36 
16 26 32.74 ,-24 14 47.99 
16 27 46.88 ,-24 50 38.88 
16 28 36.68 ,-23 43 09.82 
16 25 34.19 ,-24 56 24.87 
16 27 17.13 ,-23 57 13.90 
16 24 49.21 ,-25 14 59.61 
16 29 53.19 ,-23 48 47.45 
16 30 47.58 ,-23 39 24.05 
16 28 33.60 ,-25 06 56.02 
16 30 16.21 ,-24 32 27.80 
16 28 17.08 ,-25 32 15.94 
16 26 52.45 ,-24 03 06.18 
16 25 33.67 ,-25 07 01.90 
16 26 58.74 ,-24 38 32.44 
16 26 57.39 ,-24 06 35.01 
16 28 52.35 ,-24 38 42.72 
16 29 31.53 ,-23 54 16.34 
16 32 27.08 ,-24 17 36.05 
16 23 49.02 ,-24 23 28.61 
16 31 13.93 ,-24 16 13.17 
16 28 46.59 ,-24 20 07.68 
16 32 35.34 ,-24 39 46.43 
16 24 22.07 ,-24 28 08.10 
16 31 04.69 ,-23 39 50.08 
16 32 00.16 ,-24 33 29.62 
16 26 28.61 ,-23 45 46.53 
16 31 18.08 ,-24 54 20.91 
16 27 48.89 ,-25 02 02.28 
16 27 32.32 ,-25 36 16.73 
16 26 20.48 ,-24 05 46.25 
16 28 20.47 ,-25 41 29.83 
16 29 25.90 ,-23 20 46.55 
16 27 25.00 ,-25 32 53.90 
16 26 53.58 ,-24 16 44.01 
16 29 22.21 ,-25 00 13.05 
16 30 45.04 ,-24 35 24.42 
16 32 41.30 ,-24 17 40.68 
16 28 42.11 ,-25 18 23.09 
16 25 33.23 ,-24 24 21.65 
16 29 45.42 ,-24 49 54.48 
16 23 58.63 ,-24 26 11.08 
16 26 46.72 ,-25 39 47.04 
16 28 56.89 ,-25 00 42.86 
16 30 25.99 ,-24 01 05.53 
16 27 57.96 ,-24 32 08.87 
16 25 23.37 ,-24 18 23.71 
16 27 34.74 ,-24 53 40.40 
16 28 22.29 ,-25 00 01.45 
16 25 56.43 ,-25 39 10.52 
16 26 44.17 ,-25 32 24.23 
16 28 24.00 ,-23 36 36.64 
16 30 25.92 ,-25 35 47.55 
16 24 10.21 ,-25 03 44.49 
16 26 58.06 ,-25 07 46.52 
16 29 12.49 ,-24 46 22.24 
16 24 40.57 ,-24 57 46.57 
16 24 07.55 ,-24 52 30.89 
16 25 04.77 ,-25 06 26.92 
16 28 27.07 ,-24 40 13.19 
16 31 10.41 ,-24 15 15.46 
16 31 27.37 ,-24 42 32.01 
16 28 56.42 ,-25 37 38.74 
16 28 24.52 ,-24 20 36.06 
16 30 48.96 ,-24 59 50.77 
16 29 18.95 ,-24 52 38.30 
16 25 36.28 ,-23 31 04.50 
16 31 45.97 ,-25 10 12.79 
16 29 48.75 ,-24 29 17.94 
16 29 50.85 ,-23 58 43.63 
16 28 18.04 ,-23 26 43.68 
16 27 32.23 ,-24 07 07.11 
16 26 09.92 ,-24 46 45.28 
16 29 51.32 ,-25 32 11.07 
16 27 05.19 ,-23 57 17.93 
16 29 14.33 ,-23 48 17.93 
16 29 01.33 ,-24 53 59.50 
16 29 24.95 ,-24 52 28.75 
16 29 34.13 ,-24 06 53.67 
16 30 33.28 ,-23 53 20.94 
16 29 15.66 ,-24 24 14.51 
16 30 46.05 ,-24 51 59.60 
16 24 33.98 ,-24 34 05.37 
16 27 18.31 ,-24 12 36.26 
16 28 06.33 ,-24 13 24.58 
16 27 26.74 ,-25 21 09.72 
16 31 40.62 ,-25 10 40.61 
16 29 32.44 ,-23 57 09.46 
16 27 53.03 ,-24 14 55.64 
16 27 37.10 ,-25 02 28.53 
16 26 38.50 ,-23 48 01.52 
16 28 52.64 ,-24 10 47.72 
16 29 13.67 ,-24 54 34.74 
16 27 30.42 ,-24 45 01.22 
16 25 49.72 ,-24 38 43.78 
16 31 37.43 ,-24 59 18.35 
16 29 29.14 ,-24 38 43.73 
16 29 34.96 ,-24 09 58.35 
16 28 30.54 ,-24 16 38.31 
16 26 01.76 ,-23 52 59.68 
16 26 50.99 ,-24 31 15.04 
16 30 02.75 ,-23 50 14.20 
16 24 00.13 ,-24 21 09.80 
16 31 18.82 ,-24 06 41.41 
16 24 55.67 ,-24 20 18.57 
16 25 52.80 ,-25 22 37.16 
16 30 45.01 ,-23 58 11.27 
16 27 17.72 ,-24 54 12.22 
16 28 50.69 ,-24 48 39.20 
16 23 57.46 ,-24 35 52.72 
16 29 51.25 ,-24 15 43.96 
16 30 55.85 ,-24 26 41.07 
16 24 17.37 ,-24 14 21.17 
16 28 09.24 ,-25 30 20.47 
16 27 38.05 ,-23 59 14.75 
16 27 23.02 ,-24 28 12.43 
16 32 26.95 ,-24 22 32.39 
16 25 44.00 ,-24 56 20.44 
16 22 51.38 ,-24 30 12.02 
16 23 15.60 ,-24 25 07.37 
16 30 22.98 ,-25 23 31.02 
16 28 40.78 ,-25 39 09.76 
16 25 24.51 ,-24 48 07.67 
16 31 17.08 ,-25 01 11.05 
16 26 51.82 ,-24 12 32.18 
16 28 48.42 ,-25 02 08.67 
16 27 53.87 ,-24 10 05.58 
16 28 29.62 ,-25 38 33.45 
16 24 24.91 ,-24 02 03.52 
16 27 46.11 ,-23 49 11.26 
16 24 21.37 ,-24 32 21.06 
16 30 18.94 ,-24 54 13.91 
16 27 44.18 ,-25 32 44.93 
16 31 05.87 ,-24 55 35.42 
16 25 43.70 ,-24 46 41.78 
16 31 21.02 ,-25 12 22.00 
16 28 36.56 ,-24 43 33.01 
16 28 13.62 ,-25 09 57.65 
16 32 35.77 ,-24 11 56.70 
16 30 53.78 ,-24 53 50.47 
16 24 11.71 ,-24 38 50.45 
16 28 08.17 ,-25 21 26.91 
16 28 57.25 ,-23 34 08.83 
16 27 56.44 ,-23 31 37.69 
16 31 40.40 ,-25 01 55.20 
16 25 15.80 ,-24 33 24.84 
16 25 24.61 ,-24 16 11.64 
16 24 09.20 ,-25 08 56.49 
16 30 50.48 ,-25 14 54.07 
16 32 22.62 ,-25 06 47.05 
16 30 47.40 ,-25 03 40.09 
16 26 23.28 ,-24 46 47.10 
16 27 02.38 ,-23 57 32.83 
16 27 33.37 ,-25 18 14.91 
16 29 58.46 ,-24 40 39.46 
16 24 06.33 ,-24 19 10.08 
16 31 30.06 ,-23 36 16.26 
16 25 29.38 ,-24 18 00.96 
16 26 52.84 ,-23 31 34.78 
16 28 12.49 ,-24 26 08.03 
16 25 16.70 ,-24 07 42.82 
16 26 04.66 ,-24 03 43.80 
16 26 31.49 ,-25 06 52.74 
16 28 58.13 ,-24 16 04.14 
16 27 51.31 ,-24 55 02.87 
16 28 30.00 ,-25 38 39.91 
16 31 27.83 ,-23 51 09.95 
16 30 51.54 ,-24 46 48.06 
16 33 23.62 ,-24 26 20.87 
16 30 07.32 ,-24 06 37.10 
16 24 21.48 ,-24 38 09.99 
16 23 35.61 ,-24 16 10.31 
16 27 49.42 ,-23 43 52.97 
16 24 41.61 ,-24 11 44.93 
16 29 16.00 ,-23 58 12.03 
16 24 10.57 ,-24 47 20.24 
16 30 13.26 ,-24 36 28.84 
16 23 30.17 ,-24 39 32.98 
16 29 38.71 ,-25 42 29.37 
16 28 32.52 ,-25 28 36.14 
16 27 22.26 ,-23 38 45.64 
16 28 29.73 ,-23 32 18.70 
16 26 35.66 ,-24 04 33.87 
16 29 28.01 ,-24 28 35.30 
16 24 26.92 ,-24 38 54.62 
16 31 30.24 ,-24 53 42.30 
16 27 50.52 ,-24 58 32.43 
16 27 28.01 ,-25 17 55.47 
16 26 11.72 ,-25 03 02.01 
16 31 48.20 ,-25 16 49.42 
16 25 59.43 ,-23 56 20.71 
16 25 08.48 ,-25 14 33.66 
16 32 59.18 ,-24 17 56.89 
16 29 43.28 ,-24 16 00.92 
16 29 52.78 ,-23 59 41.09 
16 25 16.89 ,-23 46 18.07 
16 29 37.52 ,-24 03 47.72 
16 26 09.89 ,-25 11 08.31 
16 29 21.76 ,-24 46 05.27 
16 24 08.59 ,-24 56 10.94 
16 27 06.41 ,-23 58 50.89 
16 26 00.64 ,-25 30 51.07 
16 27 42.59 ,-23 38 40.08 
16 31 15.35 ,-25 08 58.10 
16 29 16.99 ,-23 35 55.33 
16 27 13.42 ,-24 35 08.61 
16 26 47.14 ,-24 45 21.74 
16 25 13.60 ,-24 32 38.63 
16 28 08.64 ,-25 37 49.09 
16 24 52.09 ,-24 28 25.21 
16 25 41.90 ,-24 11 53.30 
16 32 50.37 ,-24 18 15.73 
16 27 59.07 ,-24 14 08.02 
16 30 18.11 ,-24 36 45.65 
16 24 03.20 ,-24 31 05.49 
