ra,dec
18 18 47.90 ,-13 50 33.89 
18 18 54.74 ,-13 47 02.54 
18 18 40.27 ,-13 52 36.59 
18 18 33.65 ,-13 51 34.53 
18 18 25.71 ,-13 52 53.54 
18 18 52.88 ,-13 54 40.67 
18 18 36.13 ,-13 47 07.96 
18 18 49.45 ,-13 50 50.04 
18 18 42.53 ,-13 50 06.33 
18 18 41.76 ,-13 53 09.14 
18 18 31.01 ,-13 48 42.83 
18 18 53.10 ,-13 47 04.73 
18 18 38.46 ,-13 54 57.09 
18 18 56.85 ,-13 49 33.05 
18 18 42.15 ,-13 48 08.33 
18 18 42.63 ,-13 55 06.71 
18 18 35.84 ,-13 54 23.47 
18 18 38.92 ,-13 52 25.26 
18 18 50.17 ,-13 54 50.14 
18 18 48.88 ,-13 49 35.36 
18 18 42.06 ,-13 51 50.48 
18 18 33.02 ,-13 50 29.58 
18 18 40.50 ,-13 46 27.08 
18 18 31.20 ,-13 52 30.84 
18 18 40.05 ,-13 50 47.94 
18 18 32.52 ,-13 52 02.89 
18 18 42.24 ,-13 50 48.28 
18 18 46.57 ,-13 52 46.96 
18 18 35.14 ,-13 52 39.57 
18 18 40.85 ,-13 48 37.77 
18 18 39.12 ,-13 46 42.64 
18 18 48.41 ,-13 48 15.93 
18 18 43.57 ,-13 49 51.48 
18 18 47.19 ,-13 50 46.67 
18 18 45.48 ,-13 52 16.43 
18 18 55.19 ,-13 51 24.63 
18 18 25.50 ,-13 50 44.33 
18 18 36.50 ,-13 53 39.87 
18 18 48.85 ,-13 54 44.95 
18 18 45.29 ,-13 52 32.41 
18 18 49.03 ,-13 50 44.48 
18 18 52.96 ,-13 50 34.14 
18 19 01.72 ,-13 49 01.97 
18 18 53.93 ,-13 53 05.33 
18 18 52.19 ,-13 47 34.73 
18 18 49.08 ,-13 53 41.97 
18 18 54.81 ,-13 50 32.90 
18 18 44.79 ,-13 51 58.26 
18 18 35.78 ,-13 46 42.51 
18 18 33.42 ,-13 54 10.32 
18 18 52.90 ,-13 48 14.14 
18 18 38.93 ,-13 50 28.45 
18 18 54.80 ,-13 49 22.96 
18 18 46.74 ,-13 48 08.94 
18 18 35.95 ,-13 49 35.23 
18 18 40.89 ,-13 48 40.77 
18 18 47.31 ,-13 52 38.33 
18 18 53.00 ,-13 50 16.50 
18 18 31.87 ,-13 51 33.97 
18 18 34.87 ,-13 50 32.51 
18 18 41.88 ,-13 46 47.65 
18 18 32.24 ,-13 49 23.66 
18 18 57.64 ,-13 53 09.03 
18 18 48.12 ,-13 46 54.40 
18 18 57.43 ,-13 52 19.38 
