ra,dec
18 02 15.45 ,-23 04 53.67 
18 02 14.79 ,-22 59 20.33 
18 02 20.80 ,-22 59 20.34 
18 02 17.94 ,-22 59 39.84 
18 02 10.41 ,-23 07 35.93 
18 02 06.33 ,-23 06 55.75 
18 02 10.03 ,-23 02 25.39 
18 02 04.35 ,-23 05 05.29 
18 02 16.31 ,-23 05 40.76 
18 02 16.42 ,-22 57 14.69 
18 02 15.31 ,-23 03 12.92 
18 02 08.87 ,-22 59 59.70 
18 02 00.20 ,-22 59 54.58 
18 02 26.84 ,-23 02 11.24 
18 02 02.33 ,-23 01 05.67 
18 02 17.29 ,-23 03 01.10 
18 02 27.23 ,-23 00 43.49 
18 02 10.44 ,-23 01 37.00 
18 02 11.25 ,-23 03 32.69 
18 02 14.75 ,-23 07 40.81 
18 02 25.91 ,-22 57 00.53 
18 02 29.27 ,-22 59 06.13 
18 02 35.01 ,-22 57 43.02 
18 02 17.17 ,-23 01 31.58 
18 02 02.71 ,-22 57 54.14 
18 02 04.76 ,-23 02 21.27 
18 02 21.13 ,-23 03 34.84 
18 02 31.60 ,-23 03 40.99 
18 02 08.89 ,-23 01 33.08 
18 01 54.31 ,-23 02 50.01 
18 02 14.45 ,-23 02 41.54 
18 02 21.23 ,-23 04 00.43 
18 02 31.40 ,-23 04 37.72 
18 02 17.89 ,-23 05 32.71 
18 02 06.88 ,-23 06 53.43 
18 02 18.46 ,-22 56 23.79 
18 02 08.13 ,-22 59 41.76 
18 02 09.74 ,-23 03 53.62 
18 02 10.47 ,-22 59 41.48 
18 02 10.17 ,-23 04 40.48 
18 02 39.55 ,-23 01 10.20 
18 02 03.24 ,-23 05 35.79 
18 02 01.53 ,-23 04 12.83 
18 02 08.35 ,-23 02 26.61 
18 02 36.10 ,-23 01 07.01 
18 02 31.62 ,-23 02 17.55 
18 02 03.10 ,-23 04 44.79 
18 02 06.50 ,-23 01 04.56 
18 02 14.26 ,-23 00 30.48 
18 02 29.40 ,-23 04 19.63 
18 02 10.48 ,-23 02 54.79 
18 02 39.95 ,-23 04 23.20 
18 02 12.99 ,-22 58 32.05 
18 02 36.74 ,-23 04 06.71 
18 01 53.16 ,-23 04 49.66 
18 02 17.65 ,-23 01 30.12 
18 02 18.51 ,-23 07 31.74 
18 02 21.69 ,-23 05 33.04 
18 02 06.65 ,-23 07 17.16 
18 02 15.46 ,-23 04 40.86 
18 02 04.89 ,-22 58 30.22 
18 02 19.84 ,-22 59 11.93 
18 02 19.93 ,-22 59 25.79 
18 02 32.26 ,-22 58 22.56 
18 02 41.06 ,-23 00 36.37 
18 02 21.94 ,-23 01 58.93 
18 02 04.05 ,-22 59 56.12 
18 02 27.57 ,-22 57 54.32 
18 01 55.85 ,-22 58 39.21 
18 02 11.69 ,-22 57 42.35 
18 02 29.86 ,-23 05 36.69 
18 02 17.66 ,-23 04 08.91 
18 02 18.12 ,-23 00 41.60 
18 02 17.07 ,-22 59 12.58 
18 01 59.97 ,-23 00 29.33 
18 02 23.05 ,-23 00 16.83 
18 02 07.40 ,-23 01 32.34 
18 01 51.98 ,-23 03 10.47 
18 02 20.68 ,-23 04 16.13 
18 02 26.15 ,-23 00 02.29 
18 02 32.51 ,-22 58 07.58 
18 02 28.82 ,-23 04 04.25 
18 02 12.22 ,-23 00 32.33 
18 02 11.76 ,-23 00 57.97 
18 02 08.24 ,-23 05 46.73 
18 02 16.80 ,-23 05 08.79 
18 02 28.47 ,-23 01 57.50 
18 02 31.49 ,-22 57 38.24 
18 02 30.64 ,-23 00 06.90 
18 01 53.38 ,-23 00 47.78 
18 02 32.29 ,-22 58 02.08 
18 02 35.34 ,-23 00 10.97 
18 02 28.15 ,-23 02 22.51 
18 02 28.57 ,-22 58 14.01 
18 02 14.82 ,-23 00 44.80 
18 02 27.70 ,-23 03 11.89 
18 02 36.52 ,-23 00 00.76 
18 02 37.47 ,-23 03 12.14 
18 02 16.97 ,-22 57 02.65 
18 02 14.33 ,-23 07 29.71 
18 02 38.09 ,-23 02 13.78 
18 02 20.71 ,-23 04 17.79 
18 02 35.42 ,-22 59 20.69 
18 02 22.86 ,-23 04 48.49 
18 02 03.13 ,-23 01 03.44 
18 02 30.29 ,-23 01 27.59 
18 02 39.97 ,-23 01 37.38 
18 02 08.71 ,-23 06 52.20 
18 02 22.46 ,-23 06 49.05 
18 02 09.23 ,-23 06 35.54 
18 02 13.89 ,-22 56 31.30 
18 02 07.59 ,-22 57 18.40 
18 02 08.22 ,-23 04 14.99 
18 02 26.62 ,-22 59 12.14 
18 02 38.66 ,-22 59 02.21 
18 02 21.54 ,-23 01 03.43 
18 02 10.50 ,-23 03 36.95 
18 02 41.38 ,-23 03 24.07 
18 02 30.21 ,-22 59 23.04 
18 02 28.22 ,-23 02 54.19 
18 02 04.70 ,-23 04 21.01 
18 02 41.37 ,-23 04 22.99 
18 02 07.35 ,-23 03 38.46 
18 01 57.42 ,-22 58 46.93 
18 01 53.82 ,-23 03 16.01 
18 02 28.48 ,-23 00 25.59 
18 02 27.48 ,-23 02 41.47 
18 02 32.12 ,-23 07 00.72 
18 02 39.93 ,-22 59 14.33 
18 02 06.86 ,-23 02 28.68 
18 02 09.59 ,-23 03 29.40 
18 02 26.00 ,-23 04 17.28 
18 02 24.27 ,-23 01 52.23 
18 02 03.88 ,-23 02 18.35 
18 02 09.05 ,-23 06 35.75 
18 02 12.34 ,-22 58 32.66 
18 02 00.17 ,-23 01 53.02 
18 02 42.07 ,-23 01 13.31 
18 02 34.51 ,-23 01 59.20 
18 02 05.80 ,-23 02 38.29 
18 02 13.16 ,-23 03 22.25 
18 02 24.52 ,-23 02 54.01 
18 02 10.14 ,-22 57 33.56 
18 02 23.78 ,-22 55 43.46 
18 02 07.67 ,-23 00 34.47 
18 02 13.47 ,-23 01 25.43 
18 02 24.85 ,-22 56 30.59 
18 02 35.73 ,-22 58 54.29 
18 01 59.62 ,-23 00 46.99 
18 02 27.31 ,-22 58 04.66 
18 02 33.33 ,-22 58 16.69 
18 02 27.43 ,-23 07 47.81 
18 02 23.97 ,-23 06 33.15 
18 02 13.66 ,-23 02 35.12 
18 02 14.91 ,-22 59 51.99 
18 02 28.75 ,-23 02 16.02 
18 02 20.80 ,-23 04 57.53 
18 02 27.00 ,-23 03 56.49 
18 02 35.48 ,-23 05 20.44 
18 02 34.97 ,-23 00 14.32 
18 02 21.49 ,-23 04 52.12 
18 01 59.02 ,-22 58 02.05 
18 02 19.29 ,-23 02 30.51 
18 02 28.19 ,-23 05 43.57 
18 02 09.16 ,-23 00 24.47 
18 02 04.71 ,-23 01 59.94 
18 02 06.66 ,-23 00 54.47 
18 02 28.42 ,-23 00 24.98 
18 02 21.39 ,-23 01 46.98 
18 02 35.01 ,-23 00 31.80 
18 02 40.68 ,-23 02 03.57 
18 01 54.64 ,-23 05 53.48 
18 02 23.16 ,-22 59 58.49 
18 02 15.13 ,-23 02 31.85 
18 02 22.02 ,-23 03 32.11 
18 02 14.78 ,-22 56 45.98 
18 02 23.12 ,-22 57 22.77 
18 02 20.18 ,-23 01 13.93 
18 02 11.04 ,-23 05 37.30 
18 02 13.51 ,-23 07 02.97 
18 02 35.18 ,-23 02 25.46 
18 02 12.11 ,-23 01 26.70 
18 02 41.68 ,-23 03 21.96 
18 02 12.93 ,-23 05 01.33 
18 01 59.44 ,-23 02 46.85 
18 02 25.11 ,-23 01 00.06 
18 02 30.89 ,-23 01 49.90 
18 02 36.95 ,-23 02 59.25 
18 02 20.06 ,-22 58 49.72 
18 02 18.74 ,-22 59 35.68 
18 02 39.07 ,-23 02 35.81 
18 02 21.90 ,-23 08 14.38 
18 02 26.12 ,-23 03 39.74 
18 02 12.86 ,-23 00 40.44 
18 02 34.57 ,-22 57 21.75 
18 02 17.57 ,-23 03 24.08 
18 02 05.26 ,-23 02 22.96 
18 02 12.26 ,-23 02 02.49 
18 02 25.71 ,-23 05 54.13 
18 02 27.29 ,-23 04 10.05 
18 02 18.56 ,-23 03 36.49 
18 02 13.04 ,-23 03 01.55 
18 02 02.46 ,-23 00 43.89 
18 02 37.53 ,-23 01 52.33 
18 02 13.14 ,-22 56 53.63 
18 02 24.74 ,-23 07 09.99 
18 02 27.76 ,-22 58 24.77 
18 02 11.62 ,-23 03 02.16 
18 01 52.66 ,-23 00 49.93 
18 02 13.61 ,-23 05 07.13 
18 02 07.88 ,-22 58 37.21 
18 02 09.52 ,-23 02 12.94 
18 02 10.31 ,-22 59 24.67 
18 02 16.54 ,-23 08 20.86 
18 02 23.79 ,-23 00 08.31 
18 02 13.96 ,-23 04 33.78 
18 02 19.50 ,-22 57 59.14 
18 02 40.03 ,-23 03 04.13 
18 02 04.96 ,-22 59 56.62 
18 02 06.54 ,-22 59 10.36 
18 02 11.01 ,-23 02 37.52 
18 02 14.15 ,-23 02 56.80 
18 02 05.34 ,-22 57 36.46 
18 02 24.09 ,-23 01 35.45 
18 02 22.19 ,-22 57 25.95 
18 02 17.76 ,-22 59 52.65 
18 01 58.04 ,-23 05 01.61 
18 02 25.73 ,-22 59 49.51 
18 02 09.57 ,-23 06 24.09 
18 02 25.58 ,-23 01 45.39 
18 02 08.36 ,-23 00 10.33 
18 02 15.34 ,-22 58 57.96 
18 02 22.88 ,-23 00 22.22 
18 02 12.29 ,-23 03 41.64 
18 02 11.40 ,-23 00 34.83 
18 02 19.16 ,-22 56 28.66 
18 02 13.10 ,-23 01 18.22 
