ra,dec
18 02 20.69 ,-24 24 08.99 
18 02 21.96 ,-24 28 54.25 
18 02 13.15 ,-24 22 13.11 
18 02 38.63 ,-24 23 37.16 
18 02 03.68 ,-24 23 15.75 
18 02 53.17 ,-24 27 25.05 
18 02 25.41 ,-24 23 34.25 
18 02 57.22 ,-24 22 51.53 
18 02 48.92 ,-24 22 06.28 
18 02 19.81 ,-24 15 54.24 
18 02 05.68 ,-24 22 22.73 
18 02 18.12 ,-24 17 47.18 
18 02 15.60 ,-24 23 24.31 
18 02 21.25 ,-24 23 09.88 
18 02 35.98 ,-24 26 02.93 
18 03 00.11 ,-24 22 28.55 
18 02 24.64 ,-24 20 03.73 
18 02 33.96 ,-24 16 26.85 
18 02 19.14 ,-24 19 25.35 
18 02 37.52 ,-24 27 26.23 
18 02 22.15 ,-24 22 15.08 
18 02 34.45 ,-24 28 34.87 
18 02 34.27 ,-24 21 23.67 
18 02 26.13 ,-24 20 59.03 
18 02 32.59 ,-24 23 29.62 
18 02 51.93 ,-24 22 49.36 
18 02 02.66 ,-24 25 22.81 
18 02 59.13 ,-24 19 54.73 
18 02 10.61 ,-24 18 21.09 
18 01 59.84 ,-24 23 28.49 
18 02 15.50 ,-24 21 25.58 
18 02 19.55 ,-24 23 02.14 
18 02 47.18 ,-24 16 54.24 
18 02 02.41 ,-24 23 40.94 
18 02 36.65 ,-24 21 23.17 
18 02 42.08 ,-24 26 57.85 
18 02 33.26 ,-24 29 16.41 
18 02 47.13 ,-24 26 39.63 
18 02 05.98 ,-24 16 29.29 
18 02 38.90 ,-24 26 34.12 
18 02 15.18 ,-24 26 57.85 
18 02 29.18 ,-24 16 57.95 
18 02 27.01 ,-24 20 39.82 
18 02 49.65 ,-24 26 09.44 
18 02 29.16 ,-24 30 24.86 
18 02 07.44 ,-24 23 02.25 
18 02 36.52 ,-24 20 38.60 
18 02 18.79 ,-24 21 35.66 
18 02 16.65 ,-24 24 00.14 
18 02 33.80 ,-24 22 00.22 
18 02 24.98 ,-24 28 30.69 
18 02 39.12 ,-24 27 17.30 
18 02 47.43 ,-24 28 28.32 
18 02 25.38 ,-24 20 22.88 
18 02 21.52 ,-24 19 10.73 
18 02 08.57 ,-24 20 40.79 
18 01 59.26 ,-24 17 27.50 
18 02 13.71 ,-24 23 40.42 
18 02 53.28 ,-24 17 34.96 
18 02 44.23 ,-24 16 11.42 
18 02 07.00 ,-24 15 34.48 
18 02 21.59 ,-24 16 51.34 
18 02 02.25 ,-24 24 26.93 
18 02 09.36 ,-24 20 55.72 
18 02 56.36 ,-24 22 40.31 
18 02 19.97 ,-24 20 50.35 
18 02 58.98 ,-24 20 02.36 
18 02 22.81 ,-24 28 23.58 
18 02 29.31 ,-24 20 52.39 
18 02 37.04 ,-24 21 49.20 
18 02 22.77 ,-24 18 30.02 
18 02 19.14 ,-24 17 08.22 
18 02 19.02 ,-24 19 12.69 
18 02 44.71 ,-24 18 39.69 
18 02 28.34 ,-24 30 04.66 
18 02 28.14 ,-24 17 31.30 
18 02 41.12 ,-24 26 36.66 
18 02 30.08 ,-24 14 44.69 
18 02 19.28 ,-24 18 45.22 
18 01 56.40 ,-24 20 40.24 
18 02 11.49 ,-24 18 13.83 
18 02 19.08 ,-24 20 37.84 
