ra,dec
05 38 37.72 ,-69 06 00.57 
05 38 38.22 ,-69 06 12.02 
05 38 38.22 ,-69 06 11.18 
05 38 37.93 ,-69 05 59.07 
05 38 40.23 ,-69 05 58.79 
05 38 38.90 ,-69 06 03.79 
05 38 38.54 ,-69 06 02.10 
05 38 38.56 ,-69 05 58.51 
05 38 36.98 ,-69 06 05.40 
05 38 37.36 ,-69 06 04.15 
05 38 38.26 ,-69 05 57.79 
05 38 38.49 ,-69 05 59.93 
05 38 37.44 ,-69 06 14.80 
05 38 37.18 ,-69 06 03.37 
05 38 37.91 ,-69 06 03.06 
05 38 38.75 ,-69 06 11.46 
05 38 39.16 ,-69 06 03.31 
05 38 39.17 ,-69 06 06.97 
05 38 37.86 ,-69 05 53.03 
05 38 38.86 ,-69 05 54.95 
05 38 37.70 ,-69 06 00.32 
05 38 37.09 ,-69 06 07.94 
05 38 39.83 ,-69 06 10.56 
05 38 37.13 ,-69 06 09.47 
05 38 39.14 ,-69 06 04.86 
05 38 39.09 ,-69 06 08.33 
05 38 40.19 ,-69 06 10.38 
05 38 37.88 ,-69 06 12.68 
05 38 38.13 ,-69 05 57.70 
05 38 39.86 ,-69 06 02.91 
05 38 37.94 ,-69 06 10.77 
05 38 37.66 ,-69 06 04.01 
05 38 40.05 ,-69 05 58.12 
05 38 40.50 ,-69 05 59.59 
05 38 37.89 ,-69 05 57.18 
05 38 38.77 ,-69 06 10.95 
05 38 40.51 ,-69 06 07.51 
05 38 38.11 ,-69 06 08.84 
05 38 38.85 ,-69 05 55.50 
05 38 40.18 ,-69 06 01.44 
05 38 39.16 ,-69 05 51.60 
05 38 38.27 ,-69 06 08.86 
05 38 37.85 ,-69 06 10.63 
05 38 39.95 ,-69 05 55.72 
05 38 39.44 ,-69 06 00.63 
05 38 39.11 ,-69 06 00.41 
05 38 40.08 ,-69 06 06.61 
05 38 37.13 ,-69 05 56.58 
05 38 37.68 ,-69 06 06.24 
05 38 38.09 ,-69 06 09.82 
05 38 38.10 ,-69 06 11.55 
05 38 38.47 ,-69 06 09.23 
05 38 39.76 ,-69 06 12.83 
05 38 37.37 ,-69 06 08.00 
05 38 38.45 ,-69 06 06.27 
05 38 37.36 ,-69 06 07.97 
05 38 36.91 ,-69 05 57.21 
05 38 36.91 ,-69 06 05.69 
05 38 38.96 ,-69 06 13.43 
05 38 38.33 ,-69 06 05.01 
05 38 37.71 ,-69 05 57.17 
05 38 37.56 ,-69 05 53.73 
05 38 38.70 ,-69 05 59.83 
05 38 38.16 ,-69 06 03.27 
05 38 36.66 ,-69 06 02.22 
05 38 37.66 ,-69 06 13.67 
05 38 38.57 ,-69 05 52.91 
05 38 36.88 ,-69 06 07.83 
05 38 39.54 ,-69 05 53.08 
05 38 38.22 ,-69 05 56.00 
05 38 39.92 ,-69 06 02.00 
05 38 37.87 ,-69 06 09.11 
05 38 39.34 ,-69 06 11.99 
05 38 40.48 ,-69 06 05.35 
05 38 36.65 ,-69 06 02.36 
05 38 40.02 ,-69 06 07.42 
05 38 38.00 ,-69 06 10.19 
05 38 40.47 ,-69 06 08.42 
05 38 37.02 ,-69 06 12.73 
05 38 36.22 ,-69 06 05.96 
05 38 40.20 ,-69 06 00.97 
05 38 38.90 ,-69 06 06.60 
05 38 36.91 ,-69 06 09.38 
05 38 37.37 ,-69 06 00.03 
05 38 40.26 ,-69 06 00.85 
